study_id,rows,construct_pairs,n_ready_construct_pairs,pairs,n_ready_pairs
S002,15,15,15,BI-EE;BI-FC;BI-PE;BI-SI;BI-UB;EE-FC;EE-PE;EE-SI;EE-UB;FC-PE;FC-SI;FC-UB;PE-SI;PE-UB;SI-UB,BI-EE;BI-FC;BI-PE;BI-SI;BI-UB;EE-FC;EE-PE;EE-SI;EE-UB;FC-PE;FC-SI;FC-UB;PE-SI;PE-UB;SI-UB
S004,21,21,21,BI-EE;BI-FC;BI-PE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-PE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SI;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SI-TRU;SI-UB;TRU-UB,BI-EE;BI-FC;BI-PE;BI-SI;BI-TRU;BI-UB;EE-FC;EE-PE;EE-SI;EE-TRU;EE-UB;FC-PE;FC-SI;FC-UB;PE-SE;PE-SI;PE-TRU;PE-UB;SI-TRU;SI-UB;TRU-UB
S007,10,10,10,ATT-BI;ATT-FC;ATT-PE;ATT-SE;BI-FC;BI-PE;BI-SE;FC-PE;FC-SE;PE-SE,ATT-BI;ATT-FC;ATT-PE;ATT-SE;BI-FC;BI-PE;BI-SE;FC-PE;FC-SE;PE-SE
S008,15,15,15,ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SI;BI-EE;BI-FC;BI-PE;BI-SI;EE-FC;EE-PE;EE-SI;FC-PE;FC-SI;PE-SI,ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SI;BI-EE;BI-FC;BI-PE;BI-SI;EE-FC;EE-PE;EE-SI;FC-PE;FC-SI;PE-SI
S012,10,10,10,BI-EE;BI-FC;BI-PE;BI-SI;EE-FC;EE-PE;EE-SI;FC-PE;FC-SI;PE-SI,BI-EE;BI-FC;BI-PE;BI-SI;EE-FC;EE-PE;EE-SI;FC-PE;FC-SI;PE-SI
S013,15,15,15,BI-EE;BI-FC;BI-PE;BI-SE;BI-SI;EE-FC;EE-PE;EE-SE;EE-SI;FC-PE;FC-SE;FC-SI;PE-SE;PE-SI;SE-SI,BI-EE;BI-FC;BI-PE;BI-SE;BI-SI;EE-FC;EE-PE;EE-SE;EE-SI;FC-PE;FC-SE;FC-SI;PE-SE;PE-SI;SE-SI
S016,21,21,21,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;BI-EE;BI-FC;BI-PE;BI-SE;EE-FC;EE-PE;EE-SE;FC-PE;FC-SE;PE-SE,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;BI-EE;BI-FC;BI-PE;BI-SE;EE-FC;EE-PE;EE-SE;FC-PE;FC-SE;PE-SE
S017,6,6,6,BI-EE;BI-PE;BI-UB;EE-PE;EE-UB;PE-UB,BI-EE;BI-PE;BI-UB;EE-PE;EE-UB;PE-UB
S020,6,6,6,BI-EE;BI-FC;BI-PE;EE-FC;EE-PE;FC-PE,BI-EE;BI-FC;BI-PE;EE-FC;EE-PE;FC-PE
S022,3,3,3,BI-EE;BI-PE;EE-PE,BI-EE;BI-PE;EE-PE
S025,21,21,21,BI-EE;BI-FC;BI-PE;BI-SE;BI-SI;BI-UB;EE-FC;EE-PE;EE-SE;EE-SI;EE-UB;FC-PE;FC-SE;FC-SI;FC-UB;PE-SE;PE-SI;PE-UB;SE-SI;SE-UB;SI-UB,BI-EE;BI-FC;BI-PE;BI-SE;BI-SI;BI-UB;EE-FC;EE-PE;EE-SE;EE-SI;EE-UB;FC-PE;FC-SE;FC-SI;FC-UB;PE-SE;PE-SI;PE-UB;SE-SI;SE-UB;SI-UB
S026,15,15,15,ATT-BI;ATT-EE;ATT-PE;ATT-SI;ATT-UB;BI-EE;BI-PE;BI-SI;BI-UB;EE-PE;EE-SI;EE-UB;PE-SI;PE-UB;SI-UB,ATT-BI;ATT-EE;ATT-PE;ATT-SI;ATT-UB;BI-EE;BI-PE;BI-SI;BI-UB;EE-PE;EE-SI;EE-UB;PE-SI;PE-UB;SI-UB
S027,10,10,10,BI-EE;BI-FC;BI-PE;BI-SI;EE-FC;EE-PE;EE-SI;FC-PE;FC-SI;PE-SI,BI-EE;BI-FC;BI-PE;BI-SI;EE-FC;EE-PE;EE-SI;FC-PE;FC-SI;PE-SI
S028,10,10,10,ATT-BI;ATT-EE;ATT-PE;ATT-SE;BI-EE;BI-PE;BI-SE;EE-PE;EE-SE;PE-SE,ATT-BI;ATT-EE;ATT-PE;ATT-SE;BI-EE;BI-PE;BI-SE;EE-PE;EE-SE;PE-SE
S031,6,6,6,PE-SE;PE-TRU;PE-UB;SE-TRU;SE-UB;TRU-UB,PE-SE;PE-TRU;PE-UB;SE-TRU;SE-UB;TRU-UB
