study_id,phase_block,pair,title,audit_type,audit_status,study_terminal_status,exclusion_code,coder_a,coder_a_status,coder_b,coder_b_status,n_metadata_diff,n_coder_correlation_rows,n_unique_coder_agreed_reference_rows,target_row_adjudication_required,source_value_adjudication_required,source_check_level,metadata_status_decision,correlation_status_decision,final_freeze_handling,evidence_basis,notes
S023,phase1,Pair A,Students’ acceptance and use of generative AI in pharmacy education: internation,no_target_correlation_status_audit,completed,excluded_from_masem_correlation_contribution_status_draft,E-FT1,R1,done,R2,done,12,0,0,no,no,lightweight_pdf_text_check_for_no_target_rows,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,No coded target correlation rows from either coder; no row-level source-value adjudication target remains.,Carry E-FT1/no-target status draft into final full-corpus freeze application/QA; verify no target rows are retained; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv; local source PDF text check 20260609,"Lightweight PDF check found EFA/construct-correlation language, but no coder target rows and no source-anchored UTAUT construct-pair matrix was carried into coding; treat as no usable target correlation rows pending final freeze QA."
S196,phase1,Pair A,Acceptance of Educational Artificial Intelligence by Teachers and Its Relationsh,no_target_correlation_status_audit,completed,excluded_from_masem_correlation_contribution_status_draft,E-FT1,R1,done,R2,excluded,13,0,0,no,no,lightweight_pdf_text_check_for_no_target_rows,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,No coded target correlation rows from either coder; no row-level source-value adjudication target remains.,Carry E-FT1/no-target status draft into final full-corpus freeze application/QA; verify no target rows are retained; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv; local source PDF text check 20260609,Correlation-queue lightweight case resolved: R2 excluded/no-correlation note plus lightweight PDF check show UTAUT2 descriptive/group-difference tables and no coded target correlation rows.
S013,phase1,Pair B,Exploring factors that influence graduate students' intention to use generative,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R3,done,R4,done,3,30,15,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,15 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 15 of 15 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S016,phase1,Pair B,Exploring the acceptance of generative artificial intelligence-assisted learning,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R3,done,R4,done,6,42,21,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,21 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 21 of 21 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S047,phase1,Pair B,Bridging AI literacy and UTAUT constructs: structural equation modeling of AI ad,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R3,done,R4,done,4,20,10,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,10 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 10 of 10 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S090,phase1,Pair B,Generative AI Use Among Saudi and Korean Language Learners in Higher Education:,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R3,done,R4,done,3,6,3,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,3 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 3 of 3 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
S105,phase1,Pair B,The Use of ChatGPT in Academic Writing by University Students in Jordan,no_target_correlation_status_audit,completed,excluded_from_masem_correlation_contribution_status_draft,E-FT1,R3,done,R4,done,5,0,0,no,no,lightweight_pdf_text_check_for_no_target_rows,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,No coded target correlation rows from either coder; no row-level source-value adjudication target remains.,Carry E-FT1/no-target status draft into final full-corpus freeze application/QA; verify no target rows are retained; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv; local source PDF text check 20260609,Lightweight PDF check found descriptive/mixed-method survey tables rather than coded target construct-pair correlations; no coder correlation rows were present.
S109,phase1,Pair B,Acceptance of AI-Powered Chatbots Among Physiotherapy Students: International Cr,no_target_correlation_status_audit,completed,excluded_from_masem_correlation_contribution_status_draft,E-FT1,R3,done,R4,done,6,0,0,no,no,lightweight_pdf_text_check_for_no_target_rows,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,No coded target correlation rows from either coder; no row-level source-value adjudication target remains.,Carry E-FT1/no-target status draft into final full-corpus freeze application/QA; verify no target rows are retained; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv; local source PDF text check 20260609,"Coder notes and lightweight PDF check indicate total TAM-score associations/regression with external factors only, not an inter-construct target matrix."
S144,phase1,Pair B,Research Article A detailed examination of faculty acceptance of artificial inte,no_target_correlation_status_audit,completed,excluded_from_masem_correlation_contribution_status_draft,E-FT1,R3,done,R4,done,6,0,0,no,no,lightweight_pdf_text_check_for_no_target_rows,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,No coded target correlation rows from either coder; no row-level source-value adjudication target remains.,Carry E-FT1/no-target status draft into final full-corpus freeze application/QA; verify no target rows are retained; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv; local source PDF text check 20260609,Coder notes and lightweight PDF check indicate descriptive statistics and non-parametric group comparisons only; no inter-construct target matrix.
S198,phase1,Pair B,Examining Students' Acceptance and Use of ChatGPT in Saudi Arabian Higher Educat,metadata_status_lightweight_audit,completed,included_coder_agreed_correlation_rows_status_draft,,R3,done,R4,done,4,30,15,no,no,not_required_for_source_value_adjudication,Metadata/status differences do not require row-level source-value adjudication; retain for final metadata QA.,15 unique coder-agreed target correlation rows available; no one-coder-only or numeric/source disagreements in the combined review queue.,Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.,combined_study_review_queue_20260525.csv; combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_plan_20260608.csv,Metadata/status differences only; 15 of 15 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.
