study_id,study_A_row_count,spotcheck_required_for_batch,within_study_order,pair,human_coded_value_to_check,sample_size_numeric,source_file,source_location,pdf_text_status,pdf_path_local_only,human_batch_decision,final_value_if_confirmed,evidence_type,source_location_confirmed,decision_rationale,promote_to_supplemental_input,boundary_note
S194,75,yes,1,BI-EE,0.44,469.0,latest_human_R1_CORRELATIONS,"Table 3, p.825",ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf,,,,,,no,batch approval allowed only after human confirms the study table mapping and sampled row values; no automatic promotion by AI trace
S194,75,no_after_study_spotcheck_passes,2,BI-EE,0.44,469.0,latest_human_R2_CORRELATIONS,"Table 3, p.825",ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf,,,,,,no,batch approval allowed only after human confirms the study table mapping and sampled row values; no automatic promotion by AI trace
S194,75,no_after_study_spotcheck_passes,3,BI-EE,0.44,469.0,latest_human_R3_(합의) CORRELATIONS,"Table 3, p.825",ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf,,,,,,no,batch approval allowed only after human confirms the study table mapping and sampled row values; no automatic promotion by AI trace
S194,75,no_after_study_spotcheck_passes,4,BI-EE,0.44,469.0,latest_human_R3_CORRELATIONS,"Table 3, p.825",ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf,,,,,,no,batch approval allowed only after human confirms the study table mapping and sampled row values; no automatic promotion by AI trace
S194,75,no_after_study_spotcheck_passes,5,BI-EE,0.44,469.0,latest_human_R4_CORRELATIONS,"Table 3, p.825",ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf,,,,,,no,batch approval allowed only after human confirms the study table mapping and sampled row values; no automatic promotion by AI trace
S194,75,no_after_study_spotcheck_passes,6,BI-FC,0.49,469.0,latest_human_R1_CORRELATIONS,"Table 3, p.825",ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf,,,,,,no,batch approval allowed only after human confirms the study table mapping and sampled row values; no automatic promotion by AI trace
S194,75,no_after_study_spotcheck_passes,7,BI-FC,0.49,469.0,latest_human_R2_CORRELATIONS,"Table 3, p.825",ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf,,,,,,no,batch approval allowed only after human confirms the study table mapping and sampled row values; no automatic promotion by AI trace
S194,75,no_after_study_spotcheck_passes,8,BI-FC,0.49,469.0,latest_human_R3_(합의) CORRELATIONS,"Table 3, p.825",ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf,,,,,,no,batch approval allowed only after human confirms the study table mapping and sampled row values; no automatic promotion by AI trace
S194,75,no_after_study_spotcheck_passes,9,BI-FC,0.49,469.0,latest_human_R3_CORRELATIONS,"Table 3, p.825",ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf,,,,,,no,batch approval allowed only after human confirms the study table mapping and sampled row values; no automatic promotion by AI trace
S194,75,no_after_study_spotcheck_passes,10,BI-FC,0.49,469.0,latest_human_R4_CORRELATIONS,"Table 3, p.825",ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S194.pdf,,,,,,no,batch approval allowed only after human confirms the study table mapping and sampled row values; no automatic promotion by AI trace
