run_id,task_unit_id,study_id,denominator_family,expected_answer_type,expected_r_value,model_value,score_status,is_correct,abstained,error_code,model_source_locator_nonblank,model_source_quote_nonblank,finding_category,review_interpretation_share_safe,recommended_next_action
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00001,S002,primary_latent_or_construct_correlation_with_source_type_flag,numeric_correlation_with_source_type,0.696,0.696,scored,1,False,,true,false,correct_source_packet_path_worked,Model returned the expected numeric value with locator; retain as positive smoke evidence.,retain_as_positive_control_for_revised_smoke
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00002,S002,primary_latent_or_construct_correlation_with_source_type_flag,numeric_correlation_with_source_type,0.799,0.799,scored,1,False,,true,false,correct_source_packet_path_worked,Model returned the expected numeric value with locator; retain as positive smoke evidence.,retain_as_positive_control_for_revised_smoke
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00003,S002,primary_latent_or_construct_correlation_with_source_type_flag,numeric_correlation_with_source_type,0.694,0.694,scored,1,False,,true,false,correct_source_packet_path_worked,Model returned the expected numeric value with locator; retain as positive smoke evidence.,retain_as_positive_control_for_revised_smoke
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00004,S002,primary_latent_or_construct_correlation_with_source_type_flag,numeric_correlation_with_source_type,0.724,0.724,scored,1,False,,true,false,correct_source_packet_path_worked,Model returned the expected numeric value with locator; retain as positive smoke evidence.,retain_as_positive_control_for_revised_smoke
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00005,S002,primary_latent_or_construct_correlation_with_source_type_flag,numeric_correlation_with_source_type,0.692,0.692,scored,1,False,,true,false,correct_source_packet_path_worked,Model returned the expected numeric value with locator; retain as positive smoke evidence.,retain_as_positive_control_for_revised_smoke
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00006,S002,primary_latent_or_construct_correlation_with_source_type_flag,numeric_correlation_with_source_type,0.602,0.602,scored,1,False,,true,false,correct_source_packet_path_worked,Model returned the expected numeric value with locator; retain as positive smoke evidence.,retain_as_positive_control_for_revised_smoke
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00007,S002,primary_latent_or_construct_correlation_with_source_type_flag,numeric_correlation_with_source_type,0.592,0.592,scored,1,False,,true,false,correct_source_packet_path_worked,Model returned the expected numeric value with locator; retain as positive smoke evidence.,retain_as_positive_control_for_revised_smoke
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00008,S002,primary_latent_or_construct_correlation_with_source_type_flag,numeric_correlation_with_source_type,0.569,0.569,scored,1,False,,true,false,correct_source_packet_path_worked,Model returned the expected numeric value with locator; retain as positive smoke evidence.,retain_as_positive_control_for_revised_smoke
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00009,S002,primary_latent_or_construct_correlation_with_source_type_flag,numeric_correlation_with_source_type,0.523,0.523,scored,1,False,,true,false,correct_source_packet_path_worked,Model returned the expected numeric value with locator; retain as positive smoke evidence.,retain_as_positive_control_for_revised_smoke
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00010,S002,primary_latent_or_construct_correlation_with_source_type_flag,numeric_correlation_with_source_type,0.694,0.575,scored,0,False,,true,false,nonblank_matrix_cell_selection_error,The model found the expected table/locator but selected a different matrix cell for one construct pair.,tighten construct-pair/matrix-cell prompt instructions before revised smoke
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00016,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,0.271,,scored_abstention,0,True,insufficient_evidence,false,false,direct_r_abstention_probable_packet_table_coverage_gap,"The model abstained because the source packet did not expose the requested direct-correlation matrix values, despite a rendered private packet existing.",revise source-packet selection for direct-r/Fornell-Larcker/correlation-matrix tables before revised smoke
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00017,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,0.496,,scored_abstention,0,True,insufficient_evidence,false,false,direct_r_abstention_probable_packet_table_coverage_gap,"The model abstained because the source packet did not expose the requested direct-correlation matrix values, despite a rendered private packet existing.",revise source-packet selection for direct-r/Fornell-Larcker/correlation-matrix tables before revised smoke
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00018,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,0.414,,scored_abstention,0,True,insufficient_evidence,false,false,direct_r_abstention_probable_packet_table_coverage_gap,"The model abstained because the source packet did not expose the requested direct-correlation matrix values, despite a rendered private packet existing.",revise source-packet selection for direct-r/Fornell-Larcker/correlation-matrix tables before revised smoke
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00019,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,0.241,,scored_abstention,0,True,insufficient_evidence,false,false,direct_r_abstention_probable_packet_table_coverage_gap,"The model abstained because the source packet did not expose the requested direct-correlation matrix values, despite a rendered private packet existing.",revise source-packet selection for direct-r/Fornell-Larcker/correlation-matrix tables before revised smoke
paper_b_full_corpus_m1_raw_source_rendered_full_coverage_smoke_20260609,FC-S5-TASK-00020,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,0.448,,scored_abstention,0,True,insufficient_evidence,false,false,direct_r_abstention_probable_packet_table_coverage_gap,"The model abstained because the source packet did not expose the requested direct-correlation matrix values, despite a rendered private packet existing.",revise source-packet selection for direct-r/Fornell-Larcker/correlation-matrix tables before revised smoke
