ai_trace_status,candidate_status,study_id,missing_pair,construct_1,construct_2,candidate_value,present_full10_pairs,missing_full10_pairs,supported_constructs_in_human_reference,construct_1_human_supported,construct_2_human_supported,exact_pair_in_human_or_frozen_reference,exact_pair_sources,frozen_study_status_summary,triage_class,recommended_action,triage_reason,construct_1_terms_found,construct_2_terms_found,table_terms_found,pdf_path_local_only,paper_b_boundary
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,S004,BI-SE,BI,SE,,21,24,BI;EE;FC;PE;SE;SI;TRU;UB,yes,yes,no,,notes=Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.,source_review_priority_both_constructs_human_supported,review_pdf_for_numeric_cell_and_add_if_confirmed,"Both constructs are already human/frozen-supported for this study, but this exact pair is missing. If the source matrix contains the numeric cell, this is the strongest add-candidate class.",BI;behavioral intention;intention to use,SE;computer self-efficacy;efficacy;self-efficacy,correlation;correlations;fornell;larcker;latent;matrix;table,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S004.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,S004,EE-SE,EE,SE,,21,24,BI;EE;FC;PE;SE;SI;TRU;UB,yes,yes,no,,notes=Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.,source_review_priority_both_constructs_human_supported,review_pdf_for_numeric_cell_and_add_if_confirmed,"Both constructs are already human/frozen-supported for this study, but this exact pair is missing. If the source matrix contains the numeric cell, this is the strongest add-candidate class.",EE;ease of use;easy to use;effort expectancy;perceived ease of use,SE;computer self-efficacy;efficacy;self-efficacy,correlation;correlations;fornell;larcker;latent;matrix;table,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S004.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,S004,FC-SE,FC,SE,,21,24,BI;EE;FC;PE;SE;SI;TRU;UB,yes,yes,no,,notes=Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.,source_review_priority_both_constructs_human_supported,review_pdf_for_numeric_cell_and_add_if_confirmed,"Both constructs are already human/frozen-supported for this study, but this exact pair is missing. If the source matrix contains the numeric cell, this is the strongest add-candidate class.",FC;facilitating;facilitating conditions;resources;support,SE;computer self-efficacy;efficacy;self-efficacy,correlation;correlations;fornell;larcker;latent;matrix;table,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S004.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,S004,SE-SI,SE,SI,,21,24,BI;EE;FC;PE;SE;SI;TRU;UB,yes,yes,no,,notes=Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.,source_review_priority_both_constructs_human_supported,review_pdf_for_numeric_cell_and_add_if_confirmed,"Both constructs are already human/frozen-supported for this study, but this exact pair is missing. If the source matrix contains the numeric cell, this is the strongest add-candidate class.",SE;computer self-efficacy;efficacy;self-efficacy,SI;social influence,correlation;correlations;fornell;larcker;latent;matrix;table,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S004.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,S004,SE-TRU,SE,TRU,,21,24,BI;EE;FC;PE;SE;SI;TRU;UB,yes,yes,no,,notes=Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.,source_review_priority_both_constructs_human_supported,review_pdf_for_numeric_cell_and_add_if_confirmed,"Both constructs are already human/frozen-supported for this study, but this exact pair is missing. If the source matrix contains the numeric cell, this is the strongest add-candidate class.",SE;computer self-efficacy;efficacy;self-efficacy,TRU;trust;trustworthiness,correlation;correlations;fornell;larcker;latent;matrix;table,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S004.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,S004,SE-UB,SE,UB,,21,24,BI;EE;FC;PE;SE;SI;TRU;UB,yes,yes,no,,notes=Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.,source_review_priority_both_constructs_human_supported,review_pdf_for_numeric_cell_and_add_if_confirmed,"Both constructs are already human/frozen-supported for this study, but this exact pair is missing. If the source matrix contains the numeric cell, this is the strongest add-candidate class.",SE;computer self-efficacy;efficacy;self-efficacy,UB;actual use;usage behavior;use;use behavior,correlation;correlations;fornell;larcker;latent;matrix;table,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S004.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,S048,BI-FC,BI,FC,,21,24,ATT;BI;EE;FC;PE;SI;TRU;UB,yes,yes,no,,notes=Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.,source_review_priority_both_constructs_human_supported,review_pdf_for_numeric_cell_and_add_if_confirmed,"Both constructs are already human/frozen-supported for this study, but this exact pair is missing. If the source matrix contains the numeric cell, this is the strongest add-candidate class.",BI;behavioural intention;continuance intention;intention to use,FC;facilitating;facilitating condition;facilitating conditions;resources;support,correlation;correlations;fornell;larcker;latent;matrix;pearson;table,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S048.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,S048,BI-PE,BI,PE,,21,24,ATT;BI;EE;FC;PE;SI;TRU;UB,yes,yes,no,,notes=Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.,source_review_priority_both_constructs_human_supported,review_pdf_for_numeric_cell_and_add_if_confirmed,"Both constructs are already human/frozen-supported for this study, but this exact pair is missing. If the source matrix contains the numeric cell, this is the strongest add-candidate class.",BI;behavioural intention;continuance intention;intention to use,PE;performance expectancy;useful;usefulness,correlation;correlations;fornell;larcker;latent;matrix;pearson;table,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S048.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,S048,BI-SI,BI,SI,,21,24,ATT;BI;EE;FC;PE;SI;TRU;UB,yes,yes,no,,notes=Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.,source_review_priority_both_constructs_human_supported,review_pdf_for_numeric_cell_and_add_if_confirmed,"Both constructs are already human/frozen-supported for this study, but this exact pair is missing. If the source matrix contains the numeric cell, this is the strongest add-candidate class.",BI;behavioural intention;continuance intention;intention to use,SI;social influence,correlation;correlations;fornell;larcker;latent;matrix;pearson;table,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S048.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,S048,EE-UB,EE,UB,,21,24,ATT;BI;EE;FC;PE;SI;TRU;UB,yes,yes,no,,notes=Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded. Frozen on 2026-06-09 under explicit caveat-preservation authorization.,source_review_priority_both_constructs_human_supported,review_pdf_for_numeric_cell_and_add_if_confirmed,"Both constructs are already human/frozen-supported for this study, but this exact pair is missing. If the source matrix contains the numeric cell, this is the strongest add-candidate class.",EE;ease of use;easy to use;effort expectancy;perceived ease of use,UB;actual use;usage behavior;usage behaviour;use;use behaviour,correlation;correlations;fornell;larcker;latent;matrix;pearson;table,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S048.pdf,candidate_only_not_analytic_input_until_human_confirmed
