route,pair,study_pair_rows
paper_a_full10_theory_target,ANX-ATT,6
paper_a_full10_theory_target,ANX-BI,3
paper_a_full10_theory_target,ANX-EE,3
paper_a_full10_theory_target,ANX-FC,2
paper_a_full10_theory_target,ANX-PE,4
paper_a_full10_theory_target,ANX-SE,2
paper_a_full10_theory_target,ANX-SI,3
paper_a_full10_theory_target,ANX-UB,2
paper_a_full10_theory_target,ATT-BI,30
paper_a_full10_theory_target,ATT-EE,26
paper_a_full10_theory_target,ATT-FC,10
paper_a_full10_theory_target,ATT-PE,27
paper_a_full10_theory_target,ATT-SE,5
paper_a_full10_theory_target,ATT-SI,12
paper_a_full10_theory_target,ATT-TRU,2
paper_a_full10_theory_target,ATT-UB,13
paper_a_full10_theory_target,BI-EE,54
paper_a_full10_theory_target,BI-FC,36
paper_a_full10_theory_target,BI-PE,57
paper_a_full10_theory_target,BI-SE,9
paper_a_full10_theory_target,BI-SI,39
paper_a_full10_theory_target,BI-TRU,12
paper_a_full10_theory_target,BI-UB,31
paper_a_full10_theory_target,EE-FC,34
paper_a_full10_theory_target,EE-PE,58
paper_a_full10_theory_target,EE-SE,7
paper_a_full10_theory_target,EE-SI,33
paper_a_full10_theory_target,EE-TRU,10
paper_a_full10_theory_target,EE-UB,30
paper_a_full10_theory_target,FC-PE,34
paper_a_full10_theory_target,FC-SE,6
paper_a_full10_theory_target,FC-SI,28
paper_a_full10_theory_target,FC-TRU,4
paper_a_full10_theory_target,FC-UB,22
paper_a_full10_theory_target,PE-SE,15
paper_a_full10_theory_target,PE-SI,35
paper_a_full10_theory_target,PE-TRU,12
paper_a_full10_theory_target,PE-UB,29
paper_a_full10_theory_target,SE-SI,6
paper_a_full10_theory_target,SE-TRU,1
paper_a_full10_theory_target,SE-UB,5
paper_a_full10_theory_target,SI-TRU,9
paper_a_full10_theory_target,SI-UB,22
paper_a_full10_theory_target,TRU-UB,8
