study_id,phase_block,pair,title,application_terminal_status,n_application_rows,row_application_source,status_source,freeze_authorization_status,qa_status,caveat_status,next_action,evidence_basis,notes
S002,phase2,Pair D,Determinants of Adopting 3D Technology Integrated With Artificial Intelligence i,included_reference_application_draft,15,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass,none,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S003,phase2,Pair C,The moderating role of technology proficiency and academic discipline in AI-chat,included_reference_application_draft,10,coder_agreed_lightweight_rows,full_corpus_lightweight_status_audit_20260609.csv,pending_full_corpus_freeze_authorization,pass_with_caveats,metadata_status_caveat,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_lightweight_status_audit_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,study_terminal_status=included_coder_agreed_correlation_rows_status_draft; final_freeze_handling=Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.; notes=Metadata/status differences only; 10 of 10 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.; audit_status=completed. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S004,phase2,Pair D,Unveiling the drivers of ChatGPT utilization in higher education sectors: the di,included_reference_application_draft,21,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass,none,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S005,phase1,Pair A,Just learn it? How individual differences and HMSAM impact learners' intention t,included_reference_application_draft,6,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass,none,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S006,phase2,Pair C,Exploring the adoption of AI-enabled English learning applications among univers,included_reference_application_draft,15,coder_agreed_lightweight_rows,full_corpus_lightweight_status_audit_20260609.csv,pending_full_corpus_freeze_authorization,pass_with_caveats,metadata_status_caveat,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_lightweight_status_audit_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,study_terminal_status=included_coder_agreed_correlation_rows_status_draft; final_freeze_handling=Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.; notes=Metadata/status differences only; 15 of 15 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.; audit_status=completed. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S007,phase1,Pair B,Artificial intelligence teaching assistant adoption in university education: Key,included_reference_application_draft,10,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass,none,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S008,phase2,Pair D,Students' behavioural intention to use content generative AI for learning and re,included_reference_application_draft,15,coder_agreed_lightweight_rows,full_corpus_lightweight_status_audit_20260609.csv,pending_full_corpus_freeze_authorization,pass_with_caveats,metadata_status_caveat,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_lightweight_status_audit_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,study_terminal_status=included_coder_agreed_correlation_rows_status_draft; final_freeze_handling=Carry coder-agreed correlation rows from combined coder values into final full-corpus freeze application/QA; keep Step 5 inactive.; notes=Metadata/status differences only; 15 of 15 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created.; audit_status=completed. Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S009,phase1,Pair A,Bridging expectations and reality: Addressing the price-value paradox in teacher,included_reference_application_draft,9,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass,none,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S010,phase1,Pair B,International perspectives on artificial intelligence in higher education: An ex,included_reference_application_draft,6,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass,none,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
S011,phase1,Pair A,Modeling Chinese EFL learners' intention to use generative AI for L2 writing thr,included_reference_application_draft,3,source_checked_or_logged_reference_draft_rows,full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,pending_full_corpus_freeze_authorization,pass_with_caveats,path_or_beta_conversion_caveat,Review QA caveats and authorize/record final full-corpus freeze before Step 5.,full_corpus_reference_application_rows_draft_20260609.csv; full_corpus_step4_application_progress_20260608.csv; full_corpus_freeze_gap_map_20260608.csv,Application QA draft only; Step 5 remains inactive until final full-corpus freeze authorization is recorded.
