run_id,model_provider,model_id,model_version,procedure_id,prompt_version,run_timestamp_utc,temperature,seed,task_unit_id,study_id,llm_task_family,denominator_family,scoring_eligibility,expected_answer_type,evaluation_unit_text,model_input_text,model_answer,model_answer_normalized,model_source_locator,model_source_quote,model_confidence,abstained,error_code,raw_output_ref,locked_answer_status,lock_timestamp_utc,locked_by,notes
paper2_codex_full_allfamilies_0000_0049_20260606,openai,codex_cli,codex-cli 0.137.0,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T03:28:13Z,0,,P2-TASK-00001,S080,converted_or_model_derived_effect_size,converted_or_model_derived_effect_size,eligible_after_locked_llm_output_with_source_type_denominator,numeric_effect_size_with_source_type,Study: S080 | Task family: converted_or_model_derived_effect_size | Field/construct pair: BI-EE | Human consensus value: r=0.436; source=beta; beta=0.436; p<.001 | Source/evidence note: PDF Table III reports structural-model path coefficients for UTAUT predictors of BI; no zero-order correlation matrix was located for these specific rows in the review packet.,Study: S080 | Task family: converted_or_model_derived_effect_size | Field/construct pair: BI-EE | Expected answer type: numeric_effect_size_with_source_type | Source locator: table=36; row=2 | Source evidence: PDF Table III reports structural-model path coefficients for UTAUT predictors of BI; no zero-order correlation matrix was located for these specific rows in the review packet. | Notes: Use as path/beta evidence; do not treat as zero-order r unless the protocol converts beta/path values downstream.,,,,,0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-06T03:28:13Z,codex_cli_noninteractive_batch,Provided evidence identifies table/row and source type but does not include the numeric path coefficient.
paper2_codex_full_allfamilies_0000_0049_20260606,openai,codex_cli,codex-cli 0.137.0,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T03:28:13Z,0,,P2-TASK-00002,S080,converted_or_model_derived_effect_size,converted_or_model_derived_effect_size,eligible_after_locked_llm_output_with_source_type_denominator,numeric_effect_size_with_source_type,Study: S080 | Task family: converted_or_model_derived_effect_size | Field/construct pair: BI-FC | Human consensus value: r=-0.058; source=beta; beta=-0.058; p=.296; sig=ns | Source/evidence note: PDF Table III reports structural-model path coefficients for UTAUT predictors of BI; no zero-order correlation matrix was located for these specific rows in the review packet.,Study: S080 | Task family: converted_or_model_derived_effect_size | Field/construct pair: BI-FC | Expected answer type: numeric_effect_size_with_source_type | Source locator: table=36; row=3 | Source evidence: PDF Table III reports structural-model path coefficients for UTAUT predictors of BI; no zero-order correlation matrix was located for these specific rows in the review packet. | Notes: Use as path/beta evidence; do not treat as zero-order r unless the protocol converts beta/path values downstream.,,,,,0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-06T03:28:13Z,codex_cli_noninteractive_batch,Provided evidence identifies table/row and source type but does not include the numeric path coefficient.
paper2_codex_full_allfamilies_0000_0049_20260606,openai,codex_cli,codex-cli 0.137.0,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T03:28:13Z,0,,P2-TASK-00003,S080,converted_or_model_derived_effect_size,converted_or_model_derived_effect_size,eligible_after_locked_llm_output_with_source_type_denominator,numeric_effect_size_with_source_type,Study: S080 | Task family: converted_or_model_derived_effect_size | Field/construct pair: BI-PE | Human consensus value: r=0.207; source=beta; beta=0.207; p=.085; sig=ns | Source/evidence note: PDF Table III reports structural-model path coefficients for UTAUT predictors of BI; no zero-order correlation matrix was located for these specific rows in the review packet.,Study: S080 | Task family: converted_or_model_derived_effect_size | Field/construct pair: BI-PE | Expected answer type: numeric_effect_size_with_source_type | Source locator: table=36; row=4 | Source evidence: PDF Table III reports structural-model path coefficients for UTAUT predictors of BI; no zero-order correlation matrix was located for these specific rows in the review packet. | Notes: Use as path/beta evidence; do not treat as zero-order r unless the protocol converts beta/path values downstream.,,,,,0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-06T03:28:13Z,codex_cli_noninteractive_batch,Provided evidence identifies table/row and source type but does not include the numeric path coefficient.
paper2_codex_full_allfamilies_0000_0049_20260606,openai,codex_cli,codex-cli 0.137.0,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T03:28:13Z,0,,P2-TASK-00004,S080,converted_or_model_derived_effect_size,converted_or_model_derived_effect_size,eligible_after_locked_llm_output_with_source_type_denominator,numeric_effect_size_with_source_type,Study: S080 | Task family: converted_or_model_derived_effect_size | Field/construct pair: BI-SI | Human consensus value: r=0.066; source=beta; beta=0.066; p=.310; sig=ns | Source/evidence note: PDF Table III reports structural-model path coefficients for UTAUT predictors of BI; no zero-order correlation matrix was located for these specific rows in the review packet.,Study: S080 | Task family: converted_or_model_derived_effect_size | Field/construct pair: BI-SI | Expected answer type: numeric_effect_size_with_source_type | Source locator: table=36; row=5 | Source evidence: PDF Table III reports structural-model path coefficients for UTAUT predictors of BI; no zero-order correlation matrix was located for these specific rows in the review packet. | Notes: Use as path/beta evidence; do not treat as zero-order r unless the protocol converts beta/path values downstream.,,,,,0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-06T03:28:13Z,codex_cli_noninteractive_batch,Provided evidence identifies table/row and source type but does not include the numeric path coefficient.
paper2_codex_full_allfamilies_0000_0049_20260606,openai,codex_cli,codex-cli 0.137.0,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T03:28:13Z,0,,P2-TASK-00005,S216,metadata_extraction,metadata_extraction,eligible_after_locked_llm_output,metadata_field_value_or_blank,"Study: S216 | Task family: metadata_extraction | Field/construct pair: Study design | Human consensus value: cross_sectional | Source/evidence note: PDF Table 5, Hypotheses testing, reports path coefficients and p values for TAM3 robot-adoption paths. single-wave survey/cross-sectional design; use standardized underscore code","Study: S216 | Task family: metadata_extraction | Field/construct pair: Study design | Expected answer type: metadata_field_value_or_blank | Source locator: table=37; row=2 | Source evidence: PDF Table 5, Hypotheses testing, reports path coefficients and p values for TAM3 robot-adoption paths. single-wave survey/cross-sectional design; use standardized underscore code | Notes: Use this as the source-adjudicated metadata value; harmonize codebook spelling before reference freeze.",single-wave survey/cross-sectional design,single_wave_survey_cross_sectional,table=37; row=2,single-wave survey/cross-sectional design; use standardized underscore code,0.95,False,,not_persisted_batch,locked,2026-06-06T03:28:13Z,codex_cli_noninteractive_batch,Used source-adjudicated metadata value and harmonized to underscore code.
paper2_codex_full_allfamilies_0000_0049_20260606,openai,codex_cli,codex-cli 0.137.0,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T03:28:13Z,0,,P2-TASK-00006,S216,metadata_extraction,metadata_extraction,eligible_after_locked_llm_output,metadata_field_value_or_blank,"Study: S216 | Task family: metadata_extraction | Field/construct pair: Data collection | Human consensus value: survey | Source/evidence note: PDF Table 5, Hypotheses testing, reports path coefficients and p values for TAM3 robot-adoption paths. source-supported data collection","Study: S216 | Task family: metadata_extraction | Field/construct pair: Data collection | Expected answer type: metadata_field_value_or_blank | Source locator: table=37; row=3 | Source evidence: PDF Table 5, Hypotheses testing, reports path coefficients and p values for TAM3 robot-adoption paths. source-supported data collection | Notes: Use this as the source-adjudicated metadata value; harmonize codebook spelling before reference freeze.",source-supported data collection,source-supported data collection,table=37; row=3,source-supported data collection,high,False,,not_persisted_batch,locked,2026-06-06T03:28:13Z,codex_cli_noninteractive_batch,
paper2_codex_full_allfamilies_0000_0049_20260606,openai,codex_cli,codex-cli 0.137.0,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T03:28:13Z,0,,P2-TASK-00007,S216,metadata_extraction,metadata_extraction,eligible_after_locked_llm_output,metadata_field_value_or_blank,"Study: S216 | Task family: metadata_extraction | Field/construct pair: Education level | Human consensus value: mixed | Source/evidence note: PDF Table 5, Hypotheses testing, reports path coefficients and p values for TAM3 robot-adoption paths. Bachelor, Master, and PhD students are reported in PDF Table 2","Study: S216 | Task family: metadata_extraction | Field/construct pair: Education level | Expected answer type: metadata_field_value_or_blank | Source locator: table=37; row=4 | Source evidence: PDF Table 5, Hypotheses testing, reports path coefficients and p values for TAM3 robot-adoption paths. Bachelor, Master, and PhD students are reported in PDF Table 2 | Notes: Use this as the source-adjudicated metadata value; harmonize codebook spelling before reference freeze.","Bachelor, Master, and PhD students","Bachelor, Master, and PhD students",table=37; row=4,"Bachelor, Master, and PhD students are reported in PDF Table 2",high,False,,not_persisted_batch,locked,2026-06-06T03:28:13Z,codex_cli_noninteractive_batch,
paper2_codex_full_allfamilies_0000_0049_20260606,openai,codex_cli,codex-cli 0.137.0,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T03:28:13Z,0,,P2-TASK-00008,S216,metadata_extraction,metadata_extraction,eligible_after_locked_llm_output,metadata_field_value_or_blank,"Study: S216 | Task family: metadata_extraction | Field/construct pair: AI type | Human consensus value: robotic | Source/evidence note: PDF Table 5, Hypotheses testing, reports path coefficients and p values for TAM3 robot-adoption paths. study is about AI-based/social robots, not generative AI","Study: S216 | Task family: metadata_extraction | Field/construct pair: AI type | Expected answer type: metadata_field_value_or_blank | Source locator: table=37; row=5 | Source evidence: PDF Table 5, Hypotheses testing, reports path coefficients and p values for TAM3 robot-adoption paths. study is about AI-based/social robots, not generative AI | Notes: Use this as the source-adjudicated metadata value; harmonize codebook spelling before reference freeze.",AI-based/social robots,AI-based/social robots,table=37; row=5,"study is about AI-based/social robots, not generative AI",high,False,,not_persisted_batch,locked,2026-06-06T03:28:13Z,codex_cli_noninteractive_batch,
paper2_codex_full_allfamilies_0000_0049_20260606,openai,codex_cli,codex-cli 0.137.0,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T03:28:13Z,0,,P2-TASK-00009,S216,metadata_extraction,metadata_extraction,eligible_after_locked_llm_output,metadata_field_value_or_blank,"Study: S216 | Task family: metadata_extraction | Field/construct pair: AI tool name | Human consensus value: AI-based robots in education | Source/evidence note: PDF Table 5, Hypotheses testing, reports path coefficients and p values for TAM3 robot-adoption paths. source title/context specifies AI-based robots for education","Study: S216 | Task family: metadata_extraction | Field/construct pair: AI tool name | Expected answer type: metadata_field_value_or_blank | Source locator: table=37; row=6 | Source evidence: PDF Table 5, Hypotheses testing, reports path coefficients and p values for TAM3 robot-adoption paths. source title/context specifies AI-based robots for education | Notes: Use this as the source-adjudicated metadata value; harmonize codebook spelling before reference freeze.",AI-based robots for education,AI-based robots for education,table=37; row=6,source title/context specifies AI-based robots for education,high,False,,not_persisted_batch,locked,2026-06-06T03:28:13Z,codex_cli_noninteractive_batch,
paper2_codex_full_allfamilies_0000_0049_20260606,openai,codex_cli,codex-cli 0.137.0,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T03:28:13Z,0,,P2-TASK-00010,S216,metadata_extraction,metadata_extraction,eligible_after_locked_llm_output,metadata_field_value_or_blank,"Study: S216 | Task family: metadata_extraction | Field/construct pair: Construct count | Human consensus value: 6 | Source/evidence note: PDF Table 5, Hypotheses testing, reports path coefficients and p values for TAM3 robot-adoption paths. target coding constructs are six after construct mapping","Study: S216 | Task family: metadata_extraction | Field/construct pair: Construct count | Expected answer type: metadata_field_value_or_blank | Source locator: table=37; row=7 | Source evidence: PDF Table 5, Hypotheses testing, reports path coefficients and p values for TAM3 robot-adoption paths. target coding constructs are six after construct mapping | Notes: Use this as the source-adjudicated metadata value; harmonize codebook spelling before reference freeze.",six,6,table=37; row=7,target coding constructs are six after construct mapping,high,False,,not_persisted_batch,locked,2026-06-06T03:28:13Z,codex_cli_noninteractive_batch,
paper2_codex_full_allfamilies_0000_0049_20260606,openai,codex_cli,codex-cli 0.137.0,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T03:28:13Z,0,,P2-TASK-00011,S216,metadata_extraction,metadata_extraction,eligible_after_locked_llm_output,metadata_field_value_or_blank,"Study: S216 | Task family: metadata_extraction | Field/construct pair: Statistic count | Human consensus value: 7 | Source/evidence note: PDF Table 5, Hypotheses testing, reports path coefficients and p values for TAM3 robot-adoption paths. PDF Table 5 supports seven target construct-pair paths in this packet, including PE-SI","Study: S216 | Task family: metadata_extraction | Field/construct pair: Statistic count | Expected answer type: metadata_field_value_or_blank | Source locator: table=37; row=8 | Source evidence: PDF Table 5, Hypotheses testing, reports path coefficients and p values for TAM3 robot-adoption paths. PDF Table 5 supports seven target construct-pair paths in this packet, including PE-SI | Notes: Use this as the source-adjudicated metadata value; harmonize codebook spelling before reference freeze.",seven target construct-pair paths,7,table=37; row=8,PDF Table 5 supports seven target construct-pair paths in this packet,high,False,,not_persisted_batch,locked,2026-06-06T03:28:13Z,codex_cli_noninteractive_batch,
