artifact_role,file,bytes,sha256,locked_status,notes
reference,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/Paper2_LLM_Extraction_Working_20260605/09_reference_freeze/paper2_llm_task_units_labeled_tiered_freeze_20260605.csv,13563645,97fb47c24a51347841b859e77e46d53bf2e28be0c237df680b315426567c86bb,reference_frozen,No model answers are locked in the template.
locked_output_shell,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/jornal_AI-adoption_meta/data/04_extraction/05_llm_masem_substitution/locked_outputs/paper2_locked_output_template_20260606.csv,5564012,8243614c97425e42c3aff3e10df7729ff1f98a728c4a8455e32a54430b55f3c9,template_unlocked,No model answers are locked in the template.
locked_output_shell,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/jornal_AI-adoption_meta/data/04_extraction/05_llm_masem_substitution/locked_outputs/MODEL_RUN_MATRIX_20260606.csv,61355,0b92bf4de605e0b25e1ca02ed523bd93e74906eca3f3268a1a52246c2bbd2262,template_unlocked,No model answers are locked in the template.
locked_model_output,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/jornal_AI-adoption_meta/data/04_extraction/05_llm_masem_substitution/locked_outputs/model_runs/paper2_claude_smoke_direct_r_20260606.csv,2409,789472c2111a8e1ec5cfcf98838ca7aa0e3d16eb6144eca313939c05ea821bec,locked_model_output,Generated by scripts/llm_scoring_20260606/run_model_locked_output.py.
locked_model_output,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/jornal_AI-adoption_meta/data/04_extraction/05_llm_masem_substitution/locked_outputs/model_runs/paper2_gemini_smoke_direct_r_20260606.csv,2456,d10df4e452ed2788d28d6888258c9e4cab86ed43e78ab82d88853db85c80ebd3,locked_model_output,Generated by scripts/llm_scoring_20260606/run_model_locked_output.py.
locked_model_output,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/jornal_AI-adoption_meta/data/04_extraction/05_llm_masem_substitution/locked_outputs/model_runs/paper2_claude_stratified10_allfamilies_20260606.csv,111556,fbdcf2f07cafb6237d2b15530ee427256dbbf01a512112fec47636a93a317646,locked_model_output,Generated by scripts/llm_scoring_20260606/run_model_locked_output_batch.py.
locked_model_output,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/jornal_AI-adoption_meta/data/04_extraction/05_llm_masem_substitution/locked_outputs/model_runs/paper2_claude_full_allfamilies_0000_0499_20260606.csv,565095,bc57e7d6d8c13019ba26f52ebad57c38a4846c9dc113e216130a16d1d31dcf88,locked_model_output,Generated by scripts/llm_scoring_20260606/run_model_locked_output_batch.py.
locked_model_output,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/jornal_AI-adoption_meta/data/04_extraction/05_llm_masem_substitution/locked_outputs/model_runs/paper2_claude_full_allfamilies_0500_0999_20260606.csv,451456,143c00654d8dcbaa34930cdea3c7870c848b272fa333a1b9ce27899d5af4e330,locked_model_output,Generated by scripts/llm_scoring_20260606/run_model_locked_output_batch.py.
locked_model_output,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/jornal_AI-adoption_meta/data/04_extraction/05_llm_masem_substitution/locked_outputs/model_runs/paper2_claude_full_allfamilies_1000_1499_20260606.csv,454635,a8087c1c13a6781cd30db7793774723b95822b16f26689f4b0515624fbc7f5dc,locked_model_output,Generated by scripts/llm_scoring_20260606/run_model_locked_output_batch.py.
locked_model_output,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/jornal_AI-adoption_meta/data/04_extraction/05_llm_masem_substitution/locked_outputs/model_runs/paper2_claude_full_allfamilies_1500_1999_20260606.csv,459365,8f49562b8e9cbf9bfa546805c2dfb3765ac7f794f447b2aebf623fe00b2658a7,locked_model_output,Generated by scripts/llm_scoring_20260606/run_model_locked_output_batch.py.
locked_model_output,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/jornal_AI-adoption_meta/data/04_extraction/05_llm_masem_substitution/locked_outputs/model_runs/paper2_claude_full_allfamilies_2000_2499_20260606.csv,455386,e12e1913be11b91a4bcd140ec9fdc88accb5cf7a646c8cb28984a9d471df681c,locked_model_output,Generated by scripts/llm_scoring_20260606/run_model_locked_output_batch.py.
locked_model_output,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/jornal_AI-adoption_meta/data/04_extraction/05_llm_masem_substitution/locked_outputs/model_runs/paper2_claude_full_allfamilies_2500_2999_20260606.csv,452161,b1ead9849c02358354d6c63e1a2c7b0b86259db11a74e5d7409d74af458cc07b,locked_model_output,Generated by scripts/llm_scoring_20260606/run_model_locked_output_batch.py.
locked_model_output,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/jornal_AI-adoption_meta/data/04_extraction/05_llm_masem_substitution/locked_outputs/model_runs/paper2_claude_full_allfamilies_3000_3499_20260606.csv,454323,25698bcf6d1593b7022bc8fc90f8b04afbd6d473394d05283227d3a1e06038d9,locked_model_output,Generated by scripts/llm_scoring_20260606/run_model_locked_output_batch.py.
locked_model_output,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/jornal_AI-adoption_meta/data/04_extraction/05_llm_masem_substitution/locked_outputs/model_runs/paper2_codex_full_allfamilies_0000_0049_20260606.csv,69502,a125253218cfbfb6cfe9ccda368eb2a8d34d849078f8582cf610a2bdf8e0c543,locked_model_output,Generated by scripts/llm_scoring_20260606/run_model_locked_output_batch.py.
locked_model_output,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/jornal_AI-adoption_meta/data/04_extraction/05_llm_masem_substitution/locked_outputs/model_runs/paper2_codex_full_allfamilies_0050_0099_20260606.csv,72455,80923921b740dda92986d7a87966ef92123e361623df89aef88c43548305716c,locked_model_output,Generated by scripts/llm_scoring_20260606/run_model_locked_output_batch.py.
locked_model_output,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/jornal_AI-adoption_meta/data/04_extraction/05_llm_masem_substitution/locked_outputs/model_runs/paper2_codex_full_allfamilies_0100_0149_20260606.csv,71689,d429916179a12ed22d072150d89f6f7845c3bbadb35a5ca53479fb97c3698c01,locked_model_output,Generated by scripts/llm_scoring_20260606/run_model_locked_output_batch.py.
locked_model_output,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/jornal_AI-adoption_meta/data/04_extraction/05_llm_masem_substitution/locked_outputs/model_runs/paper2_claude_full_allfamilies_3500_3749_20260606.csv,242192,ffeeac8f24796b8d857fa105f19c0a1d4b24668d37f0ebf208b8fcc370f910e6,locked_model_output,Generated by scripts/llm_scoring_20260606/run_model_locked_output_batch.py.
locked_model_output,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/jornal_AI-adoption_meta/data/04_extraction/05_llm_masem_substitution/locked_outputs/model_runs/paper2_codex_full_allfamilies_0150_0249_20260606.csv,109585,3d6458edd0ca1a009c251465fc69654c3688f7e7390582948dd6ddac1371e523,locked_model_output,Generated by scripts/llm_scoring_20260606/run_model_locked_output_batch.py.
locked_model_output,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/jornal_AI-adoption_meta/data/04_extraction/05_llm_masem_substitution/locked_outputs/model_runs/paper2_claude_full_allfamilies_3750_3999_20260606.csv,241952,15a546012cb1fe05986859a23ab619dfba318fd60b1dee82b39a703464271a1c,locked_model_output,Generated by scripts/llm_scoring_20260606/run_model_locked_output_batch.py.
locked_model_output,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/jornal_AI-adoption_meta/data/04_extraction/05_llm_masem_substitution/locked_outputs/model_runs/paper2_codex_gpt55_full_allfamilies_0250_0349_20260606.csv,92631,6f4ee9db0abfd9aef3463a5b5712e6fa3cc243901fe1514a41f14e709b5f22f9,locked_model_output,Generated by scripts/llm_scoring_20260606/run_model_locked_output_batch.py.
