study_id,phase_block,pair,decision_level,audit_status,draft_row_count,reference_draft_file,primary_coder_source,source_value_decision,metadata_decision,excluded_or_flagged_rows,remaining_caveat,next_action,evidence_basis,notes
S005,phase1,Pair A,explicit_rule_decision_needs_row_filter_or_source_audit,audited_to_reference_draft,6,phase1_rule_progress_reference_draft_20260608.csv,R1 filtered row set,Logged rule applied: JOY rows and CON-to-FC rows are excluded; retained target rows are AIA/AISE/BITL/PU only.,Use N=230 student sample.,Excluded JOY/ATT rows and CON-to-FC/FC rows from the primary target draft.,Routine final full-corpus freeze audit; JOY and CON/FC exclusions must remain visible.,Carry Phase 1 rule/progress source-checked row draft into final full-corpus freeze audit; do not start Step 5.,phase1_rule_progress_reference_draft_20260608.csv; phase1_rule_progress_audit_queue_20260608.csv; data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Evidence types: {'fornell_larcker_off_diagonal_latent_correlation': 6}; mapping confidence: {'high': 6}.
S011,phase1,Pair A,explicit_rule_decision_needs_row_filter_or_source_audit,audited_to_reference_draft_with_beta_conversion_caveat,3,phase1_rule_progress_reference_draft_20260608.csv,R2 TAM-only row set,Logged rule applied: retain TAM structural paths only; TTF-to-ATT and TTF-to-BI are not mapped to FC and are excluded.,Use N=304 Chinese EFL learner/student sample.,Excluded TTF-to-ATT and TTF-to-BI rows from FC mapping; retained TAM paths only.,Path/beta conversion caveat; TTF paths excluded from target matrix.,Carry Phase 1 rule/progress source-checked row draft into final full-corpus freeze audit; do not start Step 5.,phase1_rule_progress_reference_draft_20260608.csv; phase1_rule_progress_audit_queue_20260608.csv; data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Evidence types: {'standardized_path_beta_converted': 3}; mapping confidence: {'medium': 3}.
S044,phase1,Pair A,explicit_rule_decision_needs_row_filter_or_source_audit,audited_to_reference_draft,10,phase1_rule_progress_reference_draft_20260608.csv,R2 source-aligned row set,Logged rule applied: GAAIS Positive Attitudes toward AI is ATT; Negative Attitudes is not averaged into ATT.,Use N=441 nursing student sample.,Excluded Negative Attitudes as primary ATT; retained Positive Attitudes as ATT.,Positive-attitude mapping retained; negative-attitude sensitivity not in primary target draft.,Carry Phase 1 rule/progress source-checked row draft into final full-corpus freeze audit; do not start Step 5.,phase1_rule_progress_reference_draft_20260608.csv; phase1_rule_progress_audit_queue_20260608.csv; data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Evidence types: {'source_reported_direct_correlation_or_latent_correlation': 10}; mapping confidence: {'high': 10}.
S079,phase1,Pair A,explicit_rule_decision_needs_row_filter_or_source_audit,audited_to_reference_draft_with_path_coefficient_caveat,5,phase1_rule_progress_reference_draft_20260608.csv,R1 source-located path row set,"Logged rule applied: relevant effects are standardized path coefficients, not zero-order correlations; retain path/beta conversion caveat.",Use N=493 preservice Chinese teacher sample.,No rows excluded from selected source-located path set; all retained rows are path/beta caveat rows.,Path coefficient caveat; values are not zero-order correlations.,Carry Phase 1 rule/progress source-checked row draft into final full-corpus freeze audit; do not start Step 5.,phase1_rule_progress_reference_draft_20260608.csv; phase1_rule_progress_audit_queue_20260608.csv; data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Evidence types: {'standardized_path_beta_converted': 5}; mapping confidence: {'medium': 5}.
S086,phase1,Pair A,phase1_progress_logged_needs_source_value_audit,audited_to_reference_draft,21,phase1_rule_progress_reference_draft_20260608.csv,R2 direct-correlation row set,Progress-only case source-value audited: direct Table 2 correlation matrix retained with R2 three-decimal precision.,Use N=235 Pakistani research-scholar/student sample.,No construct rows excluded beyond non-target PI/IR source constructs absent from coder target rows.,Routine final full-corpus freeze audit.,Carry Phase 1 rule/progress source-checked row draft into final full-corpus freeze audit; do not start Step 5.,phase1_rule_progress_reference_draft_20260608.csv; phase1_rule_progress_audit_queue_20260608.csv; data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Evidence types: {'source_reported_direct_correlation_or_latent_correlation': 21}; mapping confidence: {'high': 21}.
S087,phase1,Pair A,explicit_rule_decision_needs_row_filter_or_source_audit,audited_to_reference_draft,10,phase1_rule_progress_reference_draft_20260608.csv,R2 filtered non-Satisfaction row set,Logged rule applied: Satisfaction is not ATT; all Satisfaction-as-ATT rows are excluded from the target row draft.,Use N=620 Chinese student sample.,"Excluded all Satisfaction-as-ATT rows, including Satisfaction-PE as ATT-PE.",Satisfaction-as-ATT exclusion must remain visible in final freeze audit.,Carry Phase 1 rule/progress source-checked row draft into final full-corpus freeze audit; do not start Step 5.,phase1_rule_progress_reference_draft_20260608.csv; phase1_rule_progress_audit_queue_20260608.csv; data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Evidence types: {'source_reported_direct_correlation_or_latent_correlation': 10}; mapping confidence: {'high': 10}.
S166,phase1,Pair A,explicit_rule_decision_needs_row_filter_or_source_audit,audited_to_reference_draft_with_htmt_exclusion_and_beta_conversion_caveat,5,phase1_rule_progress_reference_draft_20260608.csv,R1 beta-converted structural-path row set,Logged rule applied: HTMT-only evidence is excluded; structural paths are retained as beta-converted/path-coefficient rows.,Use N=104 Norwegian university student sample.,Excluded HTMT as target-correlation evidence; retained structural path rows only.,HTMT excluded; beta/path conversion caveat retained.,Carry Phase 1 rule/progress source-checked row draft into final full-corpus freeze audit; do not start Step 5.,phase1_rule_progress_reference_draft_20260608.csv; phase1_rule_progress_audit_queue_20260608.csv; data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Evidence types: {'standardized_path_beta_converted': 5}; mapping confidence: {'medium': 5}.
S168,phase1,Pair A,phase1_progress_logged_needs_source_value_audit,audited_to_reference_draft_with_htmt_exclusion_and_beta_conversion_caveat,6,phase1_rule_progress_reference_draft_20260608.csv,R2 source-aligned structural-path row set,Progress-only/source-type audit: HTMT table is not used; structural paths from Table 4 are retained as beta-converted/path-coefficient rows.,Use N=534 Polish university student sample.,Excluded HTMT as target-correlation evidence; retained structural path rows only.,HTMT excluded; beta/path conversion caveat retained.,Carry Phase 1 rule/progress source-checked row draft into final full-corpus freeze audit; do not start Step 5.,phase1_rule_progress_reference_draft_20260608.csv; phase1_rule_progress_audit_queue_20260608.csv; data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Evidence types: {'standardized_path_beta_converted': 6}; mapping confidence: {'medium': 6}.
S187,phase1,Pair A,explicit_rule_decision_needs_row_filter_or_source_audit,audited_to_reference_draft_with_stress_anx_mapping_caveat,15,phase1_rule_progress_reference_draft_20260608.csv,R1 full row set with Stress/ANX caveat,Logged rule applied: Stress is mapped to ANX with traceability caveat; source table also supports non-ANX latent-correlation rows.,Use N=352; source text says 352 usable responses and table frequencies sum to 352 despite a table-header n=318 typo.,No row excluded from selected set; Stress-to-ANX rows retained with caveat.,Stress-to-ANX mapping remains caveat-bearing for traceability.,Carry Phase 1 rule/progress source-checked row draft into final full-corpus freeze audit; do not start Step 5.,phase1_rule_progress_reference_draft_20260608.csv; phase1_rule_progress_audit_queue_20260608.csv; data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; combined_coder_values_long_20260525.csv; local source PDF text check 20260608,"Evidence types: {'fornell_larcker_off_diagonal_latent_correlation': 15}; mapping confidence: {'medium': 5, 'high': 10}."
S223,phase1,Pair A,explicit_rule_decision_needs_row_filter_or_source_audit,audited_to_reference_draft,21,phase1_rule_progress_reference_draft_20260608.csv,R1 accepted row set,Logged rule applied: R1-coded row set accepted; R2-only ATT/ENJ/security rows and source-alignment anomalies are excluded.,Use N=300 student sample.,Excluded R2-only ATT/ENJ/security-related rows and R2 source-alignment anomalies; retained R1 accepted row set.,R1 row-set acceptance retained; R2-only ATT/ENJ/security rows excluded.,Carry Phase 1 rule/progress source-checked row draft into final full-corpus freeze audit; do not start Step 5.,phase1_rule_progress_reference_draft_20260608.csv; phase1_rule_progress_audit_queue_20260608.csv; data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Evidence types: {'fornell_larcker_off_diagonal_latent_correlation': 21}; mapping confidence: {'high': 21}.
