run_id,model_provider,model_id,model_version,procedure_id,prompt_version,run_timestamp_utc,temperature,seed,task_unit_id,study_id,llm_task_family,denominator_family,scoring_eligibility,expected_answer_type,evaluation_unit_text,model_input_text,model_answer,model_answer_normalized,model_source_locator,model_source_quote,model_confidence,abstained,error_code,raw_output_ref,locked_answer_status,lock_timestamp_utc,locked_by,notes
paper2_gemini3flash_full_allfamilies_5250_5499_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T02:54:54Z,0,,P2-TASK-06021,S171,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S171 | Task family: absence_or_blank_consensus | Field/construct pair: TRA-TRU | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S171 | Task family: absence_or_blank_consensus | Field/construct pair: TRA-TRU | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=5807 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=5807,,0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T02:54:54Z,gemini_cli_noninteractive_batch,Source evidence is empty.
paper2_gemini3flash_full_allfamilies_5250_5499_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T02:54:54Z,0,,P2-TASK-06022,S171,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S171 | Task family: absence_or_blank_consensus | Field/construct pair: TRA-UB | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S171 | Task family: absence_or_blank_consensus | Field/construct pair: TRA-UB | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=5808 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=5808,,0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T02:54:54Z,gemini_cli_noninteractive_batch,Source evidence is empty.
paper2_gemini3flash_full_allfamilies_5250_5499_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T02:54:54Z,0,,P2-TASK-06023,S171,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S171 | Task family: absence_or_blank_consensus | Field/construct pair: TRU-UB | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S171 | Task family: absence_or_blank_consensus | Field/construct pair: TRU-UB | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=5809 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=5809,,0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T02:54:54Z,gemini_cli_noninteractive_batch,Source evidence is empty.
paper2_gemini3flash_full_allfamilies_5250_5499_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T02:54:54Z,0,,P2-TASK-06024,S137,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S137 | Task family: absence_or_blank_consensus | Field/construct pair: ANX-ATT | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S137 | Task family: absence_or_blank_consensus | Field/construct pair: ANX-ATT | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=5810 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=5810,,0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T02:54:54Z,gemini_cli_noninteractive_batch,Source evidence is empty.
paper2_gemini3flash_full_allfamilies_5250_5499_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T02:54:54Z,0,,P2-TASK-06025,S137,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S137 | Task family: absence_or_blank_consensus | Field/construct pair: ANX-AUT | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S137 | Task family: absence_or_blank_consensus | Field/construct pair: ANX-AUT | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=5811 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=5811,,0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T02:54:54Z,gemini_cli_noninteractive_batch,Source evidence is empty.
paper2_gemini3flash_full_allfamilies_5250_5499_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T02:54:54Z,0,,P2-TASK-06026,S137,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S137 | Task family: absence_or_blank_consensus | Field/construct pair: ANX-BI | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S137 | Task family: absence_or_blank_consensus | Field/construct pair: ANX-BI | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=5812 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=5812,,0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T02:54:54Z,gemini_cli_noninteractive_batch,Source evidence is empty.
paper2_gemini3flash_full_allfamilies_5250_5499_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T02:54:54Z,0,,P2-TASK-06027,S137,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S137 | Task family: absence_or_blank_consensus | Field/construct pair: ANX-EE | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S137 | Task family: absence_or_blank_consensus | Field/construct pair: ANX-EE | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=5813 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=5813,,0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T02:54:54Z,gemini_cli_noninteractive_batch,Source evidence is empty.
paper2_gemini3flash_full_allfamilies_5250_5499_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T02:54:54Z,0,,P2-TASK-06028,S137,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S137 | Task family: absence_or_blank_consensus | Field/construct pair: ANX-FC | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S137 | Task family: absence_or_blank_consensus | Field/construct pair: ANX-FC | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=5814 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=5814,,0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T02:54:54Z,gemini_cli_noninteractive_batch,Source evidence is empty.
paper2_gemini3flash_full_allfamilies_5250_5499_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T02:54:54Z,0,,P2-TASK-06029,S137,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S137 | Task family: absence_or_blank_consensus | Field/construct pair: ANX-PE | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S137 | Task family: absence_or_blank_consensus | Field/construct pair: ANX-PE | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=5815 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=5815,,0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T02:54:54Z,gemini_cli_noninteractive_batch,Source evidence is empty.
paper2_gemini3flash_full_allfamilies_5250_5499_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T02:54:54Z,0,,P2-TASK-06030,S137,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S137 | Task family: absence_or_blank_consensus | Field/construct pair: ANX-SE | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S137 | Task family: absence_or_blank_consensus | Field/construct pair: ANX-SE | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=5816 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=5816,,0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T02:54:54Z,gemini_cli_noninteractive_batch,Source evidence is empty.
paper2_gemini3flash_full_allfamilies_5250_5499_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T02:54:54Z,0,,P2-TASK-06031,S137,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S137 | Task family: absence_or_blank_consensus | Field/construct pair: ANX-SI | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S137 | Task family: absence_or_blank_consensus | Field/construct pair: ANX-SI | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=5817 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=5817,,0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T02:54:54Z,gemini_cli_noninteractive_batch,Source evidence is empty.
paper2_gemini3flash_full_allfamilies_5250_5499_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T02:54:54Z,0,,P2-TASK-06032,S137,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S137 | Task family: absence_or_blank_consensus | Field/construct pair: ANX-TRA | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S137 | Task family: absence_or_blank_consensus | Field/construct pair: ANX-TRA | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=5818 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=5818,,0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T02:54:54Z,gemini_cli_noninteractive_batch,Source evidence is empty.
