construct_pair,rows,studies,rows_with_numeric_n,studies_with_numeric_n,gate_status
ANX-ATT,6,6,6,6,n_ready_pairwise
ANX-BI,3,3,3,3,n_ready_pairwise
ANX-EE,3,3,3,3,n_ready_pairwise
ANX-FC,2,2,2,2,n_ready_pairwise
ANX-PE,4,4,4,4,n_ready_pairwise
ANX-SE,2,2,2,2,n_ready_pairwise
ANX-SI,3,3,3,3,n_ready_pairwise
ANX-TRU,0,0,0,0,no_effect_rows
ANX-UB,2,2,2,2,n_ready_pairwise
ATT-BI,30,30,30,30,n_ready_pairwise
ATT-EE,26,26,26,26,n_ready_pairwise
ATT-FC,10,10,10,10,n_ready_pairwise
ATT-PE,27,27,27,27,n_ready_pairwise
ATT-SE,5,5,5,5,n_ready_pairwise
ATT-SI,12,12,12,12,n_ready_pairwise
ATT-TRU,2,2,2,2,n_ready_pairwise
ATT-UB,13,13,13,13,n_ready_pairwise
BI-EE,54,54,54,54,n_ready_pairwise
BI-FC,36,36,36,36,n_ready_pairwise
BI-PE,57,57,57,57,n_ready_pairwise
BI-SE,9,9,9,9,n_ready_pairwise
BI-SI,39,39,39,39,n_ready_pairwise
BI-TRU,12,12,12,12,n_ready_pairwise
BI-UB,31,31,31,31,n_ready_pairwise
EE-FC,34,34,34,34,n_ready_pairwise
EE-PE,58,58,58,58,n_ready_pairwise
EE-SE,7,7,7,7,n_ready_pairwise
EE-SI,33,33,33,33,n_ready_pairwise
EE-TRU,10,10,10,10,n_ready_pairwise
EE-UB,30,30,30,30,n_ready_pairwise
FC-PE,34,34,34,34,n_ready_pairwise
FC-SE,6,6,6,6,n_ready_pairwise
FC-SI,28,28,28,28,n_ready_pairwise
FC-TRU,4,4,4,4,n_ready_pairwise
FC-UB,22,22,22,22,n_ready_pairwise
PE-SE,15,15,15,15,n_ready_pairwise
PE-SI,35,35,35,35,n_ready_pairwise
PE-TRU,12,12,12,12,n_ready_pairwise
PE-UB,29,29,29,29,n_ready_pairwise
SE-SI,6,6,6,6,n_ready_pairwise
SE-TRU,1,1,1,1,n_ready_pairwise
SE-UB,5,5,5,5,n_ready_pairwise
SI-TRU,9,9,9,9,n_ready_pairwise
SI-UB,22,22,22,22,n_ready_pairwise
TRU-UB,8,8,8,8,n_ready_pairwise
