record_id,title,abstract,year,search_source,screen_decision_codex,screen_decision_gemini,screen_confidence_codex,screen_confidence_gemini,exclude_code_codex,exclude_code_gemini,rationale_codex,rationale_gemini,screen_consensus,oauth_auth_method_codex,oauth_auth_method_gemini,human1_decision,human2_decision,adjudicated_final_decision,exclude_code,decision_rationale,adjudicator_id,screening_tier,codex_retry2_model,consensus_note,review_priority,review_type
REC_01691,Are AI Tools Effective in Reducing Cognitive Load or Boosting Writing Self-Efficacy for L2 Postgraduates?,"The extent to which postgraduate students benefit from AI tools in research-based second-language (L2) writing remains underexplored. This study examined how AI usage impacts writing self-efficacy and cognitive load among postgraduates with varying levels of L2 literacy. A mixed-methods approach was employed, combining questionnaire surveys with semi-structured interviews. The findings showed that AI tools significantly benefited only those with lower L2 literacy: AI use positively predicted increased writing self-efficacy without affecting perceived cognitive load. In contrast, for postgraduates with higher L2 literacy, increased AI use did not correlate with improved writing self-efficacy or reduced cognitive load. Qualitative data further indicated that students with lower L2 proficiency primarily valued AI tools for reading lengthy texts along with other benefits. However, those with higher proficiency expressed strong reservations about relying on AI for evaluative reading and idea planning. These findings offer valuable insights for academic writing instructors, supporting informed decisions on the integration and effective use of AI technologies in academic writing instruction.",2025,WoS; Scopus,include,include,0.9,1.0,,,"This is an empirical mixed-methods study with a clear quantitative component (questionnaire data) focused on AI tool use among postgraduate students in an educational writing context. It measures AI use and reports predictive relationships (e.g., AI use positively predicted self-efficacy), making effect-size extraction likely feasible.","The study is an empirical quantitative study investigating the impact of AI tools on L2 postgraduates in an educational context, measuring AI usage and reporting correlational findings. It falls within the specified publication window.",include,oauth,oauth,,,,,,,,,,HIGH,include_confirm
REC_07054,Exploring factors influencing educators' adoption of ChatGPT: a mixed method approach,"PurposeA number of recent artificial intelligence (AI)-enabled technologies, including summarisers, paraphrasers and the cutting-edge chatbots not only have outstanding potentials in modern educational systems but also could lead to a dramatic paradigm shift in the whole education process. This study aims to explore the factors that shape the academic community's desire and intention to use AI conversational chatbot technology, with a particular focus on the leading ChatGPT.Design/methodology/approachThis study uses a mixed method approach to explore the educators' adoption of chatbots through an empirically validated model. The model, known as the Educators' Adoption of ChatGPT, was developed by integrating the theoretical foundations of both the Unified Theory of Acceptance and Use of Technology and Status Quo Bias (SQB) frameworks, as well as insights gathered from interviews. The relationships within this model were then tested using a quantitative approach. The partial least squares-structural equation modelling method was used to analyse 243 valid survey responses.FindingsThe outcomes of the analysis indicated that perceived educators' effort expectancy, educators' autonomous motivation, perceived learners' AI competency, perceived educators' competency, innovative behaviour towards technological agility and perceived students' engagement are significant determinants of educators' intention to use chatbots. In contrast, perceived unfair evaluation of students, perceived students' overreliance and perceived bias/inaccuracies were shown to have significant impacts on the resistance to use the technology, which typically implies a negatively significant influence on the educators' use intention. Interestingly, perceived fraudulent use of ChatGPT was proven insignificant on the resistance to use chatbots.Originality/valueThis study makes a significant contribution to the field of educational technology by filling the gap in research on the use and acceptance of AI-enabled assistants in education. It proposes an original, empirically validated model of educator adoption, which identifies the factors that influence educators' willingness to use chatbots in higher education and offers valuable insights for practical implementation.",2024,WoS; Scopus,include,include,0.96,1.0,,,This is an empirical mixed-method study with a clear quantitative component (PLS-SEM on 243 educator surveys) focused on ChatGPT adoption in higher education. It directly measures adoption intention/resistance and is very likely to report standardized path coefficients suitable for meta-analytic effect-size extraction.,"This empirical quantitative study uses SEM to examine factors influencing educators' intention to adopt ChatGPT within an educational context, published in 2024, and is likely to report effect sizes.",include,oauth,oauth,,,,,,,,,,HIGH,include_confirm
REC_07616,The Influence of Social Support Theory on AI Acceptance: Examining Educational Support and Perceived Usefulness Using SEM Analysis,"This study investigates factors influencing the acceptance of artificial intelligence (AI) in education, focusing on attitudes and intentions toward its use. Drawing on the Technology Acceptance Model (TAM) and Social Support Theory (SST), the research examines perceived usefulness, ease of use, and support measures, including educational and emotional support. The study was conducted at King Saud University, where it adopted a quantitative approach, collecting data from 350 participants through a structured survey. A final sample of 308 valid responses was analyzed using Structural Equation Modeling (SEM). The findings revealed significant relationships between key constructs: perceived educational support positively influenced perceived usefulness ( beta=0.160 , p = 0.000) and attitudes toward AI ( beta=0.140 , p = 0.010). Perceived usefulness ( beta=0.670 , p = 0.000) and ease of use ( beta=0.330 , p = 0.000) were strong predictors of positive attitudes, which, in turn, significantly shaped intentions to use AI ( beta=0.760 , p = 0.000). Emotional support and cognitive support also had notable but mixed effects on perceived usefulness. However, social interaction support and perceived enjoyment did not demonstrate significant influence. These findings highlight the importance of designing AI systems that emphasise usability and provide robust educational and emotional support to enhance acceptance. The study contributes to theory by extending TAM with constructs from SST, offering new insights into AI adoption in academic contexts. Practically, the results guide policymakers and developers in fostering AI acceptance by addressing educational and emotional needs, ensuring effective implementation in higher education.",2025,WoS; Scopus; IEEE,include,include,0.97,0.9,,,"This is an empirical quantitative survey study (n=308) in a higher-education setting using SEM, with AI acceptance/intention as focal outcomes. It reports standardized path coefficients (beta values), is in English, and falls within the 2015–2025 window (2025).","This empirical quantitative study uses SEM to examine AI acceptance in an educational setting, reporting beta coefficients. It clearly focuses on AI and adoption outcomes, and was published within the specified timeframe.",include,oauth,oauth,,,,,,,,,,HIGH,include_confirm
REC_12203,Using Artificial Intelligence Technology to Improve Business English Language Teaching Effectiveness,"The wave of artificial intelligence and digital technology advances educational intelligence and has a profound impact on English teaching. Taking business English students in a university as an example, the study combines structural equation modeling to explore the main factors affecting students' behavioral intention to use artificial intelligence technology to assist business English learning. Based on this basis, it analyzes the current situation of business English teaching mode and proposes a business English teaching mode based on artificial intelligence technology. Teaching experiments were conducted in two parallel classes of business English majors in a university, and questionnaires were designed to measure and compare the students' business English proficiency levels to further verify the effectiveness of the proposed business English teaching model with artificial intelligence. The results show that the factors directly influencing students' behavioral intention to use AI technology-assisted learning are performance expectation, effort expectation, facilitation, and attitude (p < 0.05). The business English proficiency of the students who practiced the AI teaching model improved by 4.39% and 5.47% compared with the students in the pre-experimental and traditional models. Specifically, there was a significant difference in language comprehension, language evaluation, and language use. This paper's research results validate the enhancement impact of artificial intelligence technology on business English language teaching and enhance the theoretical research on business English language teaching. © 2024 Yan Huang.",2024,Scopus,include,include,0.93,0.9,,,"This is a 2024 empirical quantitative university study centered on AI technology, using SEM and questionnaires to examine students’ behavioral intention to use AI in business English learning. The abstract indicates adoption-related predictors and experimental comparison outcomes, making standardized path/effect-size information likely available.","This is an empirical quantitative study using SEM to explore factors influencing students' behavioral intention to use AI in an educational setting, published in 2024.",include,oauth,oauth,,,,,,,,,,HIGH,include_confirm
REC_12458,Investigating EFL Learners’ Perceptions of Using AI to Enhance English Vocabulary Acquisition Based on The Technology Acceptance Model,"The technological advancement of artificial intelligence (AI) has been shown to confer significant benefits in both technical and educational realms. Accordingly, the study aims to investigate learners’ perspectives on AI tools and attempts to assess which aspects of these tools are useful in improving vocabulary acquisition in a Saudi context. A structured questionnaire was designed based on the technology acceptance model (TAM) by using a quantitative method, and distributed to 112 undergraduate students from different colleges in Saudi Arabia, the majority of whom are Generation Z. The findings revealed that EFL learners generally hold a favorable view of AI tools for vocabulary acquisition, and gender differences were found to be statistically significant (p < 0.00) where female respondents report greater scores in terms of ease of use, usefulness, positive attitudes, and their intentions toward adoption. In addition, a person’s intention to adopt technology is primarily influenced by their assessment of its positive attitudes, followed by its simplicity and benefits of use. This study provides a deeper understanding about implementing AI tools to enhance EFL learners’ English vocabulary acquisition. The results can also nudge teachers and policymakers to further enhance their instructional strategies in ways that foster a more engaging and supportive environment for vocabulary growth. © © 2025 by the author(s).",2025,Scopus,include,include,0.9,1.0,,,This is a quantitative TAM-based study of undergraduate EFL students that directly examines AI tool perceptions and intention to adopt/use in an educational context. The reported significance testing and stated predictors of intention indicate likely availability of usable association/path statistics for meta-analysis.,"This is an empirical quantitative study using a questionnaire to assess EFL learners' perceptions and intentions to adopt AI tools for vocabulary acquisition in an educational setting, published in 2025. TAM-based studies are likely to report effect sizes suitable for meta-analysis.",include,oauth,oauth,,,,,,,,,,HIGH,include_confirm
REC_12844,Exploring the acceptance of ChatGPT in higher education: a comprehensive quantitative study of university students and faculty,"The study explores the acceptance and use of ChatGPT in higher education, focusing on university students and faculty members. The research aims to identify the factors that influence the behavioral intention to use ChatGPT, utilizing the Unified Theory of Acceptance and Use of Technology 2 (UTAUT2) as the theoretical framework. Key constructs such as performance expectancy, effort expectancy, social influence, facilitating conditions, hedonic motivation, price value, and habit were examined for their impact on the acceptance of ChatGPT. Data were collected through a survey of 378 participants, including 346 students and 32 faculty members, from various faculties at a university in Eastern Europe. The findings reveal that effort expectancy and performance expectancy were the most significant predictors of behavioral intention to use ChatGPT. Faculty members demonstrated a higher intention to use ChatGPT compared to students, likely due to their greater experience with technology. Hedonic motivation also played an important role in both groups, indicating that enjoyment contributed to the acceptance of the tool. The study concludes that ChatGPT holds great potential for enhancing education, but its habitual use is not yet widespread. The results suggest that universities should focus on improving institutional support and training to facilitate broader acceptance of ChatGPT among students and faculty.",2025,WoS; Scopus,include,include,0.96,0.9,,,This is an empirical quantitative survey study in higher education (students and faculty) focused on ChatGPT acceptance/intention using UTAUT2 constructs. The reported significant predictors of behavioral intention strongly suggest regression/SEM-style standardized path/beta outputs suitable for meta-analytic effect extraction.,"This is a quantitative study focused on ChatGPT acceptance in higher education, explicitly measuring adoption outcomes using a theoretical model that likely reports effect sizes. It is in English and within the target publication window.",include,oauth,oauth,,,,,,,,,,HIGH,include_confirm
REC_14868,"OBSTACLES TO THE USE OF AI APPLICATIONS IN BLACKBOARD FOR FACULTY MEMBERS AT NORTHERN BORDER UNIVERSITY, SAUDI ARABIA","This study investigates the impediments and facilitators of artificial intelligence (AI) use in the Blackboard Learning Management System. A survey of 286 faculty members at Northern Border University examined demographics, AI tool usage frequency, adoption barriers, and factors influencing AI integration in teaching. Results revealed significant perceived barriers to AI tool use in Blackboard, with insufficient support and training identified as the primary obstacle. The survey found that gender and educational level influenced the adoption of the AI tool. The study suggests that addressing faculty training needs, ensuring privacy and security, and improving AI tool reliability could help overcome perceived impediments to AI use in Blackboard. These findings contribute to understanding the challenges and potential solutions for integrating AI in higher education learning management systems.",2024,WoS,include,include,0.84,1.0,,,"This is a quantitative survey study of faculty in a university context focused on AI use in Blackboard, and it measures adoption/use barriers and related predictors. While the abstract does not explicitly report a correlation matrix or standardized beta/path coefficients, inferential association data appear likely from the reported significant influences.","Empirical quantitative survey on faculty members' AI tool adoption in an educational setting (Blackboard), published in 2024, and likely contains relevant effect sizes.",include,oauth,oauth,,,,,,,,,,HIGH,include_confirm
REC_14933,Exploring Academics Intentions to Incorporate ChatGPT into Their Teaching Practices,"This paper sets to investigate the factors that affect UK academics attitudes towards incorporating Chat GPT in their teaching practices. To do so, the Technology Acceptance Model (TAM) and its extension the Unified Theory of Acceptance and Use of Technology (UTAUT) are employed, using a quantitative web-based survey questionnaire by collecting data from the University of Liverpool Management School (ULMS) in UK. The findings show that the original TAM variables of perceived ease of use and perceived usefulness, and the perceived self-efficacy (from the UTAUT) are positively affecting UK academics attitudes toward Chat GPT. Hence, the original TAM is still suitable for use, even for new disruptive technologies such as Chat GPT. To date, this is the only study that empirically explores the factors that influence academics to use Chat GPT within the UK Higher Education context.",2024,WoS; Scopus,include,include,0.96,0.95,,,"The abstract describes an empirical quantitative survey of UK academics using TAM/UTAUT constructs to explain intentions/attitudes toward incorporating ChatGPT in teaching, which matches the educational AI adoption focus. Given the model-based quantitative analysis with reported positive predictor effects, standardized path/beta-type effect sizes are likely available.","The study is a quantitative empirical investigation into UK academics' intentions to use ChatGPT in teaching, aligning with all inclusion criteria. The use of TAM and UTAUT models suggests likely availability of relevant effect size data.",include,oauth,oauth,,,,,,,,,,HIGH,include_confirm
REC_02769,The GenAI divide among university students: A call for action☆,"The rapid pace of technological change with generative artificial intelligence is accelerating much faster than our capacity to understand and regulate it. Higher education institutions have been firmly focused on the impacts of this innovation on academic integrity while grappling with unknown longer-term impacts on students' academic study and future work. This mixed method study aims to capture student perspectives on their self-reported understanding of GenAI and intentions to use GenAI for their academic study during the critical diffusion stage and policy vacuum. Through a survey with 194 university students, the study explored student's understanding, knowledge, experience and intended use of GenAI tools to support their academic study. The paper presents three distinct student profiles established through cluster analysis of measures of digital and AI literacy, which are then explored in-depth through presentation of qualitative items. Notably, the cluster profiles demonstrate variation across the profiles of novice, cautious and enthusiastic users and patterns related to their knowledge of ChatGPT and intended uses. The paper draws on digital divide empirical literature and explores the potential to repeat digital divides among groups of students based on their access, capabilities, and capacity to leverage these for educational advantage. We propose that building upon a vast existing body of educational research about digital literacy inequalities offers rich insights into the current problems facing education institutions, specifically, what role do universities play in supporting students to understand and harness GenAI, now and in their futures.",2025,WoS; Scopus,uncertain,include,0.54,0.67,,,"The title suggests a commentary-style piece on AI inequity in universities, so empirical quantitative evidence is not clear, and no abstract/methods are provided. There is insufficient information to confirm whether it reports participant-based educational AI-adoption effects (e.g., TAM/UTAUT/intention outcomes) required by your criteria.",Codex-sub(gpt-5.1-codex-mini): Quantitative survey with 194 students measuring GenAI knowledge and intentions to use; includes cluster analysis (statistical) and fits AI-in-education adoption scope.,include,retry_codex_for_t2,oauth,,,,,,,T2_single_ai,,,HIGH,include_confirm
REC_12839,"Faculty perspectives on generative artificial intelligence: insights into awareness, benefits, concerns, and uses","Background The study examined university faculty members' perspectives on Generative Artificial Intelligence (GenAI) tools, focusing on their awareness, perceived benefits, concerns, and uses and applications in education.Methods The study employed a cross-sectional descriptive research design in which data were collected using a questionnaire instrument in the summer semester of the 2023/2024 academic year. The number of participants was 102 Kuwaiti faculty members.Results The results showed that participant had a moderate awareness of GenAI tools, with some key areas standing out, i.e., their impact on education, ethical implications, and ease of use. Faculty members had positive and high perceptions of the benefits of GenAI tools and their applications in education, particularly in reducing administrative tasks, supporting research, fostering innovation in curriculum design, and enhancing online learning. In addition, results showed that faculty members had a moderate concern regarding GenAI and their application in education. The key problems were related to the contrary effect of GenAI on academic integrity, the potential for plagiarism, over-reliance on these tools, over-dependence on technology, and ethical implications. The participants reported moderate but lower utilization of GenAI tools than their awareness and perceptions. The results revealed significant gender-based differences in participants' awareness, perceived benefits, and utilization of GenAI tools. In contrast, no significant variations were found in faculty members' awareness, perceived benefits, concerns, and utilization levels based on academic rank.Conclusion Based on the findings, the study recommended providing professional development programs for faculty members and students and issuing guidelines and policies to ensure the efficient and ethical use of GenAI tools for educational purposes.",2025,WoS,uncertain,include,0.42,0.62,E6,,"The study title suggests a potentially relevant educational-actor perspective survey on generative AI, but the available abstract is missing, so it is unclear whether it is a quantitative empirical study with adoption-construct measures and whether it reports effect sizes (e.g., correlations, regressions, or SEM paths).","Codex-sub(gpt-5.1-codex-mini): Survey of 102 faculty on GenAI in education with quantitative awareness/benefit/use measures and reported significant differences, satisfying all inclusion criteria.",include,retry_codex_for_t2,oauth,,,,,,,T2_single_ai,,,HIGH,include_confirm
