study_id,construct_1,construct_2,r_numeric,sample_size_numeric,source_file,source_location,flag,notes
S222,BI,EE,0.46,50.0,latest_human_R1_CORRELATIONS,"Table 6, p.2028",,
S222,BI,PE,0.58,50.0,latest_human_R1_CORRELATIONS,"Table 6, p.2028",,
S218,ATT,BI,0.78,242.0,latest_human_R1_CORRELATIONS,"Table 1, p.5",,
S218,ATT,EE,0.69,242.0,latest_human_R1_CORRELATIONS,"Table 1, p.5",,
S218,ATT,PE,0.7,242.0,latest_human_R1_CORRELATIONS,"Table 1, p.5",,
S218,BI,EE,0.59,242.0,latest_human_R1_CORRELATIONS,"Table 1, p.5",,
S218,BI,PE,0.63,242.0,latest_human_R1_CORRELATIONS,"Table 1, p.5",,
S218,EE,PE,0.66,242.0,latest_human_R1_CORRELATIONS,"Table 1, p.5",,
S185,ANX,ATT,0.46,298.0,latest_human_R1_CORRELATIONS,"Table 3, p.7",,DIS mapped to ANX
S185,ANX,BI,0.47,298.0,latest_human_R1_CORRELATIONS,"Table 3, p.7",,DIS mapped to ANX
S185,ANX,EE,0.47,298.0,latest_human_R1_CORRELATIONS,"Table 3, p.7",,DIS mapped to ANX
S185,ANX,PE,0.44,298.0,latest_human_R1_CORRELATIONS,"Table 3, p.7",,DIS mapped to ANX
S185,ATT,BI,0.45,298.0,latest_human_R1_CORRELATIONS,"Table 3, p.7",,
S185,ATT,EE,0.47,298.0,latest_human_R1_CORRELATIONS,"Table 3, p.7",,
S185,ATT,PE,0.5,298.0,latest_human_R1_CORRELATIONS,"Table 3, p.7",,
S185,BI,EE,0.52,298.0,latest_human_R1_CORRELATIONS,"Table 3, p.7",,
S185,BI,PE,0.46,298.0,latest_human_R1_CORRELATIONS,"Table 3, p.7",,
S185,EE,PE,0.48,298.0,latest_human_R1_CORRELATIONS,"Table 3, p.7",,
S194,BI,EE,0.44,469.0,latest_human_R1_CORRELATIONS,"Table 3, p.825",,
S194,BI,FC,0.49,469.0,latest_human_R1_CORRELATIONS,"Table 3, p.825",,
S194,BI,PE,-0.08,469.0,latest_human_R1_CORRELATIONS,"Table 3, p.825",,
S194,BI,SI,0.62,469.0,latest_human_R1_CORRELATIONS,"Table 3, p.825",,
S194,BI,UB,0.64,469.0,latest_human_R1_CORRELATIONS,"Table 3, p.825",,e-CloudAC mapped to UB
S194,EE,FC,0.55,469.0,latest_human_R1_CORRELATIONS,"Table 3, p.825",,
S194,EE,PE,-0.1,469.0,latest_human_R1_CORRELATIONS,"Table 3, p.825",,
S194,EE,SI,0.52,469.0,latest_human_R1_CORRELATIONS,"Table 3, p.825",,
S194,EE,UB,0.49,469.0,latest_human_R1_CORRELATIONS,"Table 3, p.825",,e-CloudAC mapped to UB
S194,FC,PE,-0.12,469.0,latest_human_R1_CORRELATIONS,"Table 3, p.825",,
S194,FC,SI,0.59,469.0,latest_human_R1_CORRELATIONS,"Table 3, p.825",,
S194,FC,UB,0.52,469.0,latest_human_R1_CORRELATIONS,"Table 3, p.825",,e-CloudAC mapped to UB
S194,PE,SI,-0.12,469.0,latest_human_R1_CORRELATIONS,"Table 3, p.825",,
S194,PE,UB,-0.05,469.0,latest_human_R1_CORRELATIONS,"Table 3, p.825",,e-CloudAC mapped to UB
S194,SI,UB,0.56,469.0,latest_human_R1_CORRELATIONS,"Table 3, p.825",,e-CloudAC mapped to UB
S208,BI,EE,0.43,526.0,latest_human_R1_CORRELATIONS,"Table 2, p.829",,WA mapped to BI
S208,BI,PE,0.24,526.0,latest_human_R1_CORRELATIONS,"Table 2, p.829",,WA mapped to BI
S208,BI,SI,0.46,526.0,latest_human_R1_CORRELATIONS,"Table 2, p.829",,WA mapped to BI
S208,BI,TRU,0.52,526.0,latest_human_R1_CORRELATIONS,"Table 2, p.829",,WA mapped to BI
S208,EE,PE,0.4,526.0,latest_human_R1_CORRELATIONS,"Table 2, p.829",,
S208,EE,SI,0.36,526.0,latest_human_R1_CORRELATIONS,"Table 2, p.829",,
S208,EE,TRU,0.4,526.0,latest_human_R1_CORRELATIONS,"Table 2, p.829",,
S208,PE,SI,0.3,526.0,latest_human_R1_CORRELATIONS,"Table 2, p.829",,
S208,PE,TRU,0.3,526.0,latest_human_R1_CORRELATIONS,"Table 2, p.829",,
S208,SI,TRU,0.24,526.0,latest_human_R1_CORRELATIONS,"Table 2, p.829",,
S028,ATT,BI,0.88,508.0,latest_human_R1_CORRELATIONS,"Table 4, p.7",,
S028,ATT,EE,0.63,508.0,latest_human_R1_CORRELATIONS,"Table 4, p.7",,
S028,ATT,PE,0.81,508.0,latest_human_R1_CORRELATIONS,"Table 4, p.7",,
S028,ATT,SE,0.72,508.0,latest_human_R1_CORRELATIONS,"Table 4, p.7",,
S028,BI,EE,0.63,508.0,latest_human_R1_CORRELATIONS,"Table 4, p.7",,
S028,BI,PE,0.82,508.0,latest_human_R1_CORRELATIONS,"Table 4, p.7",,
S028,BI,SE,0.69,508.0,latest_human_R1_CORRELATIONS,"Table 4, p.7",,
S028,EE,PE,0.67,508.0,latest_human_R1_CORRELATIONS,"Table 4, p.7",,
S028,EE,SE,0.79,508.0,latest_human_R1_CORRELATIONS,"Table 4, p.7",,
S028,PE,SE,0.69,508.0,latest_human_R1_CORRELATIONS,"Table 4, p.7",,
S059,ATT,BI,0.9,645.0,latest_human_R1_CORRELATIONS,"Table 4, p.9",,
S059,ATT,EE,0.26,645.0,latest_human_R1_CORRELATIONS,"Table 4, p.9",,
S059,ATT,PE,0.29,645.0,latest_human_R1_CORRELATIONS,"Table 4, p.9",,
S059,EE,PE,0.18,645.0,latest_human_R1_CORRELATIONS,"Table 4, p.9",,
S145,BI,EE,0.2,374.0,latest_human_R1_CORRELATIONS,"Table 3, p.24",,
S145,BI,UB,0.34,374.0,latest_human_R1_CORRELATIONS,"Table 3, p.24",,AU mapped to UB
S145,EE,UB,0.2,374.0,latest_human_R1_CORRELATIONS,"Table 3, p.24",,AU mapped to UB
S110,BI,EE,0.62,353.0,latest_human_R1_CORRELATIONS,"Table 4, p.627",,r column in Table 4 (distinct from beta)
S110,BI,PE,0.68,353.0,latest_human_R1_CORRELATIONS,"Table 4, p.627",,r column in Table 4 (distinct from beta)
S110,BI,SI,0.52,353.0,latest_human_R1_CORRELATIONS,"Table 4, p.627",,r column in Table 4 (distinct from beta)
S177,BI,EE,0.718,283.0,latest_human_R1_CORRELATIONS,"Table 3 (Fornell-Larcker), p.8",,r from Fornell-Larcker. Path PEOU->ITU beta=0.229.
S177,BI,PE,0.712,283.0,latest_human_R1_CORRELATIONS,"Table 3 (Fornell-Larcker), p.8",,r from Fornell-Larcker. Path PU->ITU beta=0.338.
S177,EE,PE,0.571,283.0,latest_human_R1_CORRELATIONS,"Table 3 (Fornell-Larcker), p.8",,PLS-SEM composite correlations. Also path PEOU->PU beta=0.571.
S169,ATT,BI,0.792,250.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.12",,
S169,ATT,EE,0.628,250.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.12",,
S169,ATT,FC,0.464,250.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.12",,
S169,ATT,PE,0.808,250.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.12",,
S169,BI,EE,0.533,250.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.12",,
S169,BI,FC,0.292,250.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.12",,
S169,BI,PE,0.703,250.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.12",,
S169,EE,FC,0.27,250.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.12",,
S169,EE,PE,0.609,250.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.12",,
S169,FC,PE,0.369,250.0,latest_human_R1_CORRELATIONS,"Table 4 (Fornell-Larcker), p.12",,
S015,BI,EE,0.686,528.0,latest_human_R1_CORRELATIONS,"Table 1 (Fornell-Larcker Poland), p.8",,CB-SEM (AMOS). Poland sample.
S015,BI,FC,0.579,528.0,latest_human_R1_CORRELATIONS,"Table 1 (Fornell-Larcker Poland), p.8",,CB-SEM (AMOS). Poland sample.
S015,BI,PE,0.816,528.0,latest_human_R1_CORRELATIONS,"Table 1 (Fornell-Larcker Poland), p.8",,CB-SEM (AMOS). Poland sample.
