run_id,task_unit_id,study_id,denominator_family_original,expected_answer_type_used,retrieval_smoke_category,recommended_model_input_route,expected_r_value,model_value,score_status,is_correct,score_rule,absolute_error,abstained,error_code,model_answer_nonblank,model_source_locator_nonblank,model_source_quote_nonblank,route_violation_non_path_answered_as_beta_path
paper_b_full_corpus_m1_raw_source_rendered_table_retrieval_smoke_20260610,FC-S5-TASK-00016,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,direct_r_table_retrieval_retest,direct_r_effect_size_extraction,0.271,0.271,scored,1,numeric_abs_error_le_0.005,0.000000,0,,1,1,0,0
paper_b_full_corpus_m1_raw_source_rendered_table_retrieval_smoke_20260610,FC-S5-TASK-00017,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,direct_r_table_retrieval_retest,direct_r_effect_size_extraction,0.496,0.496,scored,1,numeric_abs_error_le_0.005,0.000000,0,,1,1,0,0
paper_b_full_corpus_m1_raw_source_rendered_table_retrieval_smoke_20260610,FC-S5-TASK-00018,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,direct_r_table_retrieval_retest,direct_r_effect_size_extraction,0.414,0.414,scored,1,numeric_abs_error_le_0.005,0.000000,0,,1,1,0,0
paper_b_full_corpus_m1_raw_source_rendered_table_retrieval_smoke_20260610,FC-S5-TASK-00019,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,direct_r_table_retrieval_retest,direct_r_effect_size_extraction,0.241,0.241,scored,1,numeric_abs_error_le_0.005,0.000000,0,,1,1,0,0
paper_b_full_corpus_m1_raw_source_rendered_table_retrieval_smoke_20260610,FC-S5-TASK-00020,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,direct_r_table_retrieval_retest,direct_r_effect_size_extraction,0.448,0.448,scored,1,numeric_abs_error_le_0.005,0.000000,0,,1,1,0,0
paper_b_full_corpus_m1_raw_source_rendered_table_retrieval_smoke_20260610,FC-S5-TASK-00021,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,direct_r_table_retrieval_retest,direct_r_effect_size_extraction,0.565,0.565,scored,1,numeric_abs_error_le_0.005,0.000000,0,,1,1,0,0
paper_b_full_corpus_m1_raw_source_rendered_table_retrieval_smoke_20260610,FC-S5-TASK-00022,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,direct_r_table_retrieval_retest,direct_r_effect_size_extraction,0.609,0.609,scored,1,numeric_abs_error_le_0.005,0.000000,0,,1,1,0,0
paper_b_full_corpus_m1_raw_source_rendered_table_retrieval_smoke_20260610,FC-S5-TASK-00023,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,direct_r_table_retrieval_retest,direct_r_effect_size_extraction,0.644,0.644,scored,1,numeric_abs_error_le_0.005,0.000000,0,,1,1,0,0
paper_b_full_corpus_m1_raw_source_rendered_table_retrieval_smoke_20260610,FC-S5-TASK-00024,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,direct_r_table_retrieval_retest,direct_r_effect_size_extraction,0.726,0.726,scored,1,numeric_abs_error_le_0.005,0.000000,0,,1,1,0,0
paper_b_full_corpus_m1_raw_source_rendered_table_retrieval_smoke_20260610,FC-S5-TASK-00025,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,direct_r_table_retrieval_retest,direct_r_effect_size_extraction,0.73,0.73,scored,1,numeric_abs_error_le_0.005,0.000000,0,,1,1,0,0
paper_b_full_corpus_m1_raw_source_rendered_table_retrieval_smoke_20260610,FC-S5-TASK-00093,S009,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,true_beta_path_table_retrieval_retest,beta_or_path_converted_effect_size,0.263,,scored_abstention,0,abstention_counts_incorrect_for_scorable_smoke_rows,,1,insufficient_evidence,0,0,0,0
paper_b_full_corpus_m1_raw_source_rendered_table_retrieval_smoke_20260610,FC-S5-TASK-00094,S009,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,true_beta_path_table_retrieval_retest,beta_or_path_converted_effect_size,-0.020,,scored_abstention,0,abstention_counts_incorrect_for_scorable_smoke_rows,,1,insufficient_evidence,0,0,0,0
paper_b_full_corpus_m1_raw_source_rendered_table_retrieval_smoke_20260610,FC-S5-TASK-00095,S009,secondary_beta_or_path_converted_effect_size,numeric_effect_size_with_source_type,true_beta_path_table_retrieval_retest,beta_or_path_converted_effect_size,0.085,,scored_abstention,0,abstention_counts_incorrect_for_scorable_smoke_rows,,1,insufficient_evidence,0,0,0,0
