study_id,reference_record_id,phase_block,pair,sample_or_stratum,n,construct_1,construct_2,r_value,r_source,original_beta,source_location,evidence_type,mapping_confidence,decision_status,step3_decision_source,notes
S054,S054_teacher_only_BI_EE,phase1,Pair A,teacher_only,299,BI,EE,0.618,source_reported_latent_correlation,,S054.pdf Table 4 teacher-sample construct intercorrelations,fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_rule_applied_teacher_only,data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md; data/04_extraction/02_pre_adjudication_disagreement/phase1/AI_Adoption_Phase1_Pairwise_Comparison_R1R2_R3R4_20260424.xlsx,Teacher-only n=299 retained; student/high-school subsample excluded; Perceived Playfulness rows excluded because PP is not mapped to ATT.
S054,S054_teacher_only_BI_FC,phase1,Pair A,teacher_only,299,BI,FC,0.615,source_reported_latent_correlation,,S054.pdf Table 4 teacher-sample construct intercorrelations,fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_rule_applied_teacher_only,data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md; data/04_extraction/02_pre_adjudication_disagreement/phase1/AI_Adoption_Phase1_Pairwise_Comparison_R1R2_R3R4_20260424.xlsx,Teacher-only n=299 retained; student/high-school subsample excluded; Perceived Playfulness rows excluded because PP is not mapped to ATT.
S054,S054_teacher_only_BI_PE,phase1,Pair A,teacher_only,299,BI,PE,0.48,source_reported_latent_correlation,,S054.pdf Table 4 teacher-sample construct intercorrelations,fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_rule_applied_teacher_only,data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md; data/04_extraction/02_pre_adjudication_disagreement/phase1/AI_Adoption_Phase1_Pairwise_Comparison_R1R2_R3R4_20260424.xlsx,Teacher-only n=299 retained; student/high-school subsample excluded; Perceived Playfulness rows excluded because PP is not mapped to ATT.
S054,S054_teacher_only_BI_SI,phase1,Pair A,teacher_only,299,BI,SI,0.542,source_reported_latent_correlation,,S054.pdf Table 4 teacher-sample construct intercorrelations,fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_rule_applied_teacher_only,data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md; data/04_extraction/02_pre_adjudication_disagreement/phase1/AI_Adoption_Phase1_Pairwise_Comparison_R1R2_R3R4_20260424.xlsx,Teacher-only n=299 retained; student/high-school subsample excluded; Perceived Playfulness rows excluded because PP is not mapped to ATT.
S054,S054_teacher_only_EE_FC,phase1,Pair A,teacher_only,299,EE,FC,0.708,source_reported_latent_correlation,,S054.pdf Table 4 teacher-sample construct intercorrelations,fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_rule_applied_teacher_only,data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md; data/04_extraction/02_pre_adjudication_disagreement/phase1/AI_Adoption_Phase1_Pairwise_Comparison_R1R2_R3R4_20260424.xlsx,Teacher-only n=299 retained; student/high-school subsample excluded; Perceived Playfulness rows excluded because PP is not mapped to ATT.
S054,S054_teacher_only_EE_PE,phase1,Pair A,teacher_only,299,EE,PE,0.491,source_reported_latent_correlation,,S054.pdf Table 4 teacher-sample construct intercorrelations,fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_rule_applied_teacher_only,data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md; data/04_extraction/02_pre_adjudication_disagreement/phase1/AI_Adoption_Phase1_Pairwise_Comparison_R1R2_R3R4_20260424.xlsx,Teacher-only n=299 retained; student/high-school subsample excluded; Perceived Playfulness rows excluded because PP is not mapped to ATT.
S054,S054_teacher_only_EE_SI,phase1,Pair A,teacher_only,299,EE,SI,0.617,source_reported_latent_correlation,,S054.pdf Table 4 teacher-sample construct intercorrelations,fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_rule_applied_teacher_only,data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md; data/04_extraction/02_pre_adjudication_disagreement/phase1/AI_Adoption_Phase1_Pairwise_Comparison_R1R2_R3R4_20260424.xlsx,Teacher-only n=299 retained; student/high-school subsample excluded; Perceived Playfulness rows excluded because PP is not mapped to ATT.
S054,S054_teacher_only_FC_PE,phase1,Pair A,teacher_only,299,FC,PE,0.421,source_reported_latent_correlation,,S054.pdf Table 4 teacher-sample construct intercorrelations,fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_rule_applied_teacher_only,data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md; data/04_extraction/02_pre_adjudication_disagreement/phase1/AI_Adoption_Phase1_Pairwise_Comparison_R1R2_R3R4_20260424.xlsx,Teacher-only n=299 retained; student/high-school subsample excluded; Perceived Playfulness rows excluded because PP is not mapped to ATT.
S054,S054_teacher_only_FC_SI,phase1,Pair A,teacher_only,299,FC,SI,0.68,source_reported_latent_correlation,,S054.pdf Table 4 teacher-sample construct intercorrelations,fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_rule_applied_teacher_only,data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md; data/04_extraction/02_pre_adjudication_disagreement/phase1/AI_Adoption_Phase1_Pairwise_Comparison_R1R2_R3R4_20260424.xlsx,Teacher-only n=299 retained; student/high-school subsample excluded; Perceived Playfulness rows excluded because PP is not mapped to ATT.
S054,S054_teacher_only_PE_SI,phase1,Pair A,teacher_only,299,PE,SI,0.472,source_reported_latent_correlation,,S054.pdf Table 4 teacher-sample construct intercorrelations,fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_rule_applied_teacher_only,data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md; data/04_extraction/02_pre_adjudication_disagreement/phase1/AI_Adoption_Phase1_Pairwise_Comparison_R1R2_R3R4_20260424.xlsx,Teacher-only n=299 retained; student/high-school subsample excluded; Perceived Playfulness rows excluded because PP is not mapped to ATT.
