study_id,reference_record_id,phase_block,pair,sample_or_stratum,n,construct_1,construct_2,r_value,r_source,original_beta,source_location,evidence_type,mapping_confidence,decision_status,step3_decision_source,notes
S019,S019_full_sample_PE_TRA,phase1,Pair A,full_sample,572,PE,TRA,0.57,source_reported_latent_correlation,,"S019.pdf Table 3 (Fornell-Larcker), p.21332",fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_residual_batch5_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch5 low-burden adjudication 20260608,Use R1 source-located Table 3 Fornell-Larcker off-diagonal rows; R2 duplicates values but lacks source-location strings.
S019,S019_full_sample_PE_TRU,phase1,Pair A,full_sample,572,PE,TRU,0.479,source_reported_latent_correlation,,"S019.pdf Table 3 (Fornell-Larcker), p.21332",fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_residual_batch5_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch5 low-burden adjudication 20260608,Use R1 source-located Table 3 Fornell-Larcker off-diagonal rows; R2 duplicates values but lacks source-location strings.
S019,S019_full_sample_TRA_TRU,phase1,Pair A,full_sample,572,TRA,TRU,0.665,source_reported_latent_correlation,,"S019.pdf Table 3 (Fornell-Larcker), p.21332",fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_residual_batch5_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch5 low-burden adjudication 20260608,Use R1 source-located Table 3 Fornell-Larcker off-diagonal rows; R2 duplicates values but lacks source-location strings.
S177,S177_full_sample_BI_EE,phase1,Pair A,full_sample,283,BI,EE,0.718,source_reported_pearson_or_latent_correlation,,S177.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch5_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch5 low-burden adjudication 20260608,Use R2 source-located Table 3 direct rows; R1 duplicates values as Fornell-Larcker rows.
S177,S177_full_sample_BI_PE,phase1,Pair A,full_sample,283,BI,PE,0.712,source_reported_pearson_or_latent_correlation,,S177.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch5_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch5 low-burden adjudication 20260608,Use R2 source-located Table 3 direct rows; R1 duplicates values as Fornell-Larcker rows.
S177,S177_full_sample_EE_PE,phase1,Pair A,full_sample,283,EE,PE,0.571,source_reported_pearson_or_latent_correlation,,S177.pdf Table 3,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch5_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch5 low-burden adjudication 20260608,Use R2 source-located Table 3 direct rows; R1 duplicates values as Fornell-Larcker rows.
S211,S211_full_sample_FC_UB,phase1,Pair A,full_sample,237,FC,UB,0.453,author_provided_model_coefficient,,S211.pdf Table 5/model-results trace plus author-provided coder value; final source-value audit required,author_provided_or_model_coefficient_trace,medium,included_reference_draft_residual_batch5_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch5 low-burden adjudication 20260608,Use R2 author-provided/model-coefficient trace rows for FC-UB and SI-UB; local PDF Table 5 supports ordinal-regression estimates but not a full correlation matrix.
S211,S211_full_sample_SI_UB,phase1,Pair A,full_sample,237,SI,UB,0.145,author_provided_model_coefficient,,S211.pdf Table 5/model-results trace plus author-provided coder value; final source-value audit required,author_provided_or_model_coefficient_trace,medium,included_reference_draft_residual_batch5_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch5 low-burden adjudication 20260608,Use R2 author-provided/model-coefficient trace rows for FC-UB and SI-UB; local PDF Table 5 supports ordinal-regression estimates but not a full correlation matrix.
S050,S050_full_sample_BI_EE,phase1,Pair B,full_sample,500,BI,EE,0.624,source_reported_pearson_or_latent_correlation,,S050.pdf Table 5,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch5_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch5 low-burden adjudication 20260608,Use R4 source-located Table 5 direct row set; R3 mostly duplicates values but lacks source-location strings and differs for EE-PE/precision.
S050,S050_full_sample_BI_FC,phase1,Pair B,full_sample,500,BI,FC,0.599,source_reported_pearson_or_latent_correlation,,S050.pdf Table 5,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch5_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch5 low-burden adjudication 20260608,Use R4 source-located Table 5 direct row set; R3 mostly duplicates values but lacks source-location strings and differs for EE-PE/precision.
