analysis_record_id,study_id,construct_pair,source_location,pdf_recovered_sample_size,pdf_source_location_checked,source_check_status,source_check_reason,researcher_confirmation_required,recommended_action_after_source_check
P1-PRIMARY-00009,S218,ATT-BI,"Table 1, p. 5",242,S218.pdf participants section and Table 1 source context,pdf_study_level_n_candidate_found,PDF reports 242 doctoral students participating in the study; residual rows share the same TAM survey dataset.,yes_before_applying_pdf_n_override_or_exclusion,apply_pdf_study_level_n_override_to_primary_n_weighted_masem
P1-PRIMARY-00010,S218,ATT-EE,"Table 1, p. 5",242,S218.pdf participants section and Table 1 source context,pdf_study_level_n_candidate_found,PDF reports 242 doctoral students participating in the study; residual rows share the same TAM survey dataset.,yes_before_applying_pdf_n_override_or_exclusion,apply_pdf_study_level_n_override_to_primary_n_weighted_masem
P1-PRIMARY-00011,S218,ATT-PE,"Table 1, p. 5",242,S218.pdf participants section and Table 1 source context,pdf_study_level_n_candidate_found,PDF reports 242 doctoral students participating in the study; residual rows share the same TAM survey dataset.,yes_before_applying_pdf_n_override_or_exclusion,apply_pdf_study_level_n_override_to_primary_n_weighted_masem
P1-PRIMARY-00012,S218,BI-EE,"Table 1, p. 5",242,S218.pdf participants section and Table 1 source context,pdf_study_level_n_candidate_found,PDF reports 242 doctoral students participating in the study; residual rows share the same TAM survey dataset.,yes_before_applying_pdf_n_override_or_exclusion,apply_pdf_study_level_n_override_to_primary_n_weighted_masem
P1-PRIMARY-00013,S218,BI-PE,"Table 1, p. 5",242,S218.pdf participants section and Table 1 source context,pdf_study_level_n_candidate_found,PDF reports 242 doctoral students participating in the study; residual rows share the same TAM survey dataset.,yes_before_applying_pdf_n_override_or_exclusion,apply_pdf_study_level_n_override_to_primary_n_weighted_masem
P1-PRIMARY-00014,S218,EE-PE,"Table 1, p. 5",242,S218.pdf participants section and Table 1 source context,pdf_study_level_n_candidate_found,PDF reports 242 doctoral students participating in the study; residual rows share the same TAM survey dataset.,yes_before_applying_pdf_n_override_or_exclusion,apply_pdf_study_level_n_override_to_primary_n_weighted_masem
P1-PRIMARY-00015,S185,ANX-ATT,"Table 3, p.7",298,S185.pdf sample and collection/basic sample data plus Table 3 source context,pdf_study_level_n_candidate_found,PDF reports N = 298 in the basic sample data; residual correlations are from the same questionnaire dataset.,yes_before_applying_pdf_n_override_or_exclusion,apply_pdf_study_level_n_override_to_primary_n_weighted_masem
P1-PRIMARY-00016,S185,ANX-EE,0.473,298,S185.pdf sample and collection/basic sample data plus Table 3 source context,pdf_study_level_n_candidate_found,PDF reports N = 298 in the basic sample data; residual correlations are from the same questionnaire dataset.,yes_before_applying_pdf_n_override_or_exclusion,apply_pdf_study_level_n_override_to_primary_n_weighted_masem
P1-PRIMARY-00017,S185,ANX-PE,0.435,298,S185.pdf sample and collection/basic sample data plus Table 3 source context,pdf_study_level_n_candidate_found,PDF reports N = 298 in the basic sample data; residual correlations are from the same questionnaire dataset.,yes_before_applying_pdf_n_override_or_exclusion,apply_pdf_study_level_n_override_to_primary_n_weighted_masem
P1-PRIMARY-00018,S185,ANX-SI,0.216,298,S185.pdf sample and collection/basic sample data plus Table 3 source context,pdf_study_level_n_candidate_found,PDF reports N = 298 in the basic sample data; residual correlations are from the same questionnaire dataset.,yes_before_applying_pdf_n_override_or_exclusion,apply_pdf_study_level_n_override_to_primary_n_weighted_masem
P1-PRIMARY-00019,S185,ATT-BI,0.453,298,S185.pdf sample and collection/basic sample data plus Table 3 source context,pdf_study_level_n_candidate_found,PDF reports N = 298 in the basic sample data; residual correlations are from the same questionnaire dataset.,yes_before_applying_pdf_n_override_or_exclusion,apply_pdf_study_level_n_override_to_primary_n_weighted_masem
P1-PRIMARY-00020,S185,ATT-EE,0.473,298,S185.pdf sample and collection/basic sample data plus Table 3 source context,pdf_study_level_n_candidate_found,PDF reports N = 298 in the basic sample data; residual correlations are from the same questionnaire dataset.,yes_before_applying_pdf_n_override_or_exclusion,apply_pdf_study_level_n_override_to_primary_n_weighted_masem
P1-PRIMARY-00021,S185,ATT-PE,0.504,298,S185.pdf sample and collection/basic sample data plus Table 3 source context,pdf_study_level_n_candidate_found,PDF reports N = 298 in the basic sample data; residual correlations are from the same questionnaire dataset.,yes_before_applying_pdf_n_override_or_exclusion,apply_pdf_study_level_n_override_to_primary_n_weighted_masem
P1-PRIMARY-00022,S185,ATT-SI,0.207,298,S185.pdf sample and collection/basic sample data plus Table 3 source context,pdf_study_level_n_candidate_found,PDF reports N = 298 in the basic sample data; residual correlations are from the same questionnaire dataset.,yes_before_applying_pdf_n_override_or_exclusion,apply_pdf_study_level_n_override_to_primary_n_weighted_masem
P1-PRIMARY-00023,S185,BI-EE,0.524,298,S185.pdf sample and collection/basic sample data plus Table 3 source context,pdf_study_level_n_candidate_found,PDF reports N = 298 in the basic sample data; residual correlations are from the same questionnaire dataset.,yes_before_applying_pdf_n_override_or_exclusion,apply_pdf_study_level_n_override_to_primary_n_weighted_masem
P1-PRIMARY-00024,S185,BI-PE,0.459,298,S185.pdf sample and collection/basic sample data plus Table 3 source context,pdf_study_level_n_candidate_found,PDF reports N = 298 in the basic sample data; residual correlations are from the same questionnaire dataset.,yes_before_applying_pdf_n_override_or_exclusion,apply_pdf_study_level_n_override_to_primary_n_weighted_masem
P1-PRIMARY-00025,S185,BI-SI,0.433,298,S185.pdf sample and collection/basic sample data plus Table 3 source context,pdf_study_level_n_candidate_found,PDF reports N = 298 in the basic sample data; residual correlations are from the same questionnaire dataset.,yes_before_applying_pdf_n_override_or_exclusion,apply_pdf_study_level_n_override_to_primary_n_weighted_masem
P1-PRIMARY-00026,S185,EE-PE,0.482,298,S185.pdf sample and collection/basic sample data plus Table 3 source context,pdf_study_level_n_candidate_found,PDF reports N = 298 in the basic sample data; residual correlations are from the same questionnaire dataset.,yes_before_applying_pdf_n_override_or_exclusion,apply_pdf_study_level_n_override_to_primary_n_weighted_masem
P1-PRIMARY-00027,S185,EE-SI,0.279,298,S185.pdf sample and collection/basic sample data plus Table 3 source context,pdf_study_level_n_candidate_found,PDF reports N = 298 in the basic sample data; residual correlations are from the same questionnaire dataset.,yes_before_applying_pdf_n_override_or_exclusion,apply_pdf_study_level_n_override_to_primary_n_weighted_masem
