task_unit_id,study_id,reference_record_id,phase_block,pair,sample_or_stratum,n,construct_1,construct_2,reference_r_value,reference_r_source,reference_evidence_type,evidence_family,denominator_family,scoring_eligibility,mapping_confidence,caveat_ids,source_location,frozen_reference_file,model_input_policy,step5_gate_status,notes
FC-S5-TASK-00001,S002,S002_full_sample_BI_EE,phase2,Pair D,full_sample,300,BI,EE,0.696,source_reported_pearson_or_latent_correlation,source_reported_direct_correlation_or_latent_correlation,latent_or_construct_correlation,primary_latent_or_construct_correlation_with_source_type_flag,eligible_after_locked_llm_output_with_source_type_denominator,high,none,S002.pdf Table 9,data/04_extraction/04_reference_standard_freeze/full_corpus_reference_standard_frozen_20260609.csv,generate_locked_output_prompt_after_model_scope_gate; do_not_reuse_pre_freeze_task_unit_outputs_as_final_full_corpus_claims,post_freeze_task_shell_prepared_model_runs_not_authorized,Use R2 source-located Table 9 direct row set; R3 mostly duplicates values but lacks source-location strings and differs for FC-PE/FC-SI. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_reference_draft_residual_batch5_source_checked.
FC-S5-TASK-00002,S002,S002_full_sample_BI_FC,phase2,Pair D,full_sample,300,BI,FC,0.799,source_reported_pearson_or_latent_correlation,source_reported_direct_correlation_or_latent_correlation,latent_or_construct_correlation,primary_latent_or_construct_correlation_with_source_type_flag,eligible_after_locked_llm_output_with_source_type_denominator,high,none,S002.pdf Table 9,data/04_extraction/04_reference_standard_freeze/full_corpus_reference_standard_frozen_20260609.csv,generate_locked_output_prompt_after_model_scope_gate; do_not_reuse_pre_freeze_task_unit_outputs_as_final_full_corpus_claims,post_freeze_task_shell_prepared_model_runs_not_authorized,Use R2 source-located Table 9 direct row set; R3 mostly duplicates values but lacks source-location strings and differs for FC-PE/FC-SI. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_reference_draft_residual_batch5_source_checked.
FC-S5-TASK-00003,S002,S002_full_sample_BI_PE,phase2,Pair D,full_sample,300,BI,PE,0.694,source_reported_pearson_or_latent_correlation,source_reported_direct_correlation_or_latent_correlation,latent_or_construct_correlation,primary_latent_or_construct_correlation_with_source_type_flag,eligible_after_locked_llm_output_with_source_type_denominator,high,none,S002.pdf Table 9,data/04_extraction/04_reference_standard_freeze/full_corpus_reference_standard_frozen_20260609.csv,generate_locked_output_prompt_after_model_scope_gate; do_not_reuse_pre_freeze_task_unit_outputs_as_final_full_corpus_claims,post_freeze_task_shell_prepared_model_runs_not_authorized,Use R2 source-located Table 9 direct row set; R3 mostly duplicates values but lacks source-location strings and differs for FC-PE/FC-SI. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_reference_draft_residual_batch5_source_checked.
FC-S5-TASK-00004,S002,S002_full_sample_BI_SI,phase2,Pair D,full_sample,300,BI,SI,0.724,source_reported_pearson_or_latent_correlation,source_reported_direct_correlation_or_latent_correlation,latent_or_construct_correlation,primary_latent_or_construct_correlation_with_source_type_flag,eligible_after_locked_llm_output_with_source_type_denominator,high,none,S002.pdf Table 9,data/04_extraction/04_reference_standard_freeze/full_corpus_reference_standard_frozen_20260609.csv,generate_locked_output_prompt_after_model_scope_gate; do_not_reuse_pre_freeze_task_unit_outputs_as_final_full_corpus_claims,post_freeze_task_shell_prepared_model_runs_not_authorized,Use R2 source-located Table 9 direct row set; R3 mostly duplicates values but lacks source-location strings and differs for FC-PE/FC-SI. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_reference_draft_residual_batch5_source_checked.
FC-S5-TASK-00005,S002,S002_full_sample_BI_UB,phase2,Pair D,full_sample,300,BI,UB,0.692,source_reported_pearson_or_latent_correlation,source_reported_direct_correlation_or_latent_correlation,latent_or_construct_correlation,primary_latent_or_construct_correlation_with_source_type_flag,eligible_after_locked_llm_output_with_source_type_denominator,high,none,S002.pdf Table 9,data/04_extraction/04_reference_standard_freeze/full_corpus_reference_standard_frozen_20260609.csv,generate_locked_output_prompt_after_model_scope_gate; do_not_reuse_pre_freeze_task_unit_outputs_as_final_full_corpus_claims,post_freeze_task_shell_prepared_model_runs_not_authorized,Use R2 source-located Table 9 direct row set; R3 mostly duplicates values but lacks source-location strings and differs for FC-PE/FC-SI. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_reference_draft_residual_batch5_source_checked.
FC-S5-TASK-00006,S002,S002_full_sample_EE_FC,phase2,Pair D,full_sample,300,EE,FC,0.602,source_reported_pearson_or_latent_correlation,source_reported_direct_correlation_or_latent_correlation,latent_or_construct_correlation,primary_latent_or_construct_correlation_with_source_type_flag,eligible_after_locked_llm_output_with_source_type_denominator,high,none,S002.pdf Table 9,data/04_extraction/04_reference_standard_freeze/full_corpus_reference_standard_frozen_20260609.csv,generate_locked_output_prompt_after_model_scope_gate; do_not_reuse_pre_freeze_task_unit_outputs_as_final_full_corpus_claims,post_freeze_task_shell_prepared_model_runs_not_authorized,Use R2 source-located Table 9 direct row set; R3 mostly duplicates values but lacks source-location strings and differs for FC-PE/FC-SI. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_reference_draft_residual_batch5_source_checked.
FC-S5-TASK-00007,S002,S002_full_sample_EE_PE,phase2,Pair D,full_sample,300,EE,PE,0.592,source_reported_pearson_or_latent_correlation,source_reported_direct_correlation_or_latent_correlation,latent_or_construct_correlation,primary_latent_or_construct_correlation_with_source_type_flag,eligible_after_locked_llm_output_with_source_type_denominator,high,none,S002.pdf Table 9,data/04_extraction/04_reference_standard_freeze/full_corpus_reference_standard_frozen_20260609.csv,generate_locked_output_prompt_after_model_scope_gate; do_not_reuse_pre_freeze_task_unit_outputs_as_final_full_corpus_claims,post_freeze_task_shell_prepared_model_runs_not_authorized,Use R2 source-located Table 9 direct row set; R3 mostly duplicates values but lacks source-location strings and differs for FC-PE/FC-SI. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_reference_draft_residual_batch5_source_checked.
FC-S5-TASK-00008,S002,S002_full_sample_EE_SI,phase2,Pair D,full_sample,300,EE,SI,0.569,source_reported_pearson_or_latent_correlation,source_reported_direct_correlation_or_latent_correlation,latent_or_construct_correlation,primary_latent_or_construct_correlation_with_source_type_flag,eligible_after_locked_llm_output_with_source_type_denominator,high,none,S002.pdf Table 9,data/04_extraction/04_reference_standard_freeze/full_corpus_reference_standard_frozen_20260609.csv,generate_locked_output_prompt_after_model_scope_gate; do_not_reuse_pre_freeze_task_unit_outputs_as_final_full_corpus_claims,post_freeze_task_shell_prepared_model_runs_not_authorized,Use R2 source-located Table 9 direct row set; R3 mostly duplicates values but lacks source-location strings and differs for FC-PE/FC-SI. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_reference_draft_residual_batch5_source_checked.
FC-S5-TASK-00009,S002,S002_full_sample_EE_UB,phase2,Pair D,full_sample,300,EE,UB,0.523,source_reported_pearson_or_latent_correlation,source_reported_direct_correlation_or_latent_correlation,latent_or_construct_correlation,primary_latent_or_construct_correlation_with_source_type_flag,eligible_after_locked_llm_output_with_source_type_denominator,high,none,S002.pdf Table 9,data/04_extraction/04_reference_standard_freeze/full_corpus_reference_standard_frozen_20260609.csv,generate_locked_output_prompt_after_model_scope_gate; do_not_reuse_pre_freeze_task_unit_outputs_as_final_full_corpus_claims,post_freeze_task_shell_prepared_model_runs_not_authorized,Use R2 source-located Table 9 direct row set; R3 mostly duplicates values but lacks source-location strings and differs for FC-PE/FC-SI. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_reference_draft_residual_batch5_source_checked.
FC-S5-TASK-00010,S002,S002_full_sample_FC_PE,phase2,Pair D,full_sample,300,FC,PE,0.694,source_reported_pearson_or_latent_correlation,source_reported_direct_correlation_or_latent_correlation,latent_or_construct_correlation,primary_latent_or_construct_correlation_with_source_type_flag,eligible_after_locked_llm_output_with_source_type_denominator,high,none,S002.pdf Table 9,data/04_extraction/04_reference_standard_freeze/full_corpus_reference_standard_frozen_20260609.csv,generate_locked_output_prompt_after_model_scope_gate; do_not_reuse_pre_freeze_task_unit_outputs_as_final_full_corpus_claims,post_freeze_task_shell_prepared_model_runs_not_authorized,Use R2 source-located Table 9 direct row set; R3 mostly duplicates values but lacks source-location strings and differs for FC-PE/FC-SI. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_reference_draft_residual_batch5_source_checked.
