run_id,model_provider,model_id,model_version,procedure_id,prompt_version,run_timestamp_utc,temperature,seed,task_unit_id,study_id,llm_task_family,denominator_family,scoring_eligibility,expected_answer_type,evaluation_unit_text,model_input_text,model_answer,model_answer_normalized,model_source_locator,model_source_quote,model_confidence,abstained,error_code,raw_output_ref,locked_answer_status,lock_timestamp_utc,locked_by,notes
paper2_codex_gpt55_full_allfamilies_3450_3549_20260606,openai,codex:gpt-5.5,codex-cli 0.137.0; model_selector=gpt-5.5,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T12:56:18Z,0,,P2-TASK-04208,S204,converted_or_model_derived_effect_size,converted_or_model_derived_effect_size,eligible_after_locked_llm_output_with_source_type_denominator,numeric_effect_size_with_source_type,Study: S204 | Task family: converted_or_model_derived_effect_size | Field/construct pair: BI-PE | Human consensus value: source=beta_converted; beta=0.405; sig=p<.001 | Source/evidence note: R2-only statistic; loc: Table 5,Study: S204 | Task family: converted_or_model_derived_effect_size | Field/construct pair: BI-PE | Expected answer type: numeric_effect_size_with_source_type | Source locator: source_sheet_row=3994 | Source evidence: R2-only statistic; loc: Table 5 | Notes: R2 override applied from disagreement trace. source_statistic_without_r_value_needs_review,,,,,low,True,insufficient_evidence,not_persisted_batch,locked,2026-06-06T12:56:18Z,codex_cli_noninteractive_batch,Source evidence indicates an R2-only statistic in Table 5 but provides no numeric value.
paper2_codex_gpt55_full_allfamilies_3450_3549_20260606,openai,codex:gpt-5.5,codex-cli 0.137.0; model_selector=gpt-5.5,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T12:56:18Z,0,,P2-TASK-04209,S204,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S204 | Task family: absence_or_blank_consensus | Field/construct pair: BI-SE | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S204 | Task family: absence_or_blank_consensus | Field/construct pair: BI-SE | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=3995 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=3995,blank_or_no_reported_statistic_consensus,high,False,,not_persisted_batch,locked,2026-06-06T12:56:18Z,codex_cli_noninteractive_batch,No reported value indicated by consensus.
paper2_codex_gpt55_full_allfamilies_3450_3549_20260606,openai,codex:gpt-5.5,codex-cli 0.137.0; model_selector=gpt-5.5,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T12:56:18Z,0,,P2-TASK-04210,S204,converted_or_model_derived_effect_size,converted_or_model_derived_effect_size,eligible_after_locked_llm_output_with_source_type_denominator,numeric_effect_size_with_source_type,Study: S204 | Task family: converted_or_model_derived_effect_size | Field/construct pair: BI-SI | Human consensus value: source=beta_converted; beta=0.176; sig=p<.01 | Source/evidence note: Value / significance mismatch; loc: Table 5,Study: S204 | Task family: converted_or_model_derived_effect_size | Field/construct pair: BI-SI | Expected answer type: numeric_effect_size_with_source_type | Source locator: source_sheet_row=3996 | Source evidence: Value / significance mismatch; loc: Table 5 | Notes: R2 override applied from disagreement trace. source_statistic_without_r_value_needs_review,,,,,low,True,insufficient_evidence,not_persisted_batch,locked,2026-06-06T12:56:18Z,codex_cli_noninteractive_batch,Source evidence notes a value/significance mismatch in Table 5 but provides no numeric value.
paper2_codex_gpt55_full_allfamilies_3450_3549_20260606,openai,codex:gpt-5.5,codex-cli 0.137.0; model_selector=gpt-5.5,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T12:56:18Z,0,,P2-TASK-04211,S204,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S204 | Task family: absence_or_blank_consensus | Field/construct pair: BI-TRA | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S204 | Task family: absence_or_blank_consensus | Field/construct pair: BI-TRA | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=3997 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=3997,blank_or_no_reported_statistic_consensus,high,False,,not_persisted_batch,locked,2026-06-06T12:56:18Z,codex_cli_noninteractive_batch,No reported value indicated by consensus.
paper2_codex_gpt55_full_allfamilies_3450_3549_20260606,openai,codex:gpt-5.5,codex-cli 0.137.0; model_selector=gpt-5.5,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T12:56:18Z,0,,P2-TASK-04212,S204,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S204 | Task family: absence_or_blank_consensus | Field/construct pair: BI-TRU | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S204 | Task family: absence_or_blank_consensus | Field/construct pair: BI-TRU | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=3998 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=3998,blank_or_no_reported_statistic_consensus,high,False,,not_persisted_batch,locked,2026-06-06T12:56:18Z,codex_cli_noninteractive_batch,No reported value indicated by consensus.
paper2_codex_gpt55_full_allfamilies_3450_3549_20260606,openai,codex:gpt-5.5,codex-cli 0.137.0; model_selector=gpt-5.5,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T12:56:18Z,0,,P2-TASK-04213,S204,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S204 | Task family: absence_or_blank_consensus | Field/construct pair: BI-UB | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S204 | Task family: absence_or_blank_consensus | Field/construct pair: BI-UB | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=3999 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=3999,blank_or_no_reported_statistic_consensus,high,False,,not_persisted_batch,locked,2026-06-06T12:56:18Z,codex_cli_noninteractive_batch,No reported value indicated by consensus.
paper2_codex_gpt55_full_allfamilies_3450_3549_20260606,openai,codex:gpt-5.5,codex-cli 0.137.0; model_selector=gpt-5.5,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T12:56:18Z,0,,P2-TASK-04214,S204,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S204 | Task family: absence_or_blank_consensus | Field/construct pair: EE-FC | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S204 | Task family: absence_or_blank_consensus | Field/construct pair: EE-FC | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=4000 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=4000,blank_or_no_reported_statistic_consensus,high,False,,not_persisted_batch,locked,2026-06-06T12:56:18Z,codex_cli_noninteractive_batch,No reported value indicated by consensus.
paper2_codex_gpt55_full_allfamilies_3450_3549_20260606,openai,codex:gpt-5.5,codex-cli 0.137.0; model_selector=gpt-5.5,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T12:56:18Z,0,,P2-TASK-04216,S204,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S204 | Task family: absence_or_blank_consensus | Field/construct pair: EE-SE | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S204 | Task family: absence_or_blank_consensus | Field/construct pair: EE-SE | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=4002 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=4002,blank_or_no_reported_statistic_consensus,high,False,,not_persisted_batch,locked,2026-06-06T12:56:18Z,codex_cli_noninteractive_batch,No reported value indicated by consensus.
paper2_codex_gpt55_full_allfamilies_3450_3549_20260606,openai,codex:gpt-5.5,codex-cli 0.137.0; model_selector=gpt-5.5,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T12:56:18Z,0,,P2-TASK-04217,S204,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S204 | Task family: absence_or_blank_consensus | Field/construct pair: EE-SI | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S204 | Task family: absence_or_blank_consensus | Field/construct pair: EE-SI | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=4003 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=4003,blank_or_no_reported_statistic_consensus,high,False,,not_persisted_batch,locked,2026-06-06T12:56:18Z,codex_cli_noninteractive_batch,No reported value indicated by consensus.
paper2_codex_gpt55_full_allfamilies_3450_3549_20260606,openai,codex:gpt-5.5,codex-cli 0.137.0; model_selector=gpt-5.5,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T12:56:18Z,0,,P2-TASK-04218,S204,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S204 | Task family: absence_or_blank_consensus | Field/construct pair: EE-TRA | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S204 | Task family: absence_or_blank_consensus | Field/construct pair: EE-TRA | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=4004 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=4004,blank_or_no_reported_statistic_consensus,high,False,,not_persisted_batch,locked,2026-06-06T12:56:18Z,codex_cli_noninteractive_batch,No reported value indicated by consensus.
paper2_codex_gpt55_full_allfamilies_3450_3549_20260606,openai,codex:gpt-5.5,codex-cli 0.137.0; model_selector=gpt-5.5,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T12:56:18Z,0,,P2-TASK-04219,S204,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S204 | Task family: absence_or_blank_consensus | Field/construct pair: EE-TRU | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S204 | Task family: absence_or_blank_consensus | Field/construct pair: EE-TRU | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=4005 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=4005,,high,False,,not_persisted_batch,locked,2026-06-06T12:56:18Z,codex_cli_noninteractive_batch,blank_or_no_reported_statistic_consensus
