ai_trace_status,candidate_status,recommended_human_action,study_id,missing_pair,construct_1,construct_2,present_full10_pairs,missing_full10_pairs,sample_size_values_seen,candidate_value,construct_1_terms_found,construct_2_terms_found,table_terms_found,base_study_id_used_for_source_text,source_packet_exists,source_packet_file,pdf_exists,pdf_matched_stem,pdf_text_status,pdf_path_local_only,paper_b_boundary
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S057,ANX-TRU,ANX,TRU,28,17,582.0,,ANX;anxiety;apprehension;fear,trust,correlation;correlations;latent;table,S057,true,S057_source_packet_20260609.txt,true,S057,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S057.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S057,ANX-UB,ANX,UB,28,17,582.0,,ANX;anxiety;apprehension;fear,use,correlation;correlations;latent;table,S057,true,S057_source_packet_20260609.txt,true,S057,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S057.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S057,ATT-TRU,ATT,TRU,28,17,582.0,,ATT;attitude;attitude toward;attitudes,trust,correlation;correlations;latent;table,S057,true,S057_source_packet_20260609.txt,true,S057,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S057.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S057,ATT-UB,ATT,UB,28,17,582.0,,ATT;attitude;attitude toward;attitudes,use,correlation;correlations;latent;table,S057,true,S057_source_packet_20260609.txt,true,S057,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S057.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S057,BI-TRU,BI,TRU,28,17,582.0,,BI;behavioral intention;intention to use;usage intention,trust,correlation;correlations;latent;table,S057,true,S057_source_packet_20260609.txt,true,S057,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S057.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S057,BI-UB,BI,UB,28,17,582.0,,BI;behavioral intention;intention to use;usage intention,use,correlation;correlations;latent;table,S057,true,S057_source_packet_20260609.txt,true,S057,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S057.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S057,EE-TRU,EE,TRU,28,17,582.0,,EE;PEOU;ease of use;easy to use;effort expectancy;perceived ease of use,trust,correlation;correlations;latent;table,S057,true,S057_source_packet_20260609.txt,true,S057,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S057.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S057,EE-UB,EE,UB,28,17,582.0,,EE;PEOU;ease of use;easy to use;effort expectancy;perceived ease of use,use,correlation;correlations;latent;table,S057,true,S057_source_packet_20260609.txt,true,S057,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S057.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S057,FC-TRU,FC,TRU,28,17,582.0,,FC;facilitating;facilitating conditions;resources;support,trust,correlation;correlations;latent;table,S057,true,S057_source_packet_20260609.txt,true,S057,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S057.pdf,candidate_only_not_analytic_input_until_human_confirmed
possible_densification_source_review_candidate,ai_candidate_only_missing_pair_no_value_added,human_check_source_table_for_missing_pair_value,S057,FC-UB,FC,UB,28,17,582.0,,FC;facilitating;facilitating conditions;resources;support,use,correlation;correlations;latent;table,S057,true,S057_source_packet_20260609.txt,true,S057,ok,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S057.pdf,candidate_only_not_analytic_input_until_human_confirmed
