probe,pair,study_pair_rows
core8_add_tru,ATT-BI,30
core8_add_tru,ATT-EE,26
core8_add_tru,ATT-FC,10
core8_add_tru,ATT-PE,27
core8_add_tru,ATT-SI,12
core8_add_tru,ATT-TRU,2
core8_add_tru,ATT-UB,13
core8_add_tru,BI-EE,54
core8_add_tru,BI-FC,36
core8_add_tru,BI-PE,57
core8_add_tru,BI-SI,39
core8_add_tru,BI-TRU,12
core8_add_tru,BI-UB,31
core8_add_tru,EE-FC,34
core8_add_tru,EE-PE,58
core8_add_tru,EE-SI,33
core8_add_tru,EE-TRU,10
core8_add_tru,EE-UB,30
core8_add_tru,FC-PE,34
core8_add_tru,FC-SI,28
core8_add_tru,FC-TRU,4
core8_add_tru,FC-UB,22
core8_add_tru,PE-SI,35
core8_add_tru,PE-TRU,12
core8_add_tru,PE-UB,29
core8_add_tru,SI-TRU,9
core8_add_tru,SI-UB,22
core8_add_tru,TRU-UB,8
