study_id,missing_pair,candidate_value,final_decision,add_to_matrix,source_matrix_reviewed,source_constructs_seen,source_evidence_locator,human_process_status,decision_rationale
S057,ANX-TRU,,exclude_ai_false_positive_no_target_construct_in_source_matrix,no,S057.pdf Table 2 Results of the measurement model evaluation,"PEOU, PU, ATT, SN, EXP, PE, ANX, SE, PV, FC, HBT, INT",/tmp/S057_layout.txt lines 811-828,not_human_exact_pair_not_human_excluded,"The AI candidates all require TRU and/or UB, but the source Table 2 does not contain TRU or UB. INT may map to BI; no actual use/use behavior construct is present. Therefore these candidates are not addable Paper A target pairs."
S057,ANX-UB,,exclude_ai_false_positive_no_target_construct_in_source_matrix,no,S057.pdf Table 2 Results of the measurement model evaluation,"PEOU, PU, ATT, SN, EXP, PE, ANX, SE, PV, FC, HBT, INT",/tmp/S057_layout.txt lines 811-828,not_human_exact_pair_not_human_excluded,"The AI candidates all require TRU and/or UB, but the source Table 2 does not contain TRU or UB. INT may map to BI; no actual use/use behavior construct is present. Therefore these candidates are not addable Paper A target pairs."
S057,ATT-TRU,,exclude_ai_false_positive_no_target_construct_in_source_matrix,no,S057.pdf Table 2 Results of the measurement model evaluation,"PEOU, PU, ATT, SN, EXP, PE, ANX, SE, PV, FC, HBT, INT",/tmp/S057_layout.txt lines 811-828,not_human_exact_pair_not_human_excluded,"The AI candidates all require TRU and/or UB, but the source Table 2 does not contain TRU or UB. INT may map to BI; no actual use/use behavior construct is present. Therefore these candidates are not addable Paper A target pairs."
S057,ATT-UB,,exclude_ai_false_positive_no_target_construct_in_source_matrix,no,S057.pdf Table 2 Results of the measurement model evaluation,"PEOU, PU, ATT, SN, EXP, PE, ANX, SE, PV, FC, HBT, INT",/tmp/S057_layout.txt lines 811-828,not_human_exact_pair_not_human_excluded,"The AI candidates all require TRU and/or UB, but the source Table 2 does not contain TRU or UB. INT may map to BI; no actual use/use behavior construct is present. Therefore these candidates are not addable Paper A target pairs."
S057,BI-TRU,,exclude_ai_false_positive_no_target_construct_in_source_matrix,no,S057.pdf Table 2 Results of the measurement model evaluation,"PEOU, PU, ATT, SN, EXP, PE, ANX, SE, PV, FC, HBT, INT",/tmp/S057_layout.txt lines 811-828,not_human_exact_pair_not_human_excluded,"The AI candidates all require TRU and/or UB, but the source Table 2 does not contain TRU or UB. INT may map to BI; no actual use/use behavior construct is present. Therefore these candidates are not addable Paper A target pairs."
S057,BI-UB,,exclude_ai_false_positive_no_target_construct_in_source_matrix,no,S057.pdf Table 2 Results of the measurement model evaluation,"PEOU, PU, ATT, SN, EXP, PE, ANX, SE, PV, FC, HBT, INT",/tmp/S057_layout.txt lines 811-828,not_human_exact_pair_not_human_excluded,"The AI candidates all require TRU and/or UB, but the source Table 2 does not contain TRU or UB. INT may map to BI; no actual use/use behavior construct is present. Therefore these candidates are not addable Paper A target pairs."
S057,EE-TRU,,exclude_ai_false_positive_no_target_construct_in_source_matrix,no,S057.pdf Table 2 Results of the measurement model evaluation,"PEOU, PU, ATT, SN, EXP, PE, ANX, SE, PV, FC, HBT, INT",/tmp/S057_layout.txt lines 811-828,not_human_exact_pair_not_human_excluded,"The AI candidates all require TRU and/or UB, but the source Table 2 does not contain TRU or UB. INT may map to BI; no actual use/use behavior construct is present. Therefore these candidates are not addable Paper A target pairs."
S057,EE-UB,,exclude_ai_false_positive_no_target_construct_in_source_matrix,no,S057.pdf Table 2 Results of the measurement model evaluation,"PEOU, PU, ATT, SN, EXP, PE, ANX, SE, PV, FC, HBT, INT",/tmp/S057_layout.txt lines 811-828,not_human_exact_pair_not_human_excluded,"The AI candidates all require TRU and/or UB, but the source Table 2 does not contain TRU or UB. INT may map to BI; no actual use/use behavior construct is present. Therefore these candidates are not addable Paper A target pairs."
S057,FC-TRU,,exclude_ai_false_positive_no_target_construct_in_source_matrix,no,S057.pdf Table 2 Results of the measurement model evaluation,"PEOU, PU, ATT, SN, EXP, PE, ANX, SE, PV, FC, HBT, INT",/tmp/S057_layout.txt lines 811-828,not_human_exact_pair_not_human_excluded,"The AI candidates all require TRU and/or UB, but the source Table 2 does not contain TRU or UB. INT may map to BI; no actual use/use behavior construct is present. Therefore these candidates are not addable Paper A target pairs."
S057,FC-UB,,exclude_ai_false_positive_no_target_construct_in_source_matrix,no,S057.pdf Table 2 Results of the measurement model evaluation,"PEOU, PU, ATT, SN, EXP, PE, ANX, SE, PV, FC, HBT, INT",/tmp/S057_layout.txt lines 811-828,not_human_exact_pair_not_human_excluded,"The AI candidates all require TRU and/or UB, but the source Table 2 does not contain TRU or UB. INT may map to BI; no actual use/use behavior construct is present. Therefore these candidates are not addable Paper A target pairs."
