task_unit_id,study_id,decision_id,paper1_primary_analysis_record_id,review_priority,denominator_family,source_condition,freeze_tier,freeze_use,downstream_masem_impact,source_evidence_status,construct_pair,statistic_value,primary_model_id,primary_score_status,primary_answer_state,primary_is_correct,primary_model_value,primary_expected_value,expert_review_decision,rerun_input_role,substitution_eligibility,review_basis,review_note
P2-TASK-00001,S080,R1R4-SRC-V2-0001,,P0_expert_review_numeric_or_masem,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,frozen_sensitivity_converted_or_model_derived,direct_r_analysis_input,sensitivity_masem_effect_size_input,source_evidence_and_locator_present,BI-EE,0.436000,codex:gpt-5.5,scored_abstention,abstain,0,,0.436000,retain_sensitivity_only_converted_input,sensitivity_only,not_substitutable_primary_source_type_sensitivity,source_anchored_reference_packet_and_task_family_rule_review,Converted beta/path/source-statistic rows remain sensitivity inputs and are not primary direct-r replacements.
P2-TASK-00002,S080,R1R4-SRC-V2-0002,,P0_expert_review_numeric_or_masem,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,frozen_sensitivity_converted_or_model_derived,direct_r_analysis_input,sensitivity_masem_effect_size_input,source_evidence_and_locator_present,BI-FC,-0.058000,codex:gpt-5.5,scored_abstention,abstain,0,,-0.058000,retain_sensitivity_only_converted_input,sensitivity_only,not_substitutable_primary_source_type_sensitivity,source_anchored_reference_packet_and_task_family_rule_review,Converted beta/path/source-statistic rows remain sensitivity inputs and are not primary direct-r replacements.
P2-TASK-00003,S080,R1R4-SRC-V2-0003,,P0_expert_review_numeric_or_masem,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,frozen_sensitivity_converted_or_model_derived,direct_r_analysis_input,sensitivity_masem_effect_size_input,source_evidence_and_locator_present,BI-PE,0.207000,codex:gpt-5.5,scored_abstention,abstain,0,,0.207000,retain_sensitivity_only_converted_input,sensitivity_only,not_substitutable_primary_source_type_sensitivity,source_anchored_reference_packet_and_task_family_rule_review,Converted beta/path/source-statistic rows remain sensitivity inputs and are not primary direct-r replacements.
P2-TASK-00004,S080,R1R4-SRC-V2-0004,,P0_expert_review_numeric_or_masem,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,frozen_sensitivity_converted_or_model_derived,direct_r_analysis_input,sensitivity_masem_effect_size_input,source_evidence_and_locator_present,BI-SI,0.066000,codex:gpt-5.5,scored_abstention,abstain,0,,0.066000,retain_sensitivity_only_converted_input,sensitivity_only,not_substitutable_primary_source_type_sensitivity,source_anchored_reference_packet_and_task_family_rule_review,Converted beta/path/source-statistic rows remain sensitivity inputs and are not primary direct-r replacements.
P2-TASK-00014,S216,R1R4-SRC-V2-0014,,P0_expert_review_numeric_or_masem,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,frozen_sensitivity_converted_or_model_derived,direct_r_analysis_input,sensitivity_masem_effect_size_input,source_evidence_and_locator_present,ANX-EE,0.085000,codex:gpt-5.5,scored_abstention,abstain,0,,0.085000,retain_sensitivity_only_converted_input,sensitivity_only,not_substitutable_primary_source_type_sensitivity,source_anchored_reference_packet_and_task_family_rule_review,Converted beta/path/source-statistic rows remain sensitivity inputs and are not primary direct-r replacements.
P2-TASK-00015,S216,R1R4-SRC-V2-0015,,P0_expert_review_numeric_or_masem,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,frozen_sensitivity_converted_or_model_derived,direct_r_analysis_input,sensitivity_masem_effect_size_input,source_evidence_and_locator_present,BI-EE,0.203000,codex:gpt-5.5,scored_abstention,abstain,0,,0.203000,retain_sensitivity_only_converted_input,sensitivity_only,not_substitutable_primary_source_type_sensitivity,source_anchored_reference_packet_and_task_family_rule_review,Converted beta/path/source-statistic rows remain sensitivity inputs and are not primary direct-r replacements.
P2-TASK-00016,S216,R1R4-SRC-V2-0016,,P0_expert_review_numeric_or_masem,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,frozen_sensitivity_converted_or_model_derived,direct_r_analysis_input,sensitivity_masem_effect_size_input,source_evidence_and_locator_present,BI-PE,0.203000,codex:gpt-5.5,scored_abstention,abstain,0,,0.203000,retain_sensitivity_only_converted_input,sensitivity_only,not_substitutable_primary_source_type_sensitivity,source_anchored_reference_packet_and_task_family_rule_review,Converted beta/path/source-statistic rows remain sensitivity inputs and are not primary direct-r replacements.
P2-TASK-00017,S216,R1R4-SRC-V2-0017,,P0_expert_review_numeric_or_masem,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,frozen_sensitivity_converted_or_model_derived,direct_r_analysis_input,sensitivity_masem_effect_size_input,source_evidence_and_locator_present,BI-SI,0.159000,codex:gpt-5.5,scored_abstention,abstain,0,,0.159000,retain_sensitivity_only_converted_input,sensitivity_only,not_substitutable_primary_source_type_sensitivity,source_anchored_reference_packet_and_task_family_rule_review,Converted beta/path/source-statistic rows remain sensitivity inputs and are not primary direct-r replacements.
P2-TASK-00018,S216,R1R4-SRC-V2-0018,,P0_expert_review_numeric_or_masem,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,frozen_sensitivity_converted_or_model_derived,direct_r_analysis_input,sensitivity_masem_effect_size_input,source_evidence_and_locator_present,EE-PE,0.229000,codex:gpt-5.5,scored_abstention,abstain,0,,0.229000,retain_sensitivity_only_converted_input,sensitivity_only,not_substitutable_primary_source_type_sensitivity,source_anchored_reference_packet_and_task_family_rule_review,Converted beta/path/source-statistic rows remain sensitivity inputs and are not primary direct-r replacements.
P2-TASK-00019,S216,R1R4-SRC-V2-0019,,P0_expert_review_numeric_or_masem,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,frozen_sensitivity_converted_or_model_derived,direct_r_analysis_input,sensitivity_masem_effect_size_input,source_evidence_and_locator_present,EE-SE,0.231000,codex:gpt-5.5,scored_abstention,abstain,0,,0.231000,retain_sensitivity_only_converted_input,sensitivity_only,not_substitutable_primary_source_type_sensitivity,source_anchored_reference_packet_and_task_family_rule_review,Converted beta/path/source-statistic rows remain sensitivity inputs and are not primary direct-r replacements.
P2-TASK-00020,S216,R1R4-SRC-V2-0020,,P0_expert_review_numeric_or_masem,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,frozen_sensitivity_converted_or_model_derived,direct_r_analysis_input,sensitivity_masem_effect_size_input,source_evidence_and_locator_present,PE-SI,0.427000,codex:gpt-5.5,scored_abstention,abstain,0,,0.427000,retain_sensitivity_only_converted_input,sensitivity_only,not_substitutable_primary_source_type_sensitivity,source_anchored_reference_packet_and_task_family_rule_review,Converted beta/path/source-statistic rows remain sensitivity inputs and are not primary direct-r replacements.
