route,construct_1,construct_2,pooled_r
paper_a_full10_theory_target,PE,PE,1
paper_a_full10_theory_target,EE,PE,0.5396212776261181
paper_a_full10_theory_target,SI,PE,0.4586950160964003
paper_a_full10_theory_target,FC,PE,0.47004861510857937
paper_a_full10_theory_target,ATT,PE,0.5955798323417599
paper_a_full10_theory_target,SE,PE,0.5093505159085568
paper_a_full10_theory_target,TRU,PE,0.4578574039480476
paper_a_full10_theory_target,ANX,PE,0.36810718934694625
paper_a_full10_theory_target,BI,PE,0.6121260206645366
paper_a_full10_theory_target,UB,PE,0.5220291695928341
paper_a_full10_theory_target,PE,EE,0.5396212776261181
paper_a_full10_theory_target,EE,EE,1
paper_a_full10_theory_target,SI,EE,0.4107391570076774
paper_a_full10_theory_target,FC,EE,0.5643360217671388
paper_a_full10_theory_target,ATT,EE,0.5023668465297387
paper_a_full10_theory_target,SE,EE,0.42240904896250353
paper_a_full10_theory_target,TRU,EE,0.45863706973898966
paper_a_full10_theory_target,ANX,EE,0.2559794430896574
paper_a_full10_theory_target,BI,EE,0.5408909834705796
paper_a_full10_theory_target,UB,EE,0.4953874261862278
paper_a_full10_theory_target,PE,SI,0.4586950160964003
paper_a_full10_theory_target,EE,SI,0.4107391570076774
paper_a_full10_theory_target,SI,SI,1
paper_a_full10_theory_target,FC,SI,0.42124183590987285
paper_a_full10_theory_target,ATT,SI,0.511321561959343
paper_a_full10_theory_target,SE,SI,0.3653626580375114
paper_a_full10_theory_target,TRU,SI,0.38532757887805674
paper_a_full10_theory_target,ANX,SI,0.2751283224227303
paper_a_full10_theory_target,BI,SI,0.5466923165600497
paper_a_full10_theory_target,UB,SI,0.44602722391366817
paper_a_full10_theory_target,PE,FC,0.47004861510857937
paper_a_full10_theory_target,EE,FC,0.5643360217671388
paper_a_full10_theory_target,SI,FC,0.42124183590987285
paper_a_full10_theory_target,FC,FC,1
paper_a_full10_theory_target,ATT,FC,0.4855959811637535
paper_a_full10_theory_target,SE,FC,0.34383982213119035
paper_a_full10_theory_target,TRU,FC,0.3935913480573685
paper_a_full10_theory_target,ANX,FC,0.5068904636661453
paper_a_full10_theory_target,BI,FC,0.5109868103201815
paper_a_full10_theory_target,UB,FC,0.4815016961404126
paper_a_full10_theory_target,PE,ATT,0.5955798323417599
paper_a_full10_theory_target,EE,ATT,0.5023668465297387
paper_a_full10_theory_target,SI,ATT,0.511321561959343
paper_a_full10_theory_target,FC,ATT,0.4855959811637535
paper_a_full10_theory_target,ATT,ATT,1
paper_a_full10_theory_target,SE,ATT,0.527726785180136
paper_a_full10_theory_target,TRU,ATT,0.6788553274713
paper_a_full10_theory_target,ANX,ATT,0.37978784714106395
paper_a_full10_theory_target,BI,ATT,0.6736656815446668
paper_a_full10_theory_target,UB,ATT,0.62858232195402
paper_a_full10_theory_target,PE,SE,0.5093505159085568
paper_a_full10_theory_target,EE,SE,0.42240904896250353
paper_a_full10_theory_target,SI,SE,0.3653626580375114
paper_a_full10_theory_target,FC,SE,0.34383982213119035
paper_a_full10_theory_target,ATT,SE,0.527726785180136
paper_a_full10_theory_target,SE,SE,1
paper_a_full10_theory_target,TRU,SE,0.66
paper_a_full10_theory_target,ANX,SE,0.5107285742690101
paper_a_full10_theory_target,BI,SE,0.34404383594610005
paper_a_full10_theory_target,UB,SE,0.4094067441123416
paper_a_full10_theory_target,PE,TRU,0.4578574039480476
paper_a_full10_theory_target,EE,TRU,0.45863706973898966
paper_a_full10_theory_target,SI,TRU,0.38532757887805674
paper_a_full10_theory_target,FC,TRU,0.3935913480573685
paper_a_full10_theory_target,ATT,TRU,0.6788553274713
paper_a_full10_theory_target,SE,TRU,0.66
paper_a_full10_theory_target,TRU,TRU,1
paper_a_full10_theory_target,ANX,TRU,NA
paper_a_full10_theory_target,BI,TRU,0.557855000073909
paper_a_full10_theory_target,UB,TRU,0.4880311106928884
paper_a_full10_theory_target,PE,ANX,0.36810718934694625
paper_a_full10_theory_target,EE,ANX,0.2559794430896574
paper_a_full10_theory_target,SI,ANX,0.2751283224227303
paper_a_full10_theory_target,FC,ANX,0.5068904636661453
paper_a_full10_theory_target,ATT,ANX,0.37978784714106395
paper_a_full10_theory_target,SE,ANX,0.5107285742690101
paper_a_full10_theory_target,TRU,ANX,NA
paper_a_full10_theory_target,ANX,ANX,1
paper_a_full10_theory_target,BI,ANX,0.08768079241535555
paper_a_full10_theory_target,UB,ANX,0.22788358144423912
paper_a_full10_theory_target,PE,BI,0.6121260206645366
paper_a_full10_theory_target,EE,BI,0.5408909834705796
paper_a_full10_theory_target,SI,BI,0.5466923165600497
paper_a_full10_theory_target,FC,BI,0.5109868103201815
paper_a_full10_theory_target,ATT,BI,0.6736656815446668
paper_a_full10_theory_target,SE,BI,0.34404383594610005
paper_a_full10_theory_target,TRU,BI,0.557855000073909
paper_a_full10_theory_target,ANX,BI,0.08768079241535555
paper_a_full10_theory_target,BI,BI,1
paper_a_full10_theory_target,UB,BI,0.6379887429753964
paper_a_full10_theory_target,PE,UB,0.5220291695928341
paper_a_full10_theory_target,EE,UB,0.4953874261862278
paper_a_full10_theory_target,SI,UB,0.44602722391366817
paper_a_full10_theory_target,FC,UB,0.4815016961404126
paper_a_full10_theory_target,ATT,UB,0.62858232195402
paper_a_full10_theory_target,SE,UB,0.4094067441123416
paper_a_full10_theory_target,TRU,UB,0.4880311106928884
paper_a_full10_theory_target,ANX,UB,0.22788358144423912
paper_a_full10_theory_target,BI,UB,0.6379887429753964
paper_a_full10_theory_target,UB,UB,1
