study_id,reference_record_id,phase_block,pair,sample_or_stratum,n,construct_1,construct_2,r_value,r_source,original_beta,source_location,evidence_type,mapping_confidence,decision_status,step3_decision_source,notes
S033,S033_full_sample_ATT_EE,phase1,Pair A,full_sample,437,ATT,EE,0.06,beta_converted_peterson_brown,0.013,S033.pdf Table 5,standardized_path_beta_converted,medium,included_reference_draft_beta_converted,data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,Beta converted because no construct correlation matrix was reported. Ethics not coded as target construct.; R1 beta-converted Table 5 row set accepted by 2026-04-29 amendment; R2-only PE-UB placement excluded.
S033,S033_full_sample_ATT_PE,phase1,Pair A,full_sample,437,ATT,PE,0.84,beta_converted_peterson_brown,,S033.pdf Table 5,standardized_path_beta_converted,medium,included_reference_draft_beta_converted,data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,Beta converted because no construct correlation matrix was reported. Ethics not coded as target construct.; R1 beta-converted Table 5 row set accepted by 2026-04-29 amendment; R2-only PE-UB placement excluded.
S033,S033_full_sample_ATT_UB,phase1,Pair A,full_sample,437,ATT,UB,0.34,beta_converted_peterson_brown,,S033.pdf Table 5,standardized_path_beta_converted,medium,included_reference_draft_beta_converted,data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,Beta converted because no construct correlation matrix was reported. Ethics not coded as target construct.; R1 beta-converted Table 5 row set accepted by 2026-04-29 amendment; R2-only PE-UB placement excluded.
S033,S033_full_sample_EE_PE,phase1,Pair A,full_sample,437,EE,PE,0.54,beta_converted_peterson_brown,,S033.pdf Table 5,standardized_path_beta_converted,medium,included_reference_draft_beta_converted,data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,Beta converted because no construct correlation matrix was reported. Ethics not coded as target construct.; R1 beta-converted Table 5 row set accepted by 2026-04-29 amendment; R2-only PE-UB placement excluded.
S033,S033_full_sample_SI_UB,phase1,Pair A,full_sample,437,SI,UB,0.21,beta_converted_peterson_brown,,S033.pdf Table 5,standardized_path_beta_converted,medium,included_reference_draft_beta_converted,data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,Beta converted because no construct correlation matrix was reported. Ethics not coded as target construct.; R1 beta-converted Table 5 row set accepted by 2026-04-29 amendment; R2-only PE-UB placement excluded.
S033,S033_full_sample_TRU_UB,phase1,Pair A,full_sample,437,TRU,UB,0.29,beta_converted_peterson_brown,,S033.pdf Table 5,standardized_path_beta_converted,medium,included_reference_draft_beta_converted,data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,Beta converted because no construct correlation matrix was reported. Ethics not coded as target construct.; R1 beta-converted Table 5 row set accepted by 2026-04-29 amendment; R2-only PE-UB placement excluded.
S035,S035_full_sample_BI_EE,phase1,Pair A,full_sample,622,BI,EE,0.74,source_reported_direct_correlation,,S035.pdf Table 4,source_reported_direct_correlation,high,included_reference_draft_high_confidence,data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,R1 direct Table 4 row set accepted by 2026-04-29 amendment.
S035,S035_full_sample_BI_FC,phase1,Pair A,full_sample,622,BI,FC,0.79,source_reported_direct_correlation,,S035.pdf Table 4,source_reported_direct_correlation,high,included_reference_draft_high_confidence,data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,R1 direct Table 4 row set accepted by 2026-04-29 amendment.
S035,S035_full_sample_BI_PE,phase1,Pair A,full_sample,622,BI,PE,0.68,source_reported_direct_correlation,,S035.pdf Table 4,source_reported_direct_correlation,high,included_reference_draft_high_confidence,data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,R1 direct Table 4 row set accepted by 2026-04-29 amendment.
S035,S035_full_sample_BI_SI,phase1,Pair A,full_sample,622,BI,SI,0.74,source_reported_direct_correlation,,S035.pdf Table 4,source_reported_direct_correlation,high,included_reference_draft_high_confidence,data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md,R1 direct Table 4 row set accepted by 2026-04-29 amendment.
