pair,study_id,title,year,doi,pdf,coder_a,coder_a_status,coder_a_notes,coder_b,coder_b_status,coder_b_notes,n_difference_rows,n_one_coder_only,n_numeric_or_source_diff,review_note
Pair C,S014,The role of perceived utility and ethical concerns in the adoption of AI-based d,2025,10.1007/s10639-025-13535-3,S014.pdf,R1,done,Indirect path coefficients via perceived risk were beta-converted; perceived risk and ethical concern excluded.,R4,review_source,Source check 2026-05-25: coder return conflicts with source evidence; adjudicate.,2,2,0,source review; one coder only values
Pair C,S034,What influences college students using AI for academic writing? - A quantitative,2025,10.1016/j.caeai.2025.100391,S034.pdf,R1,done,Correlation heatmap/discussion values coded; perceived enjoyment excluded.,R4,done,,1,1,0,one coder only values
Pair C,S058,The Implications of Generative Artificial Intelligence in Gastronomy and Culinar,2025,10.1080/10963758.2025.2586522,S058.pdf,R1,done,"No correlation matrix located; beta-converted direct SEM paths used. IN, PR, and DFL excluded from target matrix.",R4,done,,6,0,6,numeric/source differences
Pair C,S061,Leveraging AI in academia: university students' adoption of ChatGPT for writing ,2025,10.1080/2331186X.2025.2485522,S061.pdf,R1,done,"Hedonic motivation, habit, and learning value excluded; FC-to-BI path beta-converted.",R4,done,,1,1,0,one coder only values
Pair C,S063,Student utilization and perceptions of AI technology for academic purposes: a mi,2025,10.1080/2331186X.2025.2553835,S063.pdf,R1,done,,R4,done,,10,0,10,numeric/source differences
Pair C,S066,The role of perceived trust and technology anxiety in intention to use technolog,2025,10.1080/2331186X.2025.2597051,S066.pdf,R1,done,"HTMT table not coded as correlations; beta-converted path coefficients used. Path table has inconsistent p/t reporting, so values flagged.",R4,done,,13,2,11,one coder only values; numeric/source differences
Pair C,S067,Understanding behavioral intentions of UG and PG students in Tier II Indian citi,2025,10.1080/23311886.2025.2476044,S067.pdf,R1,done,,R4,done,,15,5,10,one coder only values; numeric/source differences
Pair C,S069,Dimensions of artificial intelligence acceptance among pre-service EFL teachers:,2025,10.1108/EL-12-2024-0391,S069.pdf,R1,done,,R4,done,,6,0,6,numeric/source differences
Pair C,S070,Factors affecting intention of academic librarians in Pakistan universities to u,2025,10.1108/GKMC-08-2024-0560,S070.pdf,R1,done,CFA latent-variable correlations coded; service quality excluded.,R4,done,,9,4,5,one coder only values; numeric/source differences
Pair C,S075,Exploring student adoption of ChatGPT: an extended UTAUT2 framework analysis usi,2025,10.1108/JARHE-09-2024-0519,S075.pdf,R1,done,,R4,done,,15,1,14,one coder only values; numeric/source differences
