full10_pair_order,normalized_pair,construct_a_by_theory_order,construct_b_by_theory_order,candidate_rows,review_status
1,EE-PE,PE,EE,0,no_possible_candidate_rows
2,PE-SI,PE,SI,0,no_possible_candidate_rows
3,FC-PE,PE,FC,2,queued
4,ATT-PE,PE,ATT,13,queued
5,PE-SE,PE,SE,13,queued
6,PE-TRU,PE,TRU,10,queued
7,ANX-PE,PE,ANX,14,queued
8,BI-PE,PE,BI,1,queued
9,PE-UB,PE,UB,6,queued
10,EE-SI,EE,SI,0,no_possible_candidate_rows
11,EE-FC,EE,FC,2,queued
12,ATT-EE,EE,ATT,13,queued
13,EE-SE,EE,SE,13,queued
14,EE-TRU,EE,TRU,10,queued
15,ANX-EE,EE,ANX,14,queued
16,BI-EE,EE,BI,0,no_possible_candidate_rows
17,EE-UB,EE,UB,7,queued
18,FC-SI,SI,FC,2,queued
19,ATT-SI,SI,ATT,13,queued
20,SE-SI,SI,SE,13,queued
21,SI-TRU,SI,TRU,9,queued
22,ANX-SI,SI,ANX,14,queued
23,BI-SI,SI,BI,1,queued
24,SI-UB,SI,UB,6,queued
25,ATT-FC,FC,ATT,14,queued
26,FC-SE,FC,SE,15,queued
27,FC-TRU,FC,TRU,12,queued
28,ANX-FC,FC,ANX,15,queued
29,BI-FC,FC,BI,3,queued
30,FC-UB,FC,UB,8,queued
31,ATT-SE,ATT,SE,17,queued
32,ATT-TRU,ATT,TRU,19,queued
33,ANX-ATT,ATT,ANX,16,queued
34,ATT-BI,ATT,BI,13,queued
35,ATT-UB,ATT,UB,19,queued
36,SE-TRU,SE,TRU,16,queued
37,ANX-SE,SE,ANX,14,queued
38,BI-SE,SE,BI,13,queued
39,SE-UB,SE,UB,16,queued
40,ANX-TRU,TRU,ANX,17,queued
41,BI-TRU,TRU,BI,10,queued
42,TRU-UB,TRU,UB,13,queued
43,ANX-BI,ANX,BI,14,queued
44,ANX-UB,ANX,UB,19,queued
45,BI-UB,BI,UB,6,queued
