study_id,phase_block,pair,title,step4_application_progress_status,source_gap_category,next_action,evidence_basis
S005,phase1,Pair A,Just learn it? How individual differences and HMSAM impact learners' intention t,full_corpus_reference_application_qa_completed_pending_freeze_authorization,full_corpus_reference_application_qa_completed_pending_freeze_authorization,Review full-corpus application QA findings and authorize/record final freeze before Step 5; keep Step 5 inactive.,data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_rows_draft_20260609.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_study_status_20260609.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_qa_findings_20260609.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_qa_summary_20260609.md
S009,phase1,Pair A,Bridging expectations and reality: Addressing the price-value paradox in teacher,full_corpus_reference_application_qa_completed_pending_freeze_authorization,full_corpus_reference_application_qa_completed_pending_freeze_authorization,Review full-corpus application QA findings and authorize/record final freeze before Step 5; keep Step 5 inactive.,data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_rows_draft_20260609.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_study_status_20260609.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_qa_findings_20260609.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_qa_summary_20260609.md
S011,phase1,Pair A,Modeling Chinese EFL learners' intention to use generative AI for L2 writing thr,full_corpus_reference_application_qa_completed_pending_freeze_authorization,full_corpus_reference_application_qa_completed_pending_freeze_authorization,Review full-corpus application QA findings and authorize/record final freeze before Step 5; keep Step 5 inactive.,data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_rows_draft_20260609.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_study_status_20260609.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_qa_findings_20260609.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_qa_summary_20260609.md
S015,phase1,Pair A,Unlocking ChatGPT's potential: a comparative study of student adoption intention,full_corpus_reference_application_qa_completed_pending_freeze_authorization,full_corpus_reference_application_qa_completed_pending_freeze_authorization,Review full-corpus application QA findings and authorize/record final freeze before Step 5; keep Step 5 inactive.,data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_rows_draft_20260609.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_study_status_20260609.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_qa_findings_20260609.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_qa_summary_20260609.md
S018,phase1,Pair A,Extending the TAM framework: Exploring learning motivation and agility in educat,full_corpus_reference_application_qa_completed_pending_freeze_authorization,full_corpus_reference_application_qa_completed_pending_freeze_authorization,Review full-corpus application QA findings and authorize/record final freeze before Step 5; keep Step 5 inactive.,data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_rows_draft_20260609.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_study_status_20260609.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_qa_findings_20260609.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_qa_summary_20260609.md
S019,phase1,Pair A,Exploring user awareness and perceived usefulness of generative AI in higher edu,full_corpus_reference_application_qa_completed_pending_freeze_authorization,full_corpus_reference_application_qa_completed_pending_freeze_authorization,Review full-corpus application QA findings and authorize/record final freeze before Step 5; keep Step 5 inactive.,data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_rows_draft_20260609.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_study_status_20260609.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_qa_findings_20260609.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_qa_summary_20260609.md
S023,phase1,Pair A,Students’ acceptance and use of generative AI in pharmacy education: internation,full_corpus_reference_application_qa_completed_pending_freeze_authorization,full_corpus_reference_application_qa_completed_pending_freeze_authorization,Review full-corpus application QA findings and authorize/record final freeze before Step 5; keep Step 5 inactive.,data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_rows_draft_20260609.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_study_status_20260609.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_qa_findings_20260609.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_qa_summary_20260609.md
S030,phase1,Pair A,The psychology of AI adoption in education: University students' intentions to u,full_corpus_reference_application_qa_completed_pending_freeze_authorization,full_corpus_reference_application_qa_completed_pending_freeze_authorization,Review full-corpus application QA findings and authorize/record final freeze before Step 5; keep Step 5 inactive.,data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_rows_draft_20260609.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_study_status_20260609.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_qa_findings_20260609.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_qa_summary_20260609.md
S033,phase1,Pair A,"Extending the technology acceptance model: The role of subjective norms, ethics,",full_corpus_reference_application_qa_completed_pending_freeze_authorization,full_corpus_reference_application_qa_completed_pending_freeze_authorization,Review full-corpus application QA findings and authorize/record final freeze before Step 5; keep Step 5 inactive.,data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_rows_draft_20260609.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_study_status_20260609.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_qa_findings_20260609.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_qa_summary_20260609.md
S035,phase1,Pair A,Understanding of ChatGPT adoption among business school students,full_corpus_reference_application_qa_completed_pending_freeze_authorization,full_corpus_reference_application_qa_completed_pending_freeze_authorization,Review full-corpus application QA findings and authorize/record final freeze before Step 5; keep Step 5 inactive.,data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_rows_draft_20260609.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_study_status_20260609.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_qa_findings_20260609.csv; data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_qa_summary_20260609.md
