study_id,rows,construct_pairs,n_ready_pairs,year_numeric,generative_era,unique_year_count,title,year_available
S002,15,15,15,2025.0,post_2023_generative_ai_era,1.0,Determinants of Adopting 3D Technology Integrated With Artificial Intelligence i,True
S004,21,21,21,2025.0,post_2023_generative_ai_era,1.0,Unveiling the drivers of ChatGPT utilization in higher education sectors: the di,True
S007,10,10,10,2025.0,post_2023_generative_ai_era,1.0,Artificial intelligence teaching assistant adoption in university education: Key,True
S008,15,15,15,2025.0,post_2023_generative_ai_era,1.0,Students' behavioural intention to use content generative AI for learning and re,True
S012,10,10,10,2025.0,post_2023_generative_ai_era,1.0,College students' use behavior of generative AI and its influencing factors unde,True
S013,15,15,15,2025.0,post_2023_generative_ai_era,1.0,Exploring factors that influence graduate students' intention to use generative,True
S016,21,21,21,2025.0,post_2023_generative_ai_era,1.0,Exploring the acceptance of generative artificial intelligence-assisted learning,True
S017,6,6,6,2025.0,post_2023_generative_ai_era,1.0,Are university teachers ready for generative artificial intelligence? Unpacking,True
S020,6,6,6,2025.0,post_2023_generative_ai_era,1.0,Is Anxiety Affecting the Adoption of ChatGPT in University Teaching? A Gender Pe,True
S022,3,3,3,2025.0,post_2023_generative_ai_era,1.0,Instrumental and integrative motivations predict intention to use generative AI,True
S025,21,21,21,2025.0,post_2023_generative_ai_era,1.0,What Factors Affect the Adoption Intention and Actual Use of ChatGPT in Higher E,True
S026,15,15,15,2025.0,post_2023_generative_ai_era,1.0,Exploring the usage behavior of generative artificial intelligence: a case study,True
S027,10,10,10,2025.0,post_2023_generative_ai_era,1.0,Factors influencing Chinese college students' intention to use AIGC: a study bas,True
S028,10,10,10,,,,,False
S031,6,6,6,2025.0,post_2023_generative_ai_era,1.0,Association between Generative AI self-efficacy and Generative AI acceptance: Th,True
S032,15,15,15,2025.0,post_2023_generative_ai_era,1.0,A cross-national assessment of artificial intelligence (AI) Chatbot user percept,True
S034,3,3,3,2025.0,post_2023_generative_ai_era,1.0,What influences college students using AI for academic writing? - A quantitative,True
S045,10,10,10,2025.0,post_2023_generative_ai_era,1.0,Factors influencing the acceptance and use of ChatGPT among English as a foreign,True
S047,10,10,10,2025.0,post_2023_generative_ai_era,1.0,Bridging AI literacy and UTAUT constructs: structural equation modeling of AI ad,True
S050,15,15,15,2025.0,post_2023_generative_ai_era,1.0,Examining factors influencing university students' adoption of generative artifi,True
S052,10,10,10,2025.0,post_2023_generative_ai_era,1.0,Modeling students’ perceptions of artificial intelligence assisted language lear,True
S055,21,21,21,2025.0,post_2023_generative_ai_era,1.0,Predictors of higher education students' behavioural intention and usage of Chat,True
S065,12,12,12,2025.0,post_2023_generative_ai_era,1.0,Examining factors influencing university students' perceptions of AI technologie,True
S072,16,16,16,2025.0,post_2023_generative_ai_era,1.0,AI as my teacher: adoption of AI-driven virtual teaching assistants among studen,True
S077,6,6,6,2025.0,post_2023_generative_ai_era,1.0,The Influence of Social Support Theory on AI Acceptance: Examining Educational S,True
S078,6,6,6,2025.0,post_2023_generative_ai_era,1.0,What Motivates Second Language Majors to Use Generative AI for Informal Learning,True
S083,6,6,6,2025.0,post_2023_generative_ai_era,1.0,College Students' Behavioural Intentions of AI-Assisted Language Learning: Based,True
S085,3,3,3,2025.0,post_2023_generative_ai_era,1.0,Understanding the Effect of Risk Perception on the Acceptance and Use of Large L,True
S090,3,3,3,2025.0,post_2023_generative_ai_era,1.0,Generative AI Use Among Saudi and Korean Language Learners in Higher Education:,True
S094,1,1,1,2025.0,post_2023_generative_ai_era,1.0,Using Generative AI in nursing education: Students' perceptions,True
S096,2,2,2,2025.0,post_2023_generative_ai_era,1.0,Insights into the relationship between anxiety and attitudes toward artificial i,True
S097,8,8,8,2025.0,post_2023_generative_ai_era,1.0,Applying the technology acceptance model to examine factors influencing chatbot,True
S098,6,6,6,2025.0,post_2023_generative_ai_era,1.0,What is the influence of psychosocial factors on artificial intelligence appropr,True
S100,2,2,2,2025.0,post_2023_generative_ai_era,1.0,In GenAI we trust: An investigation of university students' reliance on and resi,True
S111,3,3,3,2025.0,post_2023_generative_ai_era,1.0,FACTORS INFLUENCING ARTIFICIAL INTELLIGENCE (AI) ADOPTION AMONG MALAYSIAN STUDEN,True
S114,14,14,14,2025.0,post_2023_generative_ai_era,1.0,Predicting EFL Students’ Use of Artificial Intelligence Tool in Advancing Their,True
S121,21,21,21,2025.0,post_2023_generative_ai_era,1.0,Motivational and appraisal factors shaping generative AI use and intention in Au,True
S121-1,21,21,21,,,,,False
S121-2,21,21,21,,,,,False
S123,3,3,3,2025.0,post_2023_generative_ai_era,1.0,Balancing generative AI integration and faculty well-being: evidence from Chines,True
S125,6,6,6,2025.0,post_2023_generative_ai_era,1.0,Exploring AI tool adoption in higher education: evidence from a PLS-SEM model in,True
S133,15,15,15,2025.0,post_2023_generative_ai_era,1.0,Habit Predicting Higher Education EFL Students' Intention and Use of AI: A Nexus,True
S135,10,10,10,2025.0,post_2023_generative_ai_era,1.0,Exploring Generation Z's Acceptance of Artificial Intelligence in Higher Educati,True
S137,15,15,15,2025.0,post_2023_generative_ai_era,1.0,Responses to the AI Revolution in Hospitality and Tourism Higher Education: The,True
S142,6,6,6,2025.0,post_2023_generative_ai_era,1.0,Exploring the Determinants of the Sustainable Use of Artificial Intelligence in,True
S143,10,10,10,2025.0,post_2023_generative_ai_era,1.0,Sustainable AI Solutions for Empowering Visually Impaired Students: The Role of,True
S145,6,6,6,,,,,False
S148,5,5,5,2025.0,post_2023_generative_ai_era,1.0,Student acceptance of ChatGPT in higher education: A mixed-method study of attit,True
S149,5,5,5,2025.0,post_2023_generative_ai_era,1.0,Measuring Graduate Students' Use of ChatGPT in Academic Writing Based on the Tec,True
S155,6,6,6,2024.0,post_2023_generative_ai_era,1.0,Gen-AI integration in higher education: Predicting intentions using SEM-ANN appr,True
S157,28,28,28,2024.0,post_2023_generative_ai_era,1.0,Examining the moderating effect of motivation on technology acceptance of genera,True
S161,10,10,10,2024.0,post_2023_generative_ai_era,1.0,Do in-service teachers accept artificial intelligence-driven technology? The med,True
S163,10,10,10,2024.0,post_2023_generative_ai_era,1.0,Extended TAM based acceptance of AI-Powered ChatGPT for supporting metacognitive,True
S165,15,15,15,2024.0,post_2023_generative_ai_era,1.0,Impact of AI chatbots on EFL learners' technology adoption,True
S167,3,3,3,2024.0,post_2023_generative_ai_era,1.0,Factors Influencing Learner Attitudes Towards ChatGPT-Assisted Language Learning,True
S171,15,15,15,2024.0,post_2023_generative_ai_era,1.0,Investigating the adoption of AI in higher education: a study of public universi,True
S173,21,21,21,2024.0,post_2023_generative_ai_era,1.0,Economics students' behavioural intention and usage of ChatGPT in higher educati,True
S176,28,28,28,2024.0,post_2023_generative_ai_era,1.0,Examining ChatGPT adoption among educators in higher educational institutions us,True
S181,6,6,6,2024.0,post_2023_generative_ai_era,1.0,University Learners' Readiness for ChatGPT-Assisted English Learning: Scale Deve,True
S183,15,15,15,2024.0,post_2023_generative_ai_era,1.0,Factors Shaping the Adoption of AI Tools among Gen Z: An Extended UTAUT2 Model I,True
S184,9,9,9,2024.0,post_2023_generative_ai_era,1.0,Development and Validation of the Artificial Intelligence Learning Intention Sca,True
S185,14,14,14,,,,,False
S186,10,10,10,2024.0,post_2023_generative_ai_era,1.0,AI in medical education: the moderating role of the chilling effect and STARA aw,True
S194,15,15,15,,,,,False
S197,5,5,5,2024.0,post_2023_generative_ai_era,1.0,Modeling Teachers' Acceptance of Generative Artificial Intelligence Use in Highe,True
S198,15,15,15,2024.0,post_2023_generative_ai_era,1.0,Examining Students' Acceptance and Use of ChatGPT in Saudi Arabian Higher Educat,True
S208,10,10,10,,,,,False
S209,6,6,6,2024.0,post_2023_generative_ai_era,1.0,Factors affecting ChatGPT use in education employing TAM: A Jordanian universiti,True
S210,6,6,6,2024.0,post_2023_generative_ai_era,1.0,Artificial Intelligence Powered Pedagogy: Unveiling Higher Educators' Acceptance,True
S212,5,5,5,2024.0,post_2023_generative_ai_era,1.0,Every Coin has Two Sides: Navigating Factors of Generative Pre-Trained Transform,True
S214,21,21,21,2023.0,post_2023_generative_ai_era,1.0,ChatGPT in higher education learning: Acceptance and use,True
S218,6,6,6,,,,,False
S219,10,10,10,2023.0,post_2023_generative_ai_era,1.0,Modeling Students' Perceptions of Chatbots in Learning: Integrating Technology A,True
S221,15,15,15,2023.0,post_2023_generative_ai_era,1.0,Use of ChatGPT at University as a Tool for Complex Thinking: Students' Perceived,True
