full10_pair_order_label,study_id,sample_stratum,missing_pair,source_packet_file,source_locator,ATT_status,PE_status,candidate_value,evidence_type,preliminary_decision,promote_to_supplemental_input,confidence,researcher_action,rationale_ko
04_ATT-PE,S004,full_sample,ATT-PE,S004_source_packet_20260609.txt,S004_doc1 page 15 chunk 1; Table 4 correlation matrix,not_detected_as_measured_full10_construct,present_or_PE_equivalent_present,,source_packet_construct_mapping_review,do_not_promote_construct_mapping_failure_no_ATT,no,high,confirm_exclusion_or_request_full_pdf_reopen,PE present as performance expectancy; ATT absent from correlation matrix constructs; 따라서 ATT-PE 상관값으로 보충 입력하지 않음.
04_ATT-PE,S025,full_sample,ATT-PE,S025_source_packet_20260609.txt,S025_doc1 page 7 chunk 1; S025_doc1 page 10 chunk 1,not_detected_as_measured_full10_construct,present_or_PE_equivalent_present,,source_packet_construct_mapping_review,do_not_promote_construct_mapping_failure_no_ATT,no,high,confirm_exclusion_or_request_full_pdf_reopen,PE present; measured constructs are UTAUT2/adoption-intention set; ATT absent; 따라서 ATT-PE 상관값으로 보충 입력하지 않음.
04_ATT-PE,S035,full_sample,ATT-PE,S035_source_packet_20260609.txt,S035_doc1 page 7 chunk 1; Table 3/4 measurement/discriminant validity,not_detected_as_measured_full10_construct,present_or_PE_equivalent_present,,source_packet_construct_mapping_review,do_not_promote_construct_mapping_failure_no_ATT,no,high,confirm_exclusion_or_request_full_pdf_reopen,PE present; ChatGPT intention/adoption constructs present; ATT absent; 따라서 ATT-PE 상관값으로 보충 입력하지 않음.
04_ATT-PE,S036,full_sample,ATT-PE,S036_source_packet_20260609.txt,S036_doc1 page 8 chunk 1; Table 4 Fornell-Larcker,not_detected_as_measured_full10_construct,present_or_PE_equivalent_present,,source_packet_construct_mapping_review,do_not_promote_construct_mapping_failure_no_ATT,no,high,confirm_exclusion_or_request_full_pdf_reopen,"PU/PE counterpart present; ATT absent from AI-ANX, AI-SE, BI, PEN, PEOU, PT, PU, SI matrix; 따라서 ATT-PE 상관값으로 보충 입력하지 않음."
04_ATT-PE,S051,full_sample,ATT-PE,S051_source_packet_20260609.txt,S051_doc1 page 6 chunk 1; conceptual model and measurement construct list,not_detected_as_measured_full10_construct,present_or_PE_equivalent_present,,source_packet_construct_mapping_review,do_not_promote_construct_mapping_failure_no_ATT,no,high,confirm_exclusion_or_request_full_pdf_reopen,PE present; usage intention/behavior and UTAUT factors present; ATT absent; 따라서 ATT-PE 상관값으로 보충 입력하지 않음.
04_ATT-PE,S086,full_sample,ATT-PE,S086_source_packet_20260609.txt,S086_doc1 page 8 chunk 1; Table 2 correlation matrix,not_detected_as_measured_full10_construct,present_or_PE_equivalent_present,,source_packet_construct_mapping_review,do_not_promote_construct_mapping_failure_no_ATT,no,high,confirm_exclusion_or_request_full_pdf_reopen,"PE present; PI, EE, IR, SI, FC, trust, BI, UB present; ATT absent; 따라서 ATT-PE 상관값으로 보충 입력하지 않음."
04_ATT-PE,S088,full_sample,ATT-PE,S088_source_packet_20260609.txt,S088_doc1 page 16 chunk 1; Appendix Table A; S088_doc1 page 10 chunk 1 model results,not_detected_as_measured_full10_construct,present_or_PE_equivalent_present,,source_packet_construct_mapping_review,do_not_promote_construct_mapping_failure_no_ATT,no,high,confirm_exclusion_or_request_full_pdf_reopen,"PE present; intention/use/trust/risk/tech-savviness model present; ATT appears only in narrative/literature context, not as measured construct; 따라서 ATT-PE 상관값으로 보충 입력하지 않음."
04_ATT-PE,S121-1,students,ATT-PE,S121_source_packet_20260609.txt,S121_doc1 page 5 chunk 1; S121_doc1 page 7 chunk 1,not_detected_as_measured_full10_construct,present_or_PE_equivalent_present,,source_packet_construct_mapping_review,do_not_promote_construct_mapping_failure_no_ATT,no,high,confirm_exclusion_or_request_full_pdf_reopen,PE present for student SEM/PLS model; challenge/threat appraisal terms are not ATT; ATT absent; 따라서 ATT-PE 상관값으로 보충 입력하지 않음.
04_ATT-PE,S121-2,teachers,ATT-PE,S121_source_packet_20260609.txt,S121_doc1 page 5 chunk 1; S121_doc1 page 7 chunk 1,not_detected_as_measured_full10_construct,present_or_PE_equivalent_present,,source_packet_construct_mapping_review,do_not_promote_construct_mapping_failure_no_ATT,no,high,confirm_exclusion_or_request_full_pdf_reopen,PE present for teacher SEM/PLS model; challenge/threat appraisal terms are not ATT; ATT absent; 따라서 ATT-PE 상관값으로 보충 입력하지 않음.
04_ATT-PE,S157,full_sample,ATT-PE,S157_source_packet_20260609.txt,S157_doc1 page 14 chunk 1 Table 2; S157_doc1 page 16 chunk 1 Table 4,not_detected_as_measured_full10_construct,present_or_PE_equivalent_present,,source_packet_construct_mapping_review,do_not_promote_construct_mapping_failure_no_ATT,no,high,confirm_exclusion_or_request_full_pdf_reopen,PE present; UTAUT2/SDT constructs include PC/PA/PR but not ATT; 따라서 ATT-PE 상관값으로 보충 입력하지 않음.
04_ATT-PE,S173,full_sample,ATT-PE,S173_source_packet_20260609.txt,S173_doc1 page 12 chunk 1 Table 2; S173_doc1 page 14 chunk 1 Table 4,not_detected_as_measured_full10_construct,present_or_PE_equivalent_present,,source_packet_construct_mapping_review,do_not_promote_construct_mapping_failure_no_ATT,no,high,confirm_exclusion_or_request_full_pdf_reopen,PE present; design/interactivity/ethics/trust and UTAUT constructs present; ATT absent; 따라서 ATT-PE 상관값으로 보충 입력하지 않음.
04_ATT-PE,S191,full_sample,ATT-PE,S191_source_packet_20260609.txt,S191_doc1 page 7 chunk 1 measurement/construct table,not_detected_as_measured_full10_construct,present_or_PE_equivalent_present,,source_packet_construct_mapping_review,do_not_promote_construct_mapping_failure_no_ATT,no,high,confirm_exclusion_or_request_full_pdf_reopen,"PE present; AU, BI, CSE, EE, FC, PE, PI, SI present; ATT absent; 따라서 ATT-PE 상관값으로 보충 입력하지 않음."
04_ATT-PE,S223,full_sample,ATT-PE,S223_source_packet_20260609.txt,S223_doc1 page 11 chunk 1 Table 3 measurement model,not_detected_as_measured_full10_construct,present_or_PE_equivalent_present,,source_packet_construct_mapping_review,do_not_promote_construct_mapping_failure_no_ATT,no,high,confirm_exclusion_or_request_full_pdf_reopen,"PU/PE counterpart present; PEU, BI, AU, SN, SE, trust/enjoyment/FC set present; ATT absent; 따라서 ATT-PE 상관값으로 보충 입력하지 않음."
