scenario,construct_1,construct_2,pooled_r
baseline_primary_human,EE,PE,0.5407830719167616
baseline_primary_human,FC,PE,0.49708904614644356
baseline_primary_human,BI,PE,0.6054697703990232
baseline_primary_human,BI,EE,0.5417613096115441
baseline_primary_human,PE,SI,0.4706201412527163
baseline_primary_human,EE,SI,0.4058520061575446
baseline_primary_human,FC,SI,0.4287917554715621
baseline_primary_human,BI,SI,0.49506215621732075
baseline_primary_human,EE,FC,0.5858989442092252
baseline_primary_human,BI,FC,0.5398466688337711
baseline_primary_human,PE,UB,0.4807103005280596
baseline_primary_human,EE,UB,0.46315947444158784
baseline_primary_human,SI,UB,0.4087176208874309
baseline_primary_human,FC,UB,0.47153104403648655
baseline_primary_human,BI,UB,0.6639704293488534
expert_reviewed_llm_assisted_primary,EE,PE,0.5407830719167616
expert_reviewed_llm_assisted_primary,FC,PE,0.49708904614644356
expert_reviewed_llm_assisted_primary,BI,PE,0.6054697703990232
expert_reviewed_llm_assisted_primary,BI,EE,0.5417613096115441
expert_reviewed_llm_assisted_primary,PE,SI,0.4706201412527163
expert_reviewed_llm_assisted_primary,EE,SI,0.4058520061575446
expert_reviewed_llm_assisted_primary,FC,SI,0.4287917554715621
expert_reviewed_llm_assisted_primary,BI,SI,0.49506215621732075
expert_reviewed_llm_assisted_primary,EE,FC,0.5858989442092252
expert_reviewed_llm_assisted_primary,BI,FC,0.5398466688337711
expert_reviewed_llm_assisted_primary,PE,UB,0.4807103005280596
expert_reviewed_llm_assisted_primary,EE,UB,0.46315947444158784
expert_reviewed_llm_assisted_primary,SI,UB,0.4087176208874309
expert_reviewed_llm_assisted_primary,FC,UB,0.47153104403648655
expert_reviewed_llm_assisted_primary,BI,UB,0.6639704293488534
