run_id,model_provider,model_id,model_version,procedure_id,prompt_version,run_timestamp_utc,temperature,seed,task_unit_id,study_id,llm_task_family,denominator_family,scoring_eligibility,expected_answer_type,evaluation_unit_text,model_input_text,model_answer,model_answer_normalized,model_source_locator,model_source_quote,model_confidence,abstained,error_code,raw_output_ref,locked_answer_status,lock_timestamp_utc,locked_by,notes
paper2_claude_sonnet_full_allfamilies_0250_0499_backfill_20260611,anthropic,claude:sonnet,2.1.172 (Claude Code); model_selector=sonnet,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-11T02:59:23Z,0,,P2-TASK-00253,S222,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S222 | Task family: absence_or_blank_consensus | Field/construct pair: BI-UB | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S222 | Task family: absence_or_blank_consensus | Field/construct pair: BI-UB | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=39 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=39,,1.0,False,,not_persisted_batch,locked,2026-06-11T02:59:23Z,claude_noninteractive_batch,blank_or_no_reported_statistic_consensus confirmed; no source evidence provided
paper2_claude_sonnet_full_allfamilies_0250_0499_backfill_20260611,anthropic,claude:sonnet,2.1.172 (Claude Code); model_selector=sonnet,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-11T02:59:23Z,0,,P2-TASK-00254,S222,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S222 | Task family: absence_or_blank_consensus | Field/construct pair: EE-FC | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S222 | Task family: absence_or_blank_consensus | Field/construct pair: EE-FC | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=40 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=40,,1.0,False,,not_persisted_batch,locked,2026-06-11T02:59:23Z,claude_noninteractive_batch,blank_or_no_reported_statistic_consensus confirmed; no source evidence provided
paper2_claude_sonnet_full_allfamilies_0250_0499_backfill_20260611,anthropic,claude:sonnet,2.1.172 (Claude Code); model_selector=sonnet,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-11T02:59:23Z,0,,P2-TASK-00255,S222,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S222 | Task family: absence_or_blank_consensus | Field/construct pair: EE-PE | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S222 | Task family: absence_or_blank_consensus | Field/construct pair: EE-PE | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=41 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=41,,1.0,False,,not_persisted_batch,locked,2026-06-11T02:59:23Z,claude_noninteractive_batch,blank_or_no_reported_statistic_consensus confirmed; no source evidence provided
paper2_claude_sonnet_full_allfamilies_0250_0499_backfill_20260611,anthropic,claude:sonnet,2.1.172 (Claude Code); model_selector=sonnet,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-11T02:59:23Z,0,,P2-TASK-00256,S222,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S222 | Task family: absence_or_blank_consensus | Field/construct pair: EE-SE | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S222 | Task family: absence_or_blank_consensus | Field/construct pair: EE-SE | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=42 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=42,,1.0,False,,not_persisted_batch,locked,2026-06-11T02:59:23Z,claude_noninteractive_batch,blank_or_no_reported_statistic_consensus confirmed; no source evidence provided
paper2_claude_sonnet_full_allfamilies_0250_0499_backfill_20260611,anthropic,claude:sonnet,2.1.172 (Claude Code); model_selector=sonnet,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-11T02:59:23Z,0,,P2-TASK-00257,S222,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S222 | Task family: absence_or_blank_consensus | Field/construct pair: EE-SI | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S222 | Task family: absence_or_blank_consensus | Field/construct pair: EE-SI | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=43 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=43,,1.0,False,,not_persisted_batch,locked,2026-06-11T02:59:23Z,claude_noninteractive_batch,blank_or_no_reported_statistic_consensus confirmed; no source evidence provided
paper2_claude_sonnet_full_allfamilies_0250_0499_backfill_20260611,anthropic,claude:sonnet,2.1.172 (Claude Code); model_selector=sonnet,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-11T02:59:23Z,0,,P2-TASK-00258,S222,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S222 | Task family: absence_or_blank_consensus | Field/construct pair: EE-TRA | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S222 | Task family: absence_or_blank_consensus | Field/construct pair: EE-TRA | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=44 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=44,,1.0,False,,not_persisted_batch,locked,2026-06-11T02:59:23Z,claude_noninteractive_batch,blank_or_no_reported_statistic_consensus confirmed; no source evidence provided
paper2_claude_sonnet_full_allfamilies_0250_0499_backfill_20260611,anthropic,claude:sonnet,2.1.172 (Claude Code); model_selector=sonnet,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-11T02:59:23Z,0,,P2-TASK-00259,S222,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S222 | Task family: absence_or_blank_consensus | Field/construct pair: EE-TRU | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S222 | Task family: absence_or_blank_consensus | Field/construct pair: EE-TRU | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=45 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=45,,1.0,False,,not_persisted_batch,locked,2026-06-11T02:59:23Z,claude_noninteractive_batch,blank_or_no_reported_statistic_consensus confirmed; no source evidence provided
paper2_claude_sonnet_full_allfamilies_0250_0499_backfill_20260611,anthropic,claude:sonnet,2.1.172 (Claude Code); model_selector=sonnet,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-11T02:59:23Z,0,,P2-TASK-00260,S222,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S222 | Task family: absence_or_blank_consensus | Field/construct pair: EE-UB | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S222 | Task family: absence_or_blank_consensus | Field/construct pair: EE-UB | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=46 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=46,,1.0,False,,not_persisted_batch,locked,2026-06-11T02:59:23Z,claude_noninteractive_batch,blank_or_no_reported_statistic_consensus confirmed; no source evidence provided
paper2_claude_sonnet_full_allfamilies_0250_0499_backfill_20260611,anthropic,claude:sonnet,2.1.172 (Claude Code); model_selector=sonnet,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-11T02:59:23Z,0,,P2-TASK-00261,S222,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S222 | Task family: absence_or_blank_consensus | Field/construct pair: FC-PE | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S222 | Task family: absence_or_blank_consensus | Field/construct pair: FC-PE | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=47 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=47,,1.0,False,,not_persisted_batch,locked,2026-06-11T02:59:23Z,claude_noninteractive_batch,blank_or_no_reported_statistic_consensus confirmed; no source evidence provided
paper2_claude_sonnet_full_allfamilies_0250_0499_backfill_20260611,anthropic,claude:sonnet,2.1.172 (Claude Code); model_selector=sonnet,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-11T02:59:23Z,0,,P2-TASK-00262,S222,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S222 | Task family: absence_or_blank_consensus | Field/construct pair: FC-SE | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S222 | Task family: absence_or_blank_consensus | Field/construct pair: FC-SE | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=48 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=48,,1.0,False,,not_persisted_batch,locked,2026-06-11T02:59:23Z,claude_noninteractive_batch,blank_or_no_reported_statistic_consensus confirmed; no source evidence provided
