study_id,reference_record_id,phase_block,pair,sample_or_stratum,n,construct_1,construct_2,r_value,r_source,original_beta,source_location,evidence_type,mapping_confidence,decision_status,step3_decision_source,notes
S021,S021_T1_ATT_BI,phase2,Pair D,T1,149,ATT,BI,0.558,beta_converted_peterson_brown,0.508,S021.pdf Figure 1 AIAS-4 T1 to Behavioral intentions T1,standardized_pls_sem_path,medium,included_frozen_reference,data/04_extraction/03_source_document_adjudication/phase2/s021_primary_model_row_set_20260608.md,T1 and T2 retained as separate strata; beta-converted sensitivity flag
S021,S021_T1_BI_UB,phase2,Pair D,T1,149,BI,UB,0.621,beta_converted_peterson_brown,0.571,S021.pdf Figure 1 and Results 4.2 Behavioral intentions T1 to Use frequency T1,standardized_pls_sem_path,high,included_frozen_reference,data/04_extraction/03_source_document_adjudication/phase2/s021_primary_model_row_set_20260608.md,T1 and T2 retained as separate strata; beta-converted sensitivity flag
S021,S021_T1_EE_BI,phase2,Pair D,T1,149,EE,BI,0.282,beta_converted_peterson_brown,0.232,S021.pdf Figure 1 Effort expectancy T1 to Behavioral intentions T1,standardized_pls_sem_path,high,included_frozen_reference,data/04_extraction/03_source_document_adjudication/phase2/s021_primary_model_row_set_20260608.md,T1 and T2 retained as separate strata; beta-converted sensitivity flag
S021,S021_T1_FC_BI,phase2,Pair D,T1,149,FC,BI,-0.180,beta_converted_peterson_brown,-0.130,S021.pdf Figure 1 Facilitating conditions T1 to Behavioral intentions T1,standardized_pls_sem_path,high,included_frozen_reference,data/04_extraction/03_source_document_adjudication/phase2/s021_primary_model_row_set_20260608.md,T1 and T2 retained as separate strata; beta-converted sensitivity flag
S021,S021_T1_PE_BI,phase2,Pair D,T1,149,PE,BI,0.225,beta_converted_peterson_brown,0.175,S021.pdf Figure 1 Performance expectancy T1 to Behavioral intentions T1,standardized_pls_sem_path,high,included_frozen_reference,data/04_extraction/03_source_document_adjudication/phase2/s021_primary_model_row_set_20260608.md,T1 and T2 retained as separate strata; beta-converted sensitivity flag
S021,S021_T1_SI_BI,phase2,Pair D,T1,149,SI,BI,0.075,beta_converted_peterson_brown,0.025,S021.pdf Figure 1 Social influence T1 to Behavioral intentions T1,standardized_pls_sem_path,high,included_frozen_reference,data/04_extraction/03_source_document_adjudication/phase2/s021_primary_model_row_set_20260608.md,T1 and T2 retained as separate strata; beta-converted sensitivity flag
S021,S021_T2_ATT_BI,phase2,Pair D,T2,122,ATT,BI,0.325,beta_converted_peterson_brown,0.275,S021.pdf Figure 1 AIAS-4 T2 to Behavioral intentions T2,standardized_pls_sem_path,medium,included_frozen_reference,data/04_extraction/03_source_document_adjudication/phase2/s021_primary_model_row_set_20260608.md,T1 and T2 retained as separate strata; beta-converted sensitivity flag
S021,S021_T2_BI_UB,phase2,Pair D,T2,122,BI,UB,0.616,beta_converted_peterson_brown,0.566,S021.pdf Figure 1 and Results 4.2 Behavioral intentions T2 to Use frequency T2,standardized_pls_sem_path,high,included_frozen_reference,data/04_extraction/03_source_document_adjudication/phase2/s021_primary_model_row_set_20260608.md,T1 and T2 retained as separate strata; beta-converted sensitivity flag
S021,S021_T2_EE_BI,phase2,Pair D,T2,122,EE,BI,-0.151,beta_converted_peterson_brown,-0.101,S021.pdf Figure 1 Effort expectancy T2 to Behavioral intentions T2,standardized_pls_sem_path,high,included_frozen_reference,data/04_extraction/03_source_document_adjudication/phase2/s021_primary_model_row_set_20260608.md,T1 and T2 retained as separate strata; beta-converted sensitivity flag
S021,S021_T2_FC_BI,phase2,Pair D,T2,122,FC,BI,0.163,beta_converted_peterson_brown,0.113,S021.pdf Figure 1 Facilitating conditions T2 to Behavioral intentions T2,standardized_pls_sem_path,high,included_frozen_reference,data/04_extraction/03_source_document_adjudication/phase2/s021_primary_model_row_set_20260608.md,T1 and T2 retained as separate strata; beta-converted sensitivity flag
S021,S021_T2_PE_BI,phase2,Pair D,T2,122,PE,BI,0.335,beta_converted_peterson_brown,0.285,S021.pdf Figure 1 Performance expectancy T2 to Behavioral intentions T2,standardized_pls_sem_path,high,included_frozen_reference,data/04_extraction/03_source_document_adjudication/phase2/s021_primary_model_row_set_20260608.md,T1 and T2 retained as separate strata; beta-converted sensitivity flag
S021,S021_T2_SI_BI,phase2,Pair D,T2,122,SI,BI,-0.114,beta_converted_peterson_brown,-0.064,S021.pdf Figure 1 Social influence T2 to Behavioral intentions T2,standardized_pls_sem_path,high,included_frozen_reference,data/04_extraction/03_source_document_adjudication/phase2/s021_primary_model_row_set_20260608.md,T1 and T2 retained as separate strata; beta-converted sensitivity flag
S056,S056_ATT_EE,phase2,Pair D,full_sample,132,ATT,EE,0.816,source_reported_construct_correlation,,S056.pdf Table 2 off diagonal AT by PEU,direct_construct_correlation,high,included_frozen_reference,data/04_extraction/03_source_document_adjudication/phase2/decision_log_20260608.md,Source-corrected from R2 beta-converted Table 3 value 0.437
S056,S056_ATT_PE,phase2,Pair D,full_sample,132,ATT,PE,0.803,source_reported_construct_correlation,,S056.pdf Table 2 off diagonal AT by PU,direct_construct_correlation,high,included_frozen_reference,data/04_extraction/03_source_document_adjudication/phase2/decision_log_20260608.md,Source-corrected from R2 beta-converted Table 3 value 0.489
S056,S056_EE_PE,phase2,Pair D,full_sample,132,EE,PE,0.854,source_reported_construct_correlation,,S056.pdf Table 2 off diagonal PEU by PU,direct_construct_correlation,high,included_frozen_reference,data/04_extraction/03_source_document_adjudication/phase2/decision_log_20260608.md,Source-corrected from R2 beta-converted Table 3 value 0.541
