task_unit_id,study_id,construct_pair,reference_value,reference_source_label,prompt_v4_path_direction,source_direction_needed,best_raw_model_value_seen,best_raw_model_run,peterson_brown_implied_raw_beta_from_reference,raw_model_matches_reference_value,raw_model_matches_pb_implied_beta,issue_class,next_action
FC-S5-TASK-00093,S009,ATT-BI,0.263,beta_converted_peterson_brown,ATT->BI,ATT/HM->BI,,none,0.213,false,false,source_path_not_recovered_or_construct_mapping_alias_needed,Review ATT/HM mapping and source-directed label before rerun.
FC-S5-TASK-00094,S009,BI-EE,-0.020,beta_converted_peterson_brown,BI->EE,EE->BI,-0.021,20260609,0.030,true,false,path_direction_overlay_reversed_relative_to_source_direction,Use source-directed EE->BI in any rerun; do not infer direction from construct-pair order.
FC-S5-TASK-00095,S009,BI-FC,0.085,beta_converted_peterson_brown,BI->FC,FC->BI,0.090,20260609,0.035,true,false,path_direction_overlay_reversed_relative_to_source_direction,Use source-directed FC->BI in any rerun; do not infer direction from construct-pair order.
FC-S5-TASK-00096,S009,BI-PE,0.079,beta_converted_peterson_brown,BI->PE,PE->BI,0.079,20260609,0.029,true,false,path_direction_overlay_reversed_relative_to_source_direction,Use source-directed PE->BI in any rerun; do not infer direction from construct-pair order.
FC-S5-TASK-00097,S009,BI-SI,0.081,beta_converted_peterson_brown,BI->SI,SI->BI,0.081,20260609,0.031,true,false,path_direction_overlay_reversed_relative_to_source_direction,Use source-directed SI->BI in any rerun; do not infer direction from construct-pair order.
FC-S5-TASK-00098,S009,BI-UB,0.610,beta_converted_peterson_brown,BI->UB,BI->UB,0.610,20260609,0.560,true,false,reference_behaves_like_raw_beta_despite_beta_converted_label,Flag beta-conversion contract QA before full-corpus scoring.
FC-S5-TASK-00099,S009,EE-UB,0.198,beta_converted_peterson_brown,EE->UB,EE->UB,0.198,20260609,0.148,true,false,reference_behaves_like_raw_beta_despite_beta_converted_label,Flag beta-conversion contract QA before full-corpus scoring.
FC-S5-TASK-00100,S009,FC-UB,-0.034,beta_converted_peterson_brown,FC->UB,FC->UB,-0.045,20260609,0.016,false,false,directed_value_mismatch_not_resolved_by_prompt_alias,Source-value/reference QA caveat required before this row is used as an accuracy gate.
FC-S5-TASK-00101,S009,SI-UB,0.307,beta_converted_peterson_brown,SI->UB,SI->UB,0.307,20260609,0.257,true,false,reference_behaves_like_raw_beta_despite_beta_converted_label,Flag beta-conversion contract QA before full-corpus scoring.
FC-S5-TASK-00102,S010,BI-EE,0.086,beta_converted_peterson_brown,BI->EE,EE->BI,,none,0.036,false,false,path_direction_overlay_reversed_and_source_path_not_recovered,Use source-directed EE->BI and recover raw beta plus converted effect separately.
FC-S5-TASK-00103,S010,BI-FC,0.113,beta_converted_peterson_brown,BI->FC,FC->BI,0.063,20260610,0.063,false,true,prompt_outputs_raw_beta_but_reference_scores_converted_value,Require raw beta and converted effect fields or scorer-side conversion.
FC-S5-TASK-00104,S010,BI-PE,0.429,beta_converted_peterson_brown,BI->PE,PE->BI,0.379,20260610,0.379,false,true,prompt_outputs_raw_beta_but_reference_scores_converted_value,Require raw beta and converted effect fields or scorer-side conversion.
FC-S5-TASK-00105,S010,BI-SI,0.121,beta_converted_peterson_brown,BI->SI,SI->BI,0.071,20260610,0.071,false,true,prompt_outputs_raw_beta_but_reference_scores_converted_value,Require raw beta and converted effect fields or scorer-side conversion.
FC-S5-TASK-00106,S010,BI-UB,0.435,beta_converted_peterson_brown,BI->UB,BI->UB,0.385,20260610,0.385,false,true,prompt_outputs_raw_beta_but_reference_scores_converted_value,Require raw beta and converted effect fields or scorer-side conversion.
FC-S5-TASK-00107,S010,FC-UB,0.067,beta_converted_peterson_brown,FC->UB,FC->UB,0.007,20260610,0.017,false,false,source_table_ambiguity_or_ipma_not_path_coefficient,Do not use IPMA importance as path beta; source-value/reference QA required.
