run_id,model_provider,model_id,model_version,procedure_id,prompt_version,run_timestamp_utc,temperature,seed,task_unit_id,study_id,llm_task_family,denominator_family,scoring_eligibility,expected_answer_type,evaluation_unit_text,model_input_text,model_answer,model_answer_normalized,model_source_locator,model_source_quote,model_confidence,abstained,error_code,raw_output_ref,locked_answer_status,lock_timestamp_utc,locked_by,notes,raw_beta_value,converted_effect_value,conversion_method
paper_b_full_corpus_m1_raw_full_2000_2042_20260612,openai,codex:gpt-5.5,codex-cli 0.139.0; model_selector=gpt-5.5,raw_model_extraction_source_rendered_full_corpus,paper_b_step5_full_corpus_prompt_v1_20260609_source_packet_full_corpus,2026-06-12T05:46:25Z,0,,FC-S5-TASK-02001,S219,direct_r_effect_size_extraction,primary_direct_r_or_source_reported_correlation,eligible_after_locked_llm_output,numeric_r_effect_size,Study: S219 | Reference record: S219_full_sample_EE_PE | Sample/stratum: full_sample | N: 432 | Construct pair: EE-PE | Human reference r: 0.61 | Reference source type: coder_agreed_direct_correlation | Evidence type: coder_agreed_direct_correlation | Source location: Table 4 | Caveats: none | Notes: Coder-agreed lightweight carry-forward; no new source-value adjudication record was created. Lightweight audit note: Metadata/status differences only; 10 of 10 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_coder_agreed_correlation_rows_application_draft.,Study: S219 | Sample/stratum: full_sample | Construct pair: EE-PE | Expected answer type: numeric_r_effect_size | Evidence family to recover: direct_r_effect_size_extraction | Use only the locked source-document rendering/chunks for the authorized run condition. This task stub intentionally excludes the human reference value.,0.61,0.61,S219_doc1 page 12 chunk 1,,medium,False,,not_persisted_batch,locked,2026-06-12T05:46:25Z,codex_noninteractive_batch,Extracted from Table 4 discriminant validity/correlation matrix for perceived ease of use and perceived usefulness.,,,
paper_b_full_corpus_m1_raw_full_2000_2042_20260612,openai,codex:gpt-5.5,codex-cli 0.139.0; model_selector=gpt-5.5,raw_model_extraction_source_rendered_full_corpus,paper_b_step5_full_corpus_prompt_v1_20260609_source_packet_full_corpus,2026-06-12T05:46:25Z,0,,FC-S5-TASK-02002,S221,latent_or_construct_correlation,primary_latent_or_construct_correlation_with_source_type_flag,eligible_after_locked_llm_output_with_source_type_denominator,numeric_correlation_with_source_type,Study: S221 | Reference record: S221_full_sample_BI_EE | Sample/stratum: full_sample | N: 400 | Construct pair: BI-EE | Human reference r: 0.658 | Reference source type: source_reported_pearson_or_latent_correlation | Evidence type: source_reported_direct_correlation_or_latent_correlation | Source location: S221.pdf Table 6 | Caveats: none | Notes: Use R2 source-located Table 6 direct row set; R3 duplicates values but differs on PE-SE versus FC-UB mapping. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_reference_draft_residual_batch5_source_checked.,Study: S221 | Sample/stratum: full_sample | Construct pair: BI-EE | Expected answer type: numeric_correlation_with_source_type | Evidence family to recover: latent_or_construct_correlation | Use only the locked source-document rendering/chunks for the authorized run condition. This task stub intentionally excludes the human reference value.,0.658,0.658,S221_doc1 page 11 table 1; S221_doc1 page 11 chunk 1,,high,False,,not_persisted_batch,locked,2026-06-12T05:46:25Z,codex_noninteractive_batch,Construct correlation from Table 6 discriminant validity matrix; source type: latent/construct correlation matrix.,,,
paper_b_full_corpus_m1_raw_full_2000_2042_20260612,openai,codex:gpt-5.5,codex-cli 0.139.0; model_selector=gpt-5.5,raw_model_extraction_source_rendered_full_corpus,paper_b_step5_full_corpus_prompt_v1_20260609_source_packet_full_corpus,2026-06-12T05:46:25Z,0,,FC-S5-TASK-02003,S221,latent_or_construct_correlation,primary_latent_or_construct_correlation_with_source_type_flag,eligible_after_locked_llm_output_with_source_type_denominator,numeric_correlation_with_source_type,Study: S221 | Reference record: S221_full_sample_BI_FC | Sample/stratum: full_sample | N: 400 | Construct pair: BI-FC | Human reference r: 0.635 | Reference source type: source_reported_pearson_or_latent_correlation | Evidence type: source_reported_direct_correlation_or_latent_correlation | Source location: S221.pdf Table 6 | Caveats: none | Notes: Use R2 source-located Table 6 direct row set; R3 duplicates values but differs on PE-SE versus FC-UB mapping. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_reference_draft_residual_batch5_source_checked.,Study: S221 | Sample/stratum: full_sample | Construct pair: BI-FC | Expected answer type: numeric_correlation_with_source_type | Evidence family to recover: latent_or_construct_correlation | Use only the locked source-document rendering/chunks for the authorized run condition. This task stub intentionally excludes the human reference value.,0.635,0.635,S221_doc1 page 11 table 1; S221_doc1 page 11 chunk 1,,high,False,,not_persisted_batch,locked,2026-06-12T05:46:25Z,codex_noninteractive_batch,Construct correlation from Table 6 discriminant validity matrix; source type: latent/construct correlation matrix.,,,
paper_b_full_corpus_m1_raw_full_2000_2042_20260612,openai,codex:gpt-5.5,codex-cli 0.139.0; model_selector=gpt-5.5,raw_model_extraction_source_rendered_full_corpus,paper_b_step5_full_corpus_prompt_v1_20260609_source_packet_full_corpus,2026-06-12T05:46:25Z,0,,FC-S5-TASK-02004,S221,latent_or_construct_correlation,primary_latent_or_construct_correlation_with_source_type_flag,eligible_after_locked_llm_output_with_source_type_denominator,numeric_correlation_with_source_type,Study: S221 | Reference record: S221_full_sample_BI_PE | Sample/stratum: full_sample | N: 400 | Construct pair: BI-PE | Human reference r: 0.759 | Reference source type: source_reported_pearson_or_latent_correlation | Evidence type: source_reported_direct_correlation_or_latent_correlation | Source location: S221.pdf Table 6 | Caveats: none | Notes: Use R2 source-located Table 6 direct row set; R3 duplicates values but differs on PE-SE versus FC-UB mapping. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_reference_draft_residual_batch5_source_checked.,Study: S221 | Sample/stratum: full_sample | Construct pair: BI-PE | Expected answer type: numeric_correlation_with_source_type | Evidence family to recover: latent_or_construct_correlation | Use only the locked source-document rendering/chunks for the authorized run condition. This task stub intentionally excludes the human reference value.,0.759,0.759,S221_doc1 page 11 table 1; S221_doc1 page 11 chunk 1,,high,False,,not_persisted_batch,locked,2026-06-12T05:46:25Z,codex_noninteractive_batch,Construct correlation from Table 6 discriminant validity matrix; source type: latent/construct correlation matrix.,,,
paper_b_full_corpus_m1_raw_full_2000_2042_20260612,openai,codex:gpt-5.5,codex-cli 0.139.0; model_selector=gpt-5.5,raw_model_extraction_source_rendered_full_corpus,paper_b_step5_full_corpus_prompt_v1_20260609_source_packet_full_corpus,2026-06-12T05:46:25Z,0,,FC-S5-TASK-02005,S221,latent_or_construct_correlation,primary_latent_or_construct_correlation_with_source_type_flag,eligible_after_locked_llm_output_with_source_type_denominator,numeric_correlation_with_source_type,Study: S221 | Reference record: S221_full_sample_BI_SI | Sample/stratum: full_sample | N: 400 | Construct pair: BI-SI | Human reference r: 0.713 | Reference source type: source_reported_pearson_or_latent_correlation | Evidence type: source_reported_direct_correlation_or_latent_correlation | Source location: S221.pdf Table 6 | Caveats: none | Notes: Use R2 source-located Table 6 direct row set; R3 duplicates values but differs on PE-SE versus FC-UB mapping. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_reference_draft_residual_batch5_source_checked.,Study: S221 | Sample/stratum: full_sample | Construct pair: BI-SI | Expected answer type: numeric_correlation_with_source_type | Evidence family to recover: latent_or_construct_correlation | Use only the locked source-document rendering/chunks for the authorized run condition. This task stub intentionally excludes the human reference value.,0.713,0.713,S221_doc1 page 11 table 1; S221_doc1 page 11 chunk 1,,high,False,,not_persisted_batch,locked,2026-06-12T05:46:25Z,codex_noninteractive_batch,Construct correlation from Table 6 discriminant validity matrix; source type: latent/construct correlation matrix.,,,
paper_b_full_corpus_m1_raw_full_2000_2042_20260612,openai,codex:gpt-5.5,codex-cli 0.139.0; model_selector=gpt-5.5,raw_model_extraction_source_rendered_full_corpus,paper_b_step5_full_corpus_prompt_v1_20260609_source_packet_full_corpus,2026-06-12T05:46:25Z,0,,FC-S5-TASK-02006,S221,latent_or_construct_correlation,primary_latent_or_construct_correlation_with_source_type_flag,eligible_after_locked_llm_output_with_source_type_denominator,numeric_correlation_with_source_type,Study: S221 | Reference record: S221_full_sample_BI_UB | Sample/stratum: full_sample | N: 400 | Construct pair: BI-UB | Human reference r: 0.817 | Reference source type: source_reported_pearson_or_latent_correlation | Evidence type: source_reported_direct_correlation_or_latent_correlation | Source location: S221.pdf Table 6 | Caveats: none | Notes: Use R2 source-located Table 6 direct row set; R3 duplicates values but differs on PE-SE versus FC-UB mapping. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_reference_draft_residual_batch5_source_checked.,Study: S221 | Sample/stratum: full_sample | Construct pair: BI-UB | Expected answer type: numeric_correlation_with_source_type | Evidence family to recover: latent_or_construct_correlation | Use only the locked source-document rendering/chunks for the authorized run condition. This task stub intentionally excludes the human reference value.,0.817,0.817,S221_doc1 page 11 table 1; S221_doc1 page 11 chunk 1,,high,False,,not_persisted_batch,locked,2026-06-12T05:46:25Z,codex_noninteractive_batch,Construct correlation from Table 6 discriminant validity matrix; source type: latent/construct correlation matrix.,,,
paper_b_full_corpus_m1_raw_full_2000_2042_20260612,openai,codex:gpt-5.5,codex-cli 0.139.0; model_selector=gpt-5.5,raw_model_extraction_source_rendered_full_corpus,paper_b_step5_full_corpus_prompt_v1_20260609_source_packet_full_corpus,2026-06-12T05:46:25Z,0,,FC-S5-TASK-02007,S221,latent_or_construct_correlation,primary_latent_or_construct_correlation_with_source_type_flag,eligible_after_locked_llm_output_with_source_type_denominator,numeric_correlation_with_source_type,Study: S221 | Reference record: S221_full_sample_EE_FC | Sample/stratum: full_sample | N: 400 | Construct pair: EE-FC | Human reference r: 0.925 | Reference source type: source_reported_pearson_or_latent_correlation | Evidence type: source_reported_direct_correlation_or_latent_correlation | Source location: S221.pdf Table 6 | Caveats: none | Notes: Use R2 source-located Table 6 direct row set; R3 duplicates values but differs on PE-SE versus FC-UB mapping. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_reference_draft_residual_batch5_source_checked.,Study: S221 | Sample/stratum: full_sample | Construct pair: EE-FC | Expected answer type: numeric_correlation_with_source_type | Evidence family to recover: latent_or_construct_correlation | Use only the locked source-document rendering/chunks for the authorized run condition. This task stub intentionally excludes the human reference value.,0.925,0.925,S221_doc1 page 11 table 1; S221_doc1 page 11 chunk 1,,high,False,,not_persisted_batch,locked,2026-06-12T05:46:25Z,codex_noninteractive_batch,Construct correlation from Table 6 discriminant validity matrix; source type: latent/construct correlation matrix.,,,
paper_b_full_corpus_m1_raw_full_2000_2042_20260612,openai,codex:gpt-5.5,codex-cli 0.139.0; model_selector=gpt-5.5,raw_model_extraction_source_rendered_full_corpus,paper_b_step5_full_corpus_prompt_v1_20260609_source_packet_full_corpus,2026-06-12T05:46:25Z,0,,FC-S5-TASK-02008,S221,latent_or_construct_correlation,primary_latent_or_construct_correlation_with_source_type_flag,eligible_after_locked_llm_output_with_source_type_denominator,numeric_correlation_with_source_type,Study: S221 | Reference record: S221_full_sample_EE_PE | Sample/stratum: full_sample | N: 400 | Construct pair: EE-PE | Human reference r: 0.808 | Reference source type: source_reported_pearson_or_latent_correlation | Evidence type: source_reported_direct_correlation_or_latent_correlation | Source location: S221.pdf Table 6 | Caveats: none | Notes: Use R2 source-located Table 6 direct row set; R3 duplicates values but differs on PE-SE versus FC-UB mapping. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_reference_draft_residual_batch5_source_checked.,Study: S221 | Sample/stratum: full_sample | Construct pair: EE-PE | Expected answer type: numeric_correlation_with_source_type | Evidence family to recover: latent_or_construct_correlation | Use only the locked source-document rendering/chunks for the authorized run condition. This task stub intentionally excludes the human reference value.,0.808,0.808,S221_doc1 page 11 table 1; S221_doc1 page 11 chunk 1,,high,False,,not_persisted_batch,locked,2026-06-12T05:46:25Z,codex_noninteractive_batch,Construct correlation from Table 6 discriminant validity matrix; source type: latent/construct correlation matrix.,,,
paper_b_full_corpus_m1_raw_full_2000_2042_20260612,openai,codex:gpt-5.5,codex-cli 0.139.0; model_selector=gpt-5.5,raw_model_extraction_source_rendered_full_corpus,paper_b_step5_full_corpus_prompt_v1_20260609_source_packet_full_corpus,2026-06-12T05:46:25Z,0,,FC-S5-TASK-02009,S221,latent_or_construct_correlation,primary_latent_or_construct_correlation_with_source_type_flag,eligible_after_locked_llm_output_with_source_type_denominator,numeric_correlation_with_source_type,Study: S221 | Reference record: S221_full_sample_EE_SI | Sample/stratum: full_sample | N: 400 | Construct pair: EE-SI | Human reference r: 0.62 | Reference source type: source_reported_pearson_or_latent_correlation | Evidence type: source_reported_direct_correlation_or_latent_correlation | Source location: S221.pdf Table 6 | Caveats: none | Notes: Use R2 source-located Table 6 direct row set; R3 duplicates values but differs on PE-SE versus FC-UB mapping. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_reference_draft_residual_batch5_source_checked.,Study: S221 | Sample/stratum: full_sample | Construct pair: EE-SI | Expected answer type: numeric_correlation_with_source_type | Evidence family to recover: latent_or_construct_correlation | Use only the locked source-document rendering/chunks for the authorized run condition. This task stub intentionally excludes the human reference value.,0.620,0.620,S221_doc1 page 11 table 1; S221_doc1 page 11 chunk 1,,high,False,,not_persisted_batch,locked,2026-06-12T05:46:25Z,codex_noninteractive_batch,Construct correlation from Table 6 discriminant validity matrix; source type: latent/construct correlation matrix.,,,
paper_b_full_corpus_m1_raw_full_2000_2042_20260612,openai,codex:gpt-5.5,codex-cli 0.139.0; model_selector=gpt-5.5,raw_model_extraction_source_rendered_full_corpus,paper_b_step5_full_corpus_prompt_v1_20260609_source_packet_full_corpus,2026-06-12T05:46:25Z,0,,FC-S5-TASK-02010,S221,latent_or_construct_correlation,primary_latent_or_construct_correlation_with_source_type_flag,eligible_after_locked_llm_output_with_source_type_denominator,numeric_correlation_with_source_type,Study: S221 | Reference record: S221_full_sample_EE_UB | Sample/stratum: full_sample | N: 400 | Construct pair: EE-UB | Human reference r: 0.583 | Reference source type: source_reported_pearson_or_latent_correlation | Evidence type: source_reported_direct_correlation_or_latent_correlation | Source location: S221.pdf Table 6 | Caveats: none | Notes: Use R2 source-located Table 6 direct row set; R3 duplicates values but differs on PE-SE versus FC-UB mapping. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_reference_draft_residual_batch5_source_checked.,Study: S221 | Sample/stratum: full_sample | Construct pair: EE-UB | Expected answer type: numeric_correlation_with_source_type | Evidence family to recover: latent_or_construct_correlation | Use only the locked source-document rendering/chunks for the authorized run condition. This task stub intentionally excludes the human reference value.,0.583,0.583,S221_doc1 page 11 table 1; S221_doc1 page 11 chunk 1,,high,False,,not_persisted_batch,locked,2026-06-12T05:46:25Z,codex_noninteractive_batch,Construct correlation from Table 6 discriminant validity matrix; source type: latent/construct correlation matrix.,,,
paper_b_full_corpus_m1_raw_full_2000_2042_20260612,openai,codex:gpt-5.5,codex-cli 0.139.0; model_selector=gpt-5.5,raw_model_extraction_source_rendered_full_corpus,paper_b_step5_full_corpus_prompt_v1_20260609_source_packet_full_corpus,2026-06-12T05:46:25Z,0,,FC-S5-TASK-02011,S221,latent_or_construct_correlation,primary_latent_or_construct_correlation_with_source_type_flag,eligible_after_locked_llm_output_with_source_type_denominator,numeric_correlation_with_source_type,Study: S221 | Reference record: S221_full_sample_FC_PE | Sample/stratum: full_sample | N: 400 | Construct pair: FC-PE | Human reference r: 0.758 | Reference source type: source_reported_pearson_or_latent_correlation | Evidence type: source_reported_direct_correlation_or_latent_correlation | Source location: S221.pdf Table 6 | Caveats: none | Notes: Use R2 source-located Table 6 direct row set; R3 duplicates values but differs on PE-SE versus FC-UB mapping. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_reference_draft_residual_batch5_source_checked.,Study: S221 | Sample/stratum: full_sample | Construct pair: FC-PE | Expected answer type: numeric_correlation_with_source_type | Evidence family to recover: latent_or_construct_correlation | Use only the locked source-document rendering/chunks for the authorized run condition. This task stub intentionally excludes the human reference value.,0.758; latent/construct correlation,0.758,S221_doc1 page 11 table 1; S221_doc1 page 11 chunk 1,,high,False,,not_persisted_batch,locked,2026-06-12T05:46:25Z,codex_noninteractive_batch,Extracted from discriminant validity latent construct matrix.,,,
