full10_pair_order_label,study_id,sample_stratum,missing_pair,source_packet_file,source_locator,candidate_value,candidate_value_metric,TRU_status,preliminary_decision,promote_to_supplemental_input,confidence,researcher_action,rationale_ko
06_PE-TRU,S016,full_sample,PE-TRU,S016_source_packet_20260609.txt,"S016_doc1 page 12 chunk 1; page 14 chunk 1; Tables 4, 7, 8",,,no_TRU_construct,do_not_promote_construct_mapping_failure_no_TRU,no,high,confirm_exclusion_or_request_full_pdf_reopen,"PU/PE counterpart is present, but the measured variables are FC, OQ, SE, AIA, TTF, HM, PU, PEOU, ATT, BI. The phrase “Trust level analysis” labels reliability testing, not a trust construct. source-anchored human confirmation 전에는 supplemental input에 반영하지 않음."
06_PE-TRU,S025,full_sample,PE-TRU,S025_source_packet_20260609.txt,S025_doc1 page 10 chunk 1; Table 3 discriminant validity,,,no_TRU_construct,do_not_promote_construct_mapping_failure_no_TRU,no,high,confirm_exclusion_or_request_full_pdf_reopen,"PE is present, but measured constructs are AU, ADI, ACI, CGSE, EE, FC, HAB, HM, PE, PV, SI. No trust/TRU construct appears in the matrix. source-anchored human confirmation 전에는 supplemental input에 반영하지 않음."
06_PE-TRU,S051,full_sample,PE-TRU,S051_source_packet_20260609.txt,S051_doc1 page 6 chunk 1; page 7 chunk 1; Tables 1-2,,,no_TRU_construct,do_not_promote_construct_mapping_failure_no_TRU,no,high,confirm_exclusion_or_request_full_pdf_reopen,"Performance expectancy is present, but the matrix variables are usage behavior, social influence, perceived risk, facilitating conditions, performance expectancy, effort expectancy, and usage intention. Perceived risk is not full10 TRU. source-anchored human confirmation 전에는 supplemental input에 반영하지 않음."
06_PE-TRU,S055,full_sample,PE-TRU,S055_source_packet_20260609.txt,S055_doc1 page 11 chunk 1; page 12 chunk 1; Tables 2-3,,,no_TRU_construct,do_not_promote_construct_mapping_failure_no_TRU,no,high,confirm_exclusion_or_request_full_pdf_reopen,"PE is present, but measured constructs are BI, EE, FC, HT, HM, PE, SI, USE. No trust/TRU construct. source-anchored human confirmation 전에는 supplemental input에 반영하지 않음."
06_PE-TRU,S057,full_sample,PE-TRU,S057_source_packet_20260609.txt,S057_doc1 page 13 chunk 1; page 15 chunk 1; page 16 chunk 1,,,no_TRU_construct,do_not_promote_construct_mapping_failure_no_TRU,no,high,confirm_exclusion_or_request_full_pdf_reopen,"The study measures perceived usefulness, perceived ease of use, subjective norm, experience, perceived enjoyment, anxiety, self-efficacy, and UTAUT2 variables. No measured trust/TRU construct is visible. source-anchored human confirmation 전에는 supplemental input에 반영하지 않음."
06_PE-TRU,S072,full_sample,PE-TRU,S072_source_packet_20260609.txt,S072_doc1 page 9 chunk 1; page 10 chunk 1; Tables 1-2,,,privacy_concerns_not_TRU,do_not_promote_construct_mapping_failure_privacy_not_TRU,no,high,confirm_exclusion_or_request_full_pdf_reopen,"PE is present, but the relevant non-UTAUT factor is Privacy Concerns (PC), not trust. Do not map privacy concerns to full10 TRU. source-anchored human confirmation 전에는 supplemental input에 반영하지 않음."
06_PE-TRU,S157,full_sample,PE-TRU,S157_source_packet_20260609.txt,S157_doc1 page 14 chunk 1; page 16 chunk 1; Tables 2 and 4,,,perceived_competence_not_TRU,do_not_promote_construct_mapping_failure_competence_not_TRU,no,high,confirm_exclusion_or_request_full_pdf_reopen,"PE is present, but PC denotes perceived competence and the SDT variables PA/PR denote autonomy/relatedness. None is trust/TRU. source-anchored human confirmation 전에는 supplemental input에 반영하지 않음."
06_PE-TRU,S164,full_sample,PE-TRU,S164_source_packet_20260609.txt,S164_doc1 page 7 chunk 1; page 8 chunk 1; Table 4 Fornell-Larcker,,,habit_not_TRU,do_not_promote_construct_mapping_failure_habit_not_TRU,no,high,confirm_exclusion_or_request_full_pdf_reopen,"PE is present, but H denotes habit in this study. Table 4 has AT, BI, EE, FC, GPTU, H, HM, PBC, PE, SN; no trust/TRU construct. source-anchored human confirmation 전에는 supplemental input에 반영하지 않음."
06_PE-TRU,S185,full_sample,PE-TRU,,S185.pdf p.6 Table 1; p.7 Table 3 Fornell-Larcker,,,insecurity_not_TRU,do_not_promote_construct_mapping_failure_insecurity_not_TRU,no,high,confirm_exclusion_or_request_full_pdf_reopen,"PU can map to PE, but the possible counterpart is INS/insecurity, not trust. Insecurity is an inhibiting TRI construct and should not be substituted for full10 TRU. source-anchored human confirmation 전에는 supplemental input에 반영하지 않음."
06_PE-TRU,S190,full_sample,PE-TRU,S190_source_packet_20260609.txt,S190_doc1 page 3 chunk 1; page 4 chunk 1; Table 2 Pearson correlation,,,wrong_PE_and_no_TRU,do_not_promote_construct_mapping_failure_wrong_PE_no_TRU,no,high,confirm_exclusion_or_request_full_pdf_reopen,"The table includes PU, EOU, PE, TPR, TTF, SI, WIL, where PE is perceived enjoyment rather than performance expectancy; no trust/TRU construct is measured. source-anchored human confirmation 전에는 supplemental input에 반영하지 않음."
