study_id,phase_block,pair,n,source_pdf_status,source_location_checked,row_draft_status,n_reference_draft_rows,primary_coder_source,evidence_type,mapping_confidence_summary,construct_mapping_decision,excluded_constructs_or_rows,remaining_caveat,next_action,evidence_basis
S076,phase1,Pair A,526,local_source_pdf_text_checked_not_committed,S076.pdf Table 4 Fornell-Larcker/discriminant validity,reference_draft_created_from_R1_source_checked_table4,15,R1,fornell_larcker_off_diagonal_latent_correlation,15 high,Use R1 row set. PDF Table 4 confirms off-diagonal Fornell-Larcker values among ATT/EE/FC/INT/PE/SI; R2 row labels shifted INT into non-target labels for several rows.,"HM, habit, and personal innovativeness are outside the 12-construct target set for this draft.",Carry R2 row-label shift as an audit note; retained values are source-checkable.,Carry into full-corpus freeze audit; do not start Step 5 until remaining full-corpus reference blockers are resolved.,combined_coder_values_long_20260525.csv; local source PDF text check 20260608
S015,phase1,Pair A,1074 total; 528 Poland; 546 India,local_source_pdf_text_checked_not_committed,S015.pdf sample description and Tables 1-2,manual_followup_multisample_stratum_decision_required,0,none_manual_followup,manual_followup_required_before_reference_draft,manual follow-up,Source confirms two independent country samples with separate Tables 1 and 2. R1 captures Poland only while R2 encodes slash-separated Poland/India values; no row draft emitted until the stratum inclusion and record-ID decision is explicit.,No rows emitted in batch 2.,"Requires explicit decision whether to include Poland only, both country strata as separate records, or another prespecified handling rule.","Resolve multisample stratum/record-ID decision, then emit source-checked country-stratum rows.",combined_coder_values_long_20260525.csv; local source PDF text check 20260608
S053,phase1,Pair A,445,local_source_pdf_text_checked_not_committed,S053.pdf Table 5 Discriminant validity / Fornell-Larcker,reference_draft_created_from_R1_source_checked_target_rows,10,R1,fornell_larcker_off_diagonal_latent_correlation,10 high,Use R1 target row set. PDF text identifies Table 5 as discriminant validity with intercorrelations; target rows retain BI/EE/PE/SE/UB.,"R2-only ATT rows are not drafted because the source construct is task efficiency/benefit-oriented, not the target ATT construct. PMT risk/cost/response-efficacy constructs remain excluded.",PDF text extraction is partially garbled; final freeze audit should visually confirm Table 5 row labels before freezing.,Carry into full-corpus freeze audit; do not start Step 5 until remaining full-corpus reference blockers are resolved.,combined_coder_values_long_20260525.csv; local source PDF text check 20260608
S067,phase2,Pair C,598,local_source_pdf_text_checked_not_committed,S067.pdf Table 4 Discriminant validity,reference_draft_created_from_R1_table4_rejecting_path_mix,15,R1,fornell_larcker_off_diagonal_latent_correlation,10 high; 5 medium,Use R1 row set from Table 4. Perceived credibility is mapped to TRU with medium confidence; R4 mixed Table 5 path coefficients into correlation rows and is not used.,Task-technology fit and cost effectiveness are outside target rows for this draft.,PC-to-TRU mapping remains a medium-confidence construct-family caveat for final freeze audit.,Carry into full-corpus freeze audit; do not start Step 5 until remaining full-corpus reference blockers are resolved.,combined_coder_values_long_20260525.csv; local source PDF text check 20260608
S075,phase2,Pair C,402,local_source_pdf_text_checked_not_committed,S075.pdf Table 4 Matrix of correlation and AVE roots,reference_draft_created_from_R1_table4_rejecting_path_substitution,15,R1,fornell_larcker_off_diagonal_latent_correlation,15 high,Use R1 row set from Table 4. PDF confirms off-diagonal correlations among PE/Intention/Behavior/SI/FC/EE; R4 BI rows from Table 5 path tests are not used.,"Personal innovativeness, hedonic motivation, and habit are outside target rows for this draft.",Carry R4 path-substitution issue as an audit note; retained values are source-checkable in Table 4.,Carry into full-corpus freeze audit; do not start Step 5 until remaining full-corpus reference blockers are resolved.,combined_coder_values_long_20260525.csv; local source PDF text check 20260608
S146,phase1,Pair B,346,local_source_pdf_text_checked_not_committed,S146.pdf Table 4 Discriminant validity / Fornell-Larcker criteria,reference_draft_created_from_R4_complete_table4_rows,15,R4,fornell_larcker_off_diagonal_latent_correlation,15 high,Use R4 complete row set. R3 omitted UB rows; R4 captures the complete target matrix in Table 4.,No target source rows excluded beyond using the complete R4 target matrix.,Carry R3 omission of UB rows as an audit note.,Carry into full-corpus freeze audit; do not start Step 5 until remaining full-corpus reference blockers are resolved.,combined_coder_values_long_20260525.csv; local source PDF text check 20260608
S153,phase2,Pair C,207,local_source_pdf_text_checked_not_committed,S153.pdf Table 4 Fornell and Larcker criteria,reference_draft_created_with_aut_tru_mapping_caveats,15,R1,fornell_larcker_off_diagonal_latent_correlation,5 high; 10 medium,Use matching R1/R4 Table 4 values. Perceived AI anthropomorphism is mapped to AUT and perceived transparency/trust to TRU with medium confidence.,No additional target rows excluded; anthropomorphism/transparency mapping caveats remain visible.,AUT/TRU construct mapping remains medium-confidence for final freeze audit.,Carry into full-corpus freeze audit; do not start Step 5 until remaining full-corpus reference blockers are resolved.,combined_coder_values_long_20260525.csv; local source PDF text check 20260608
S162,phase2,Pair C,156,local_source_pdf_text_checked_not_committed,S162.pdf Table 3 discriminant validity / Fornell-Larcker,reference_draft_created_with_anx_mapping_caveat,15,R1,fornell_larcker_off_diagonal_latent_correlation,10 high; 5 medium,Use matching R1/R4 Table 3 values. Anxiety is retained as ANX; perceived stress rows are excluded.,Perceived stress is outside the retained target row set.,ANX rows remain a construct-family caveat because the source model also contains perceived stress.,Carry into full-corpus freeze audit; do not start Step 5 until remaining full-corpus reference blockers are resolved.,combined_coder_values_long_20260525.csv; local source PDF text check 20260608
S169,phase1,Pair A,250,local_source_pdf_text_checked_not_committed,S169.pdf Table 4 Correlation and validity,reference_draft_created_with_behavior_to_ub_source_correction,10,source_corrected,source_reported_correlation_matrix_source_corrected_construct_mapping,6 high; 4 medium,"Use source-corrected Table 4 core rows. Source labels the construct as Behavior, so coder BI labels are corrected to UB for this draft; AI in higher education/application outcome rows are not drafted as target UB.",AI in higher education/application outcome and work engagement are excluded from the retained target row set.,Behavior-to-UB mapping and exclusion of AIHE/application outcome should remain visible for final freeze audit.,Carry into full-corpus freeze audit; do not start Step 5 until remaining full-corpus reference blockers are resolved.,combined_coder_values_long_20260525.csv; local source PDF text check 20260608
S066,phase2,Pair C,"sample definition and N conflict; R1=175, R4=300",local_source_pdf_text_checked_not_committed,S066.pdf Table 3 HTMT and Table 7 path/VIF evidence,manual_followup_beta_path_typo_required,0,none_manual_followup,manual_followup_required_before_reference_draft,manual follow-up,"Source provides HTMT and path/VIF evidence rather than a usable target correlation matrix. R1 beta-converted rows and R4 source-path rows conflict, including an ANX-BI source/typing inconsistency; no row draft emitted.",No rows emitted in batch 2.,Requires expert beta-conversion/source correction and sample-definition adjudication before any reference rows are drafted.,Perform manual beta/path adjudication or exclude from direct-r reference rows if no permitted conversion is defensible.,combined_coder_values_long_20260525.csv; local source PDF text check 20260608
