route,pair,study_pair_rows
paper_a_trust6_mechanism,BI-EE,54
paper_a_trust6_mechanism,BI-PE,57
paper_a_trust6_mechanism,BI-SI,39
paper_a_trust6_mechanism,BI-TRU,12
paper_a_trust6_mechanism,BI-UB,31
paper_a_trust6_mechanism,EE-PE,58
paper_a_trust6_mechanism,EE-SI,33
paper_a_trust6_mechanism,EE-TRU,10
paper_a_trust6_mechanism,EE-UB,30
paper_a_trust6_mechanism,PE-SI,35
paper_a_trust6_mechanism,PE-TRU,12
paper_a_trust6_mechanism,PE-UB,29
paper_a_trust6_mechanism,SI-TRU,9
paper_a_trust6_mechanism,SI-UB,22
paper_a_trust6_mechanism,TRU-UB,8
