full10_pair_order_label,study_id,sample_stratum,missing_pair,source_packet_file,source_locator,candidate_value,candidate_value_metric,conditional_mapping_required,ANX_status,preliminary_decision,promote_to_supplemental_input,confidence,researcher_action,rationale_ko
07_ANX-PE,S004,full_sample,ANX-PE,S004_source_packet_20260609.txt,S004_doc1 page 14 chunk 1; page 15 chunk 1; Tables 3-4,,,,no_ANX_construct,do_not_promote_construct_mapping_failure_no_ANX,no,high,confirm_exclusion_or_request_full_pdf_reopen,"PE and trust-related constructs are present, but the matrix variables are PE, EE, SI, FC, TC, PKC, IU, UB. No anxiety/anxiousness construct is measured. source-anchored human confirmation 전에는 supplemental input에 반영하지 않음."
07_ANX-PE,S030,full_sample,ANX-PE,S030_source_packet_20260609.txt,S030_doc1 page 7 chunk 1; page 8 chunk 1; Tables 4-6/HTMT,,,,no_ANX_construct,do_not_promote_construct_mapping_failure_no_ANX,no,high,confirm_exclusion_or_request_full_pdf_reopen,"PU/performance counterpart and perceived trust are present, but measured variables are PU, PT, ATT, INT, PBC, PEOU, SN. No measured anxiety construct appears in the matrix. source-anchored human confirmation 전에는 supplemental input에 반영하지 않음."
07_ANX-PE,S048,full_sample,ANX-PE,S048_source_packet_20260609.txt,S048_doc1 page 12 chunk 1; page 13 chunk 1; Table 1; structural model,,,,no_ANX_construct,do_not_promote_construct_mapping_failure_no_ANX,no,high,confirm_exclusion_or_request_full_pdf_reopen,"PE, trust, design novelty, institutional policy, ATT, INT, and USE are present, but no anxiety construct is measured. source-anchored human confirmation 전에는 supplemental input에 반영하지 않음."
07_ANX-PE,S055,full_sample,ANX-PE,S055_source_packet_20260609.txt,S055_doc1 page 11 chunk 1; page 12 chunk 1; Tables 2-3,,,,no_ANX_construct,do_not_promote_construct_mapping_failure_no_ANX,no,high,confirm_exclusion_or_request_full_pdf_reopen,"BI, EE, FC, HT, HM, PE, SI, and USE are present, but no anxiety construct is measured. source-anchored human confirmation 전에는 supplemental input에 반영하지 않음."
07_ANX-PE,S086,full_sample,ANX-PE,S086_source_packet_20260609.txt,"S086_doc1 page 7 chunk 2; page 8 chunk 1; page 9 chunk 1; Tables 1-2, 5",,,,not_ANX_innovative_resistance,do_not_promote_construct_mapping_failure_innovative_resistance_not_ANX,no,high,confirm_exclusion_or_request_full_pdf_reopen,"Innovative resistance is measured and theoretical text includes fear-of-mistakes language, but IR is not full10 ANX. Matrix variables include PI, PE, EE, IR, SI, FC, Trust/TR, BI, and UB. source-anchored human confirmation 전에는 supplemental input에 반영하지 않음."
07_ANX-PE,S088,full_sample,ANX-PE,S088_source_packet_20260609.txt,S088_doc1 page 16 chunk 1 Appendix Table A; page 10 results,,,,not_ANX_perceived_risk,do_not_promote_construct_mapping_failure_perceived_risk_not_ANX,no,high,confirm_exclusion_or_request_full_pdf_reopen,"Perceived risk items address plagiarism, academic risk, and whether the tool might not work well or create problems. This is not full10 ANX. source-anchored human confirmation 전에는 supplemental input에 반영하지 않음."
07_ANX-PE,S121-1,students,ANX-PE,S121_source_packet_20260609.txt,S121.pdf p.8 Figure 2; S121_doc1 page 9 chunk 1,-0.23,source_reported_spearman_correlation_heatmap,threat appraisal -> full10 ANX,rejected_mapping_threat_appraisal_not_ANX,do_not_promote_researcher_rejected_threat_appraisal_to_ANX,no,high,none_rejected_by_researcher_20260615,"S121 Figure 2 reports Spearman r between threat appraisal and performance expectancy for students as -0.23. The value remains source-visible, but the researcher rejected mapping threat appraisal to full10 ANX on 2026-06-15; do not promote."
07_ANX-PE,S121-2,teachers,ANX-PE,S121_source_packet_20260609.txt,S121.pdf p.8 Figure 2; S121_doc1 page 9 chunk 1,-0.08,source_reported_spearman_correlation_heatmap,threat appraisal -> full10 ANX,rejected_mapping_threat_appraisal_not_ANX,do_not_promote_researcher_rejected_threat_appraisal_to_ANX,no,high,none_rejected_by_researcher_20260615,"S121 Figure 2 reports Spearman r between threat appraisal and performance expectancy for teachers as -0.08. The value remains source-visible, but the researcher rejected mapping threat appraisal to full10 ANX on 2026-06-15; do not promote."
07_ANX-PE,S138,full_sample,ANX-PE,S138_source_packet_20260609.txt,S138_doc1 page 13 chunk 1; page 14 chunk 1; page 15 chunk 1; Tables 4-7,,,,not_ANX_perceived_risk,do_not_promote_construct_mapping_failure_perceived_risk_not_ANX,no,high,confirm_exclusion_or_request_full_pdf_reopen,"The matrix variables are AC, AT, AU, BI, PE, PR, PU, SE, SI, and ST. PR is perceived risk, with retained items focused on negative outcomes and uncertainty, not measured full10 ANX. source-anchored human confirmation 전에는 supplemental input에 반영하지 않음."
07_ANX-PE,S164,full_sample,ANX-PE,S164_source_packet_20260609.txt,S164_doc1 page 8 chunk 1; Table 4 Fornell-Larcker,,,,no_ANX_construct,do_not_promote_construct_mapping_failure_no_ANX,no,high,confirm_exclusion_or_request_full_pdf_reopen,"Measured variables are AT, BI, EE, FC, GPTU, H, HM, PBC, PE, and SN. H is habit; no measured anxiety construct is present. source-anchored human confirmation 전에는 supplemental input에 반영하지 않음."
07_ANX-PE,S173,full_sample,ANX-PE,S173_source_packet_20260609.txt,S173_doc1 page 12 chunk 1; page 14 chunk 1; Tables 2 and 4,,,,no_ANX_construct,do_not_promote_construct_mapping_failure_no_ANX,no,high,confirm_exclusion_or_request_full_pdf_reopen,"Measured variables are BI, DE, EE, ET, FC, HT, HM, INT, PT, PE, SI, and USE. PT is perceived trust, and DE/ET are design/ethics constructs, not anxiety. source-anchored human confirmation 전에는 supplemental input에 반영하지 않음."
