task_unit_id,study_id,reference_record_id,denominator_family,bounded_shard_family_index,source_packet_required,source_packet_present_current_workspace,exception_layer_generic_exclusion,previous_locked_output_excluded,selection_mode,notes
FC-S5-TASK-00053,S006,S006_full_sample_BI_EE,primary_direct_r_or_source_reported_correlation,1,true,true,false,false,reused_existing_task_id_bundle,Canonical bounded shard task ID bundle; reruns reuse this bundle unless --refresh-selection is passed.
FC-S5-TASK-00054,S006,S006_full_sample_BI_FC,primary_direct_r_or_source_reported_correlation,2,true,true,false,false,reused_existing_task_id_bundle,Canonical bounded shard task ID bundle; reruns reuse this bundle unless --refresh-selection is passed.
FC-S5-TASK-00055,S006,S006_full_sample_BI_PE,primary_direct_r_or_source_reported_correlation,3,true,true,false,false,reused_existing_task_id_bundle,Canonical bounded shard task ID bundle; reruns reuse this bundle unless --refresh-selection is passed.
FC-S5-TASK-00056,S006,S006_full_sample_BI_SI,primary_direct_r_or_source_reported_correlation,4,true,true,false,false,reused_existing_task_id_bundle,Canonical bounded shard task ID bundle; reruns reuse this bundle unless --refresh-selection is passed.
FC-S5-TASK-00057,S006,S006_full_sample_BI_UB,primary_direct_r_or_source_reported_correlation,5,true,true,false,false,reused_existing_task_id_bundle,Canonical bounded shard task ID bundle; reruns reuse this bundle unless --refresh-selection is passed.
FC-S5-TASK-00058,S006,S006_full_sample_EE_FC,primary_direct_r_or_source_reported_correlation,6,true,true,false,false,reused_existing_task_id_bundle,Canonical bounded shard task ID bundle; reruns reuse this bundle unless --refresh-selection is passed.
FC-S5-TASK-00059,S006,S006_full_sample_EE_PE,primary_direct_r_or_source_reported_correlation,7,true,true,false,false,reused_existing_task_id_bundle,Canonical bounded shard task ID bundle; reruns reuse this bundle unless --refresh-selection is passed.
FC-S5-TASK-00060,S006,S006_full_sample_EE_SI,primary_direct_r_or_source_reported_correlation,8,true,true,false,false,reused_existing_task_id_bundle,Canonical bounded shard task ID bundle; reruns reuse this bundle unless --refresh-selection is passed.
FC-S5-TASK-00061,S006,S006_full_sample_EE_UB,primary_direct_r_or_source_reported_correlation,9,true,true,false,false,reused_existing_task_id_bundle,Canonical bounded shard task ID bundle; reruns reuse this bundle unless --refresh-selection is passed.
FC-S5-TASK-00062,S006,S006_full_sample_FC_PE,primary_direct_r_or_source_reported_correlation,10,true,true,false,false,reused_existing_task_id_bundle,Canonical bounded shard task ID bundle; reruns reuse this bundle unless --refresh-selection is passed.
FC-S5-TASK-00063,S006,S006_full_sample_FC_SI,primary_direct_r_or_source_reported_correlation,11,true,true,false,false,reused_existing_task_id_bundle,Canonical bounded shard task ID bundle; reruns reuse this bundle unless --refresh-selection is passed.
FC-S5-TASK-00064,S006,S006_full_sample_FC_UB,primary_direct_r_or_source_reported_correlation,12,true,true,false,false,reused_existing_task_id_bundle,Canonical bounded shard task ID bundle; reruns reuse this bundle unless --refresh-selection is passed.
FC-S5-TASK-00065,S006,S006_full_sample_PE_SI,primary_direct_r_or_source_reported_correlation,13,true,true,false,false,reused_existing_task_id_bundle,Canonical bounded shard task ID bundle; reruns reuse this bundle unless --refresh-selection is passed.
