relpath,status,classification,academic_size,onedrive_size,academic_sha256,onedrive_sha256,recommendation
.DS_Store,same_relative_path_different_content,runtime_or_session_state,12292,8196,7bbc226046239bb670b398ea9a68c81c9e3f32499a765e770fa98933f1507b7d,0f48f135a1f877595081b8ddeeebdc69b8276655bf3cc5851563583ceb0574f7,preserve old OneDrive version in archive snapshot; canonical Academic version wins for mirror unless researcher reopens
.gitignore,same_relative_path_different_content,unclassified_review_required,3865,2085,e4a4fd7eb66d36ce534189c2962a7569be37523c59181087af332804aa69091f,41f92909588fc1bb9e63549c4ceae85308664e7fb0e673010115e65360d5a103,preserve old OneDrive version in archive snapshot; canonical Academic version wins for mirror unless researcher reopens
.longtable/current-session.json,same_relative_path_different_content,runtime_or_session_state,2108,2104,af61e2ba0b81befa57ecab4fd77a9b36df053660d6f9c7a31a05207701a7ed7a,2ae47995662f8e61e6486ba57d0d46f6d2678c2d5a0fa35b9efce2b0693ed758,preserve old OneDrive version in archive snapshot; canonical Academic version wins for mirror unless researcher reopens
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/events.jsonl,academic_only,runtime_or_session_state,5181,,2080f482c7433c4e949770fc9c068a0f771d7add83ef94b3d24e76c7c9088769,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/panel-result-degraded-20260605.json,academic_only,runtime_or_session_state,22240,,f6364937342b04dedfaec6871c305651f633323b4d34f6372cd57d2d9484ac35,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/panel-worker-output.schema.json,academic_only,runtime_or_session_state,923,,1a4f236408e36c5ece66505be940a2ef269167bf7bfe0cc8e6b7fb0d827fe432,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/run.json,academic_only,runtime_or_session_state,16868,,0077b421458c436b034ea276a464c74bd1cb625839efdaa629cf48cc6d4a1ba8,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/schema.json,academic_only,runtime_or_session_state,174,,225e18157151eeea9de81d8815dcece059879868bea1b7f8aa677140523c224e,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/.git,academic_only,runtime_or_session_state,126,,bf4a7229f01dfdc8c7cb903331375f4a972f60bb1988992b0c4146a2498c0ea3,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/.gitignore,academic_only,runtime_or_session_state,2085,,41f92909588fc1bb9e63549c4ceae85308664e7fb0e673010115e65360d5a103,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
.longtable/panel-runs/panel_run_mq0jd269_8wqm05/worktrees/worker-1-reviewer/.longtable-worker/launch.sh,academic_only,runtime_or_session_state,6254,,90afd9b63954ee67fef8afe2a17af4088023bd72801bb020b410864beb863072,,copy to new OneDrive mirror if not runtime; keep canonical in Academic
