coder,study_id,sample_size,title,first_author,year
R1,S222,50.0,Effects and acceptance of precision education in an AI-supported smart learning environment,Hu,2022.0
R1,S218,242.0,To use or not to use? Understanding doctoral students' acceptance of ChatGPT in writing through technology acceptance model,Zou,2023.0
R1,S185,298.0,Factors Influencing the Acceptance of ChatGPT in High Education: An Integrated Model With PLS-SEM and fsQCA Approach,Zhao,2024.0
R1,S194,469.0,Exploring Factors Influencing Gen Z's Acceptance and Adoption of AI and Cloud-Based Applications and Tools in Academic Attainment,Hail,2024.0
R1,S208,526.0,"Artificial intelligence in Jordanian education: Assessing acceptance via perceived cybersecurity, novelty value, and perceived trust",Alzyoud,2024.0
R1,S028,508.0,Impact of perceived ease of use and perceived usefulness of humanoid robots on students' intention to use,Chen,2025.0
R1,S059,645.0,Predictors of university students' acceptance of ChatGPT in Chinese academic context,Wang,2025.0
R1,S145,374.0,Determinants of Student Adoption of Generative AI in Higher Education,Aldreabi,2025.0
R1,S110,353.0,Factors Driving ChatGPT Adoption in Higher Education: A UTAUT-Based Analysis of Student Behavioural Intentions,Siddiqui,2025.0
R1,S147,410.0,Battle of AI chatbots: Graduate students’ perceptions of ChatGPT versus Gemini for learning purposes in Egyptian higher education,Sobaih,2025.0
R1,S023,,Students’ acceptance and use of generative AI in pharmacy education: international cross-sectional survey based on the extended unified theory of acceptance and use of technology,,2025.0
R1,S064,220.0,AIDUA (artificial intelligence device use and acceptance) model to assess the acceptance of AI in the learning practices of higher education students,Espinoza-Bravo,2025.0
R1,S177,283.0,Integrating Tam and UGT to explore students’ motivation for using ChatGPT for learning in Vietnam,Le,2024.0
R1,S169,250.0,Revolutionizing education: Artificial intelligence empowered learning in higher education,Rahiman,2024.0
R1,S015,528.0,Unlocking ChatGPT's potential: a comparative study of student adoption intentions in higher education across India and Poland,Chopra,2025.0
R1,S156,305.0,Investigating AI-based academic support acceptance and its impact on students' performance in Malaysian and Pakistani higher education institutions,Dahri,2024.0
R1,S104,436.0,Factors affecting Indonesian pre-service EFL teachers' AI acceptance and use,Firdaus,2025.0
R1,S042,500.0,Factors affecting Artificial Intelligence usage intention among nursing students: Unified theory of acceptance and use of technology,Alenazi,2025.0
