study_id,reference_record_id,phase_block,pair,sample_or_stratum,n,construct_1,construct_2,r_value,r_source,original_beta,source_location,evidence_type,mapping_confidence,decision_status,step3_decision_source,notes
S058,S058_full_sample_ATT_BI,phase2,Pair C,full_sample,541,ATT,BI,0.86,beta_converted_peterson_brown,,S058.pdf Table 4,standardized_path_beta_converted,medium,included_reference_draft_residual_batch4_phase2_pairC_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair C adjudication 20260608,Use R1 source-located Table 4 beta-converted rows; R4 raw path-coefficient rows are not drafted.
S058,S058_full_sample_ATT_EE,phase2,Pair C,full_sample,541,ATT,EE,0.42,beta_converted_peterson_brown,,S058.pdf Table 4,standardized_path_beta_converted,medium,included_reference_draft_residual_batch4_phase2_pairC_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair C adjudication 20260608,Use R1 source-located Table 4 beta-converted rows; R4 raw path-coefficient rows are not drafted.
S058,S058_full_sample_ATT_PE,phase2,Pair C,full_sample,541,ATT,PE,0.53,beta_converted_peterson_brown,,S058.pdf Table 4,standardized_path_beta_converted,medium,included_reference_draft_residual_batch4_phase2_pairC_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair C adjudication 20260608,Use R1 source-located Table 4 beta-converted rows; R4 raw path-coefficient rows are not drafted.
S058,S058_full_sample_BI_EE,phase2,Pair C,full_sample,541,BI,EE,0.19,beta_converted_peterson_brown,,S058.pdf Table 4,standardized_path_beta_converted,medium,included_reference_draft_residual_batch4_phase2_pairC_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair C adjudication 20260608,Use R1 source-located Table 4 beta-converted rows; R4 raw path-coefficient rows are not drafted.
S058,S058_full_sample_BI_PE,phase2,Pair C,full_sample,541,BI,PE,0.46,beta_converted_peterson_brown,,S058.pdf Table 4,standardized_path_beta_converted,medium,included_reference_draft_residual_batch4_phase2_pairC_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair C adjudication 20260608,Use R1 source-located Table 4 beta-converted rows; R4 raw path-coefficient rows are not drafted.
S058,S058_full_sample_EE_PE,phase2,Pair C,full_sample,541,EE,PE,0.86,beta_converted_peterson_brown,,S058.pdf Table 4,standardized_path_beta_converted,medium,included_reference_draft_residual_batch4_phase2_pairC_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair C adjudication 20260608,Use R1 source-located Table 4 beta-converted rows; R4 raw path-coefficient rows are not drafted.
S069,S069_full_sample_BI_EE,phase2,Pair C,full_sample,597,BI,EE,0.345,source_reported_pearson_or_latent_correlation,,S069.pdf Table 2,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairC_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair C adjudication 20260608,Use R1 Table 2 direct/Fornell-Larcker row set; R4 duplicates values but lacks source-location strings.
S069,S069_full_sample_BI_PE,phase2,Pair C,full_sample,597,BI,PE,0.421,source_reported_pearson_or_latent_correlation,,S069.pdf Table 2,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairC_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair C adjudication 20260608,Use R1 Table 2 direct/Fornell-Larcker row set; R4 duplicates values but lacks source-location strings.
S069,S069_full_sample_BI_SI,phase2,Pair C,full_sample,597,BI,SI,0.635,source_reported_pearson_or_latent_correlation,,S069.pdf Table 2,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairC_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair C adjudication 20260608,Use R1 Table 2 direct/Fornell-Larcker row set; R4 duplicates values but lacks source-location strings.
S069,S069_full_sample_EE_PE,phase2,Pair C,full_sample,597,EE,PE,0.69,source_reported_pearson_or_latent_correlation,,S069.pdf Table 2,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairC_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair C adjudication 20260608,Use R1 Table 2 direct/Fornell-Larcker row set; R4 duplicates values but lacks source-location strings.
S069,S069_full_sample_EE_SI,phase2,Pair C,full_sample,597,EE,SI,0.551,source_reported_pearson_or_latent_correlation,,S069.pdf Table 2,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairC_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair C adjudication 20260608,Use R1 Table 2 direct/Fornell-Larcker row set; R4 duplicates values but lacks source-location strings.
S069,S069_full_sample_PE_SI,phase2,Pair C,full_sample,597,PE,SI,0.493,source_reported_pearson_or_latent_correlation,,S069.pdf Table 2,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairC_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair C adjudication 20260608,Use R1 Table 2 direct/Fornell-Larcker row set; R4 duplicates values but lacks source-location strings.
S070,S070_full_sample_BI_EE,phase2,Pair C,full_sample,245,BI,EE,0.581,source_reported_pearson_or_latent_correlation,,S070.pdf Figure 3 / results text,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairC_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair C adjudication 20260608,Use R1 source-located Figure 3/Figure 4 direct latent-correlation rows; reject R4 mixed beta/direct subset for overlapping BI/UB rows.
S070,S070_full_sample_BI_FC,phase2,Pair C,full_sample,245,BI,FC,0.469,source_reported_pearson_or_latent_correlation,,S070.pdf Figure 3 / results text,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairC_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair C adjudication 20260608,Use R1 source-located Figure 3/Figure 4 direct latent-correlation rows; reject R4 mixed beta/direct subset for overlapping BI/UB rows.
S070,S070_full_sample_BI_PE,phase2,Pair C,full_sample,245,BI,PE,0.502,source_reported_pearson_or_latent_correlation,,S070.pdf Figure 3 / results text,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase2_pairC_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase2 Pair C adjudication 20260608,Use R1 source-located Figure 3/Figure 4 direct latent-correlation rows; reject R4 mixed beta/direct subset for overlapping BI/UB rows.
