study_id,phase_block,pair,decision_level,step4_application_status,decision_summary,recommended_step4_action,can_enter_full_freeze_without_additional_source_check,evidence_basis,notes
S005,phase1,Pair A,explicit_rule_decision_needs_row_filter_or_source_audit,pending_row_filter,"Exclude JOY; do not map CON to FC; FC is not adopted for that case.","Remove JOY, CON-to-FC, and non-adopted FC mappings from the adjudicated reference; source-check retained target rows.",no,"phase1/decision_log_20260424.md; phase1/coding_decision_application_check_20260425.md","Logged rule is actionable, but final Step 4 rows require row-level filtering."
S011,phase1,Pair A,explicit_rule_decision_needs_row_filter_or_source_audit,pending_row_filter,"Only structural TAM paths are usable and beta-converted; TTF to ATT and TTF to BI are not mapped to FC and are excluded.","Retain eligible TAM beta-converted paths; remove TTF-as-FC rows; audit source table and beta-to-r handling.",no,"phase1/decision_log_20260424.md; phase1/coding_decision_application_check_20260425.md","Logged rule is actionable, but final row set requires source-table audit."
S033,phase1,Pair A,explicit_value_decision_ready_for_reference_draft,pending_reference_draft,"Use R1 beta-converted Table 5 path-coefficient values; retain ATT-EE = .06 from beta .013; exclude R2-only PE-UB = .013.","Draft the R1 beta-converted row set in Step 4 and audit path-to-r conversion plus excluded R2-only placement.",conditional,"phase1/decision_log_20260424.md; phase1/coding_decision_application_check_20260425.md","Ready for reference draft after row count and conversion audit."
S035,phase1,Pair A,explicit_value_decision_ready_for_reference_draft,pending_reference_draft,"Use R1 direct Table 4 values for unresolved R1-R2 correlation differences.","Draft the R1 direct Table 4 row set and audit retained construct-pair labels.",conditional,"phase1/decision_log_20260424.md; phase1/coding_decision_application_check_20260425.md","ChatGPT Adoption maps to UB, with continuation-intention wording noted."
S041,phase1,Pair A,exclude_study_ready_for_full_freeze_audit,pending_exclusion_layer_application,"Exclude study as E-FT3: general AI technology acceptance/use-frequency study, not educational AI adoption.","Carry exclusion code, source stage, and rationale into the full-corpus reference status/exclusion layer.",yes,"phase1/decision_log_20260424.md","Logged exclusion can enter the exclusion layer, subject to routine final audit."
S044,phase1,Pair A,explicit_rule_decision_needs_row_filter_or_source_audit,pending_row_filter,"Map GAAIS Positive Attitudes toward AI to ATT; do not average Negative Attitudes into ATT.","Retain positive-attitude ATT rows; exclude or sensitivity-flag negative-attitude rows; audit source construct wording.",no,"phase1/decision_log_20260424.md; phase1/coding_decision_application_check_20260425.md","Negative Attitudes should not be silently averaged into primary ATT."
S051,phase1,Pair A,explicit_value_decision_ready_for_reference_draft,pending_reference_draft,"Do not map Perceived Risk to ANX; include R1 direct EE-FC = .59, EE-PE = .48, and FC-PE = .47.","Exclude Perceived Risk-as-ANX rows and draft the three R1 direct target correlations.",conditional,"phase1/decision_log_20260424.md; phase1/coding_decision_application_check_20260425.md","Ready for reference draft once Perceived Risk rows are filtered out."
S054,phase1,Pair A,explicit_rule_decision_needs_row_filter_or_source_audit,pending_row_filter,"Use the teacher-only sample n=299; exclude the high-school student sample; do not map Perceived Playfulness to ATT.","Apply teacher-only sample coding, remove student-sample rows, and exclude PP-to-ATT mapping before drafting final rows.",no,"phase1/decision_log_20260424.md; phase1/coding_decision_application_check_20260425.md","Sample selection affects all dependent target rows."
S074,phase1,Pair A,explicit_rule_decision_needs_row_filter_or_source_audit,pending_source_orientation_audit,"AI anxiety correlations are positive and flagged as a possible scale-orientation issue.","Source-check item direction and scale orientation before finalizing ANX rows.",no,"phase1/decision_log_20260424.md","Do not freeze ANX values until orientation is audited."
S079,phase1,Pair A,explicit_rule_decision_needs_row_filter_or_source_audit,pending_source_type_audit,"Treat relevant effects as path coefficients.","Confirm source type and apply the beta/path coefficient handling rule before drafting target rows.",no,"phase1/decision_log_20260424.md; phase1/coding_decision_application_check_20260425.md","Path coefficients should not be treated as zero-order correlations."
S081,phase1,Pair A,explicit_value_decision_ready_for_reference_draft,pending_reference_draft,"Use R1 direct Table 4 values for unresolved R1-R2 correlation differences.","Draft the R1 direct Table 4 row set and audit retained construct-pair labels.",conditional,"phase1/decision_log_20260424.md; phase1/coding_decision_application_check_20260425.md","Ready for reference draft after routine row-level audit."
S086,phase1,Pair A,phase1_progress_logged_needs_source_value_audit,pending_source_value_audit,"Phase 1 progress logged, but no special row rule or final value decision was found in the decision log.","Run source-value audit before creating Step 4 reference rows.",no,"phase1/decision_log_20260424.md","Progress evidence alone is not enough for freeze-layer rows."
