run_id,model_provider,model_id,denominator_family,scored_n,correct_n,accuracy,not_scored_n
paper2_claude_full_allfamilies_0000_0499_20260606,anthropic,claude_code,absence_or_blank_consensus,35,0,0.000000,250
paper2_claude_full_allfamilies_0000_0499_20260606,anthropic,claude_code,construct_or_sample_mapping_decision,2,0,0.000000,0
paper2_claude_full_allfamilies_0000_0499_20260606,anthropic,claude_code,converted_or_model_derived_effect_size,30,0,0.000000,0
paper2_claude_full_allfamilies_0000_0499_20260606,anthropic,claude_code,direct_r_effect_size_extraction,8,3,0.375000,0
paper2_claude_full_allfamilies_0000_0499_20260606,anthropic,claude_code,eligibility_or_exclusion_decision,5,0,0.000000,0
paper2_claude_full_allfamilies_0000_0499_20260606,anthropic,claude_code,metadata_extraction,113,47,0.415929,6
paper2_claude_full_allfamilies_0000_0499_20260606,anthropic,claude_code,source_absence_decision,3,0,0.000000,0
paper2_claude_full_allfamilies_0000_0499_20260606,anthropic,claude_code,statistic_type_policy_decision,7,0,0.000000,0
paper2_claude_full_allfamilies_0000_0499_20260606,anthropic,claude_code,structured_human_review_decision,41,0,0.000000,0
paper2_claude_full_allfamilies_0500_0999_20260606,anthropic,claude_code,absence_or_blank_consensus,100,0,0.000000,400
paper2_claude_full_allfamilies_1000_1499_20260606,anthropic,claude_code,absence_or_blank_consensus,0,0,,500
paper2_claude_full_allfamilies_1500_1999_20260606,anthropic,claude_code,absence_or_blank_consensus,0,0,,500
paper2_claude_full_allfamilies_2000_2499_20260606,anthropic,claude_code,absence_or_blank_consensus,0,0,,500
paper2_claude_full_allfamilies_2500_2999_20260606,anthropic,claude_code,absence_or_blank_consensus,0,0,,500
paper2_claude_full_allfamilies_3000_3499_20260606,anthropic,claude_code,absence_or_blank_consensus,0,0,,491
paper2_claude_full_allfamilies_3000_3499_20260606,anthropic,claude_code,converted_or_model_derived_effect_size,5,0,0.000000,0
paper2_claude_full_allfamilies_3000_3499_20260606,anthropic,claude_code,direct_r_effect_size_extraction,4,0,0.000000,0
paper2_claude_full_allfamilies_3500_3749_20260606,anthropic,claude_code,absence_or_blank_consensus,49,0,0.000000,171
paper2_claude_full_allfamilies_3500_3749_20260606,anthropic,claude_code,direct_r_effect_size_extraction,30,0,0.000000,0
paper2_claude_full_allfamilies_3750_3999_20260606,anthropic,claude_code,absence_or_blank_consensus,27,0,0.000000,175
paper2_claude_full_allfamilies_3750_3999_20260606,anthropic,claude_code,direct_r_effect_size_extraction,48,0,0.000000,0
paper2_claude_smoke_direct_r_20260606,anthropic,claude_code,direct_r_effect_size_extraction,1,0,0.000000,0
paper2_claude_sonnet_full_allfamilies_4000_4499_20260606,anthropic,claude:sonnet,absence_or_blank_consensus,77,0,0.000000,343
paper2_claude_sonnet_full_allfamilies_4000_4499_20260606,anthropic,claude:sonnet,converted_or_model_derived_effect_size,15,0,0.000000,0
paper2_claude_sonnet_full_allfamilies_4000_4499_20260606,anthropic,claude:sonnet,direct_r_effect_size_extraction,65,0,0.000000,0
paper2_claude_sonnet_full_allfamilies_4500_4999_20260606,anthropic,claude:sonnet,absence_or_blank_consensus,47,0,0.000000,400
paper2_claude_sonnet_full_allfamilies_4500_4999_20260606,anthropic,claude:sonnet,converted_or_model_derived_effect_size,4,0,0.000000,0
paper2_claude_sonnet_full_allfamilies_4500_4999_20260606,anthropic,claude:sonnet,direct_r_effect_size_extraction,49,0,0.000000,0
paper2_claude_sonnet_full_allfamilies_5000_5249_retry2_20260606,anthropic,claude:sonnet,absence_or_blank_consensus,36,0,0.000000,190
paper2_claude_sonnet_full_allfamilies_5000_5249_retry2_20260606,anthropic,claude:sonnet,converted_or_model_derived_effect_size,9,0,0.000000,0
paper2_claude_sonnet_full_allfamilies_5000_5249_retry2_20260606,anthropic,claude:sonnet,direct_r_effect_size_extraction,15,0,0.000000,0
paper2_claude_sonnet_full_allfamilies_5250_5499_retry2_20260606,anthropic,claude:sonnet,absence_or_blank_consensus,46,0,0.000000,188
paper2_claude_sonnet_full_allfamilies_5250_5499_retry2_20260606,anthropic,claude:sonnet,direct_r_effect_size_extraction,16,0,0.000000,0
