run_id,model_provider,model_id,model_version,procedure_id,prompt_version,run_timestamp_utc,temperature,seed,task_unit_id,study_id,llm_task_family,denominator_family,scoring_eligibility,expected_answer_type,evaluation_unit_text,model_input_text,model_answer,model_answer_normalized,model_source_locator,model_source_quote,model_confidence,abstained,error_code,raw_output_ref,locked_answer_status,lock_timestamp_utc,locked_by,notes
paper2_codex_full_allfamilies_0150_0249_20260606,openai,codex_cli,codex-cli 0.137.0,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T08:05:39Z,0,,P2-TASK-00151,S122,metadata_extraction,metadata_extraction,eligible_after_locked_llm_output,metadata_field_value_or_blank,Study: S122 | Task family: metadata_extraction | Field/construct pair: Matrix completeness | Human consensus value: complete / 1.0 | Source/evidence note: PDF Table 5 reports a Fornell-Larcker lower-triangular correlation matrix and Table 8 reports path coefficients for an extended TAM-UTAUT2 model. source table type determines correlation availability; numeric and categorical encodings should be harmonized before freeze,Study: S122 | Task family: metadata_extraction | Field/construct pair: Matrix completeness | Expected answer type: metadata_field_value_or_blank | Source locator: table=60; row=6 | Source evidence: PDF Table 5 reports a Fornell-Larcker lower-triangular correlation matrix and Table 8 reports path coefficients for an extended TAM-UTAUT2 model. source table type determines correlation availability; numeric and categorical encodings should be harmonized before freeze | Notes: Use this as the source-adjudicated metadata value; harmonize codebook spelling before reference freeze.,lower-triangular correlation matrix,lower_triangular,table=60; row=6,PDF Table 5 reports a Fornell-Larcker lower-triangular correlation matrix,high,False,,not_persisted_batch,locked,2026-06-06T08:05:39Z,codex_cli_noninteractive_batch,
paper2_codex_full_allfamilies_0150_0249_20260606,openai,codex_cli,codex-cli 0.137.0,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T08:05:39Z,0,,P2-TASK-00152,S122,metadata_extraction,metadata_extraction,eligible_after_locked_llm_output,metadata_field_value_or_blank,Study: S122 | Task family: metadata_extraction | Field/construct pair: Flag | Human consensus value: non-standard_constructs | Source/evidence note: PDF Table 5 reports a Fornell-Larcker lower-triangular correlation matrix and Table 8 reports path coefficients for an extended TAM-UTAUT2 model. flag reflects source/type eligibility and construct taxonomy rather than coder correctness alone,Study: S122 | Task family: metadata_extraction | Field/construct pair: Flag | Expected answer type: metadata_field_value_or_blank | Source locator: table=60; row=7 | Source evidence: PDF Table 5 reports a Fornell-Larcker lower-triangular correlation matrix and Table 8 reports path coefficients for an extended TAM-UTAUT2 model. flag reflects source/type eligibility and construct taxonomy rather than coder correctness alone | Notes: Use this as the source-adjudicated metadata value; harmonize codebook spelling before reference freeze.,,,table=60; row=7,,low,True,insufficient_evidence,not_persisted_batch,locked,2026-06-06T08:05:39Z,codex_cli_noninteractive_batch,Source evidence describes what the flag reflects but does not provide the flag value.
paper2_codex_full_allfamilies_0150_0249_20260606,openai,codex_cli,codex-cli 0.137.0,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T08:05:39Z,0,,P2-TASK-00153,S034,metadata_extraction,metadata_extraction,eligible_after_locked_llm_output,metadata_field_value_or_blank,Study: S034 | Task family: metadata_extraction | Field/construct pair: Source type | Human consensus value: journal | Source/evidence note: PDF Fig. 2 reports a correlation heatmap; discussion reports r=.62 and r=.65 for ease/usefulness with intention and r=.68 between ease/usefulness. publication type: journal article; standardized code is journal,Study: S034 | Task family: metadata_extraction | Field/construct pair: Source type | Expected answer type: metadata_field_value_or_blank | Source locator: table=61; row=2 | Source evidence: PDF Fig. 2 reports a correlation heatmap; discussion reports r=.62 and r=.65 for ease/usefulness with intention and r=.68 between ease/usefulness. publication type: journal article; standardized code is journal | Notes: Use this as the source-adjudicated metadata value; harmonize codebook spelling before reference freeze.,journal article,journal,table=61; row=2,publication type: journal article; standardized code is journal,high,False,,not_persisted_batch,locked,2026-06-06T08:05:39Z,codex_cli_noninteractive_batch,
paper2_codex_full_allfamilies_0150_0249_20260606,openai,codex_cli,codex-cli 0.137.0,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T08:05:39Z,0,,P2-TASK-00154,S034,metadata_extraction,metadata_extraction,eligible_after_locked_llm_output,metadata_field_value_or_blank,Study: S034 | Task family: metadata_extraction | Field/construct pair: Study design | Human consensus value: cross_sectional | Source/evidence note: PDF Fig. 2 reports a correlation heatmap; discussion reports r=.62 and r=.65 for ease/usefulness with intention and r=.68 between ease/usefulness. single-wave survey/cross-sectional design; use standardized underscore code,Study: S034 | Task family: metadata_extraction | Field/construct pair: Study design | Expected answer type: metadata_field_value_or_blank | Source locator: table=61; row=3 | Source evidence: PDF Fig. 2 reports a correlation heatmap; discussion reports r=.62 and r=.65 for ease/usefulness with intention and r=.68 between ease/usefulness. single-wave survey/cross-sectional design; use standardized underscore code | Notes: Use this as the source-adjudicated metadata value; harmonize codebook spelling before reference freeze.,single-wave survey/cross-sectional design,cross_sectional,table=61; row=3,single-wave survey/cross-sectional design; use standardized underscore code,high,False,,not_persisted_batch,locked,2026-06-06T08:05:39Z,codex_cli_noninteractive_batch,
paper2_codex_full_allfamilies_0150_0249_20260606,openai,codex_cli,codex-cli 0.137.0,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T08:05:39Z,0,,P2-TASK-00155,S034,metadata_extraction,metadata_extraction,eligible_after_locked_llm_output,metadata_field_value_or_blank,Study: S034 | Task family: metadata_extraction | Field/construct pair: Theoretical framework | Human consensus value: TAM; HISAM; TRI | Source/evidence note: PDF Fig. 2 reports a correlation heatmap; discussion reports r=.62 and r=.65 for ease/usefulness with intention and r=.68 between ease/usefulness. source frames the model with TAM/HISAM/TRI constructs,Study: S034 | Task family: metadata_extraction | Field/construct pair: Theoretical framework | Expected answer type: metadata_field_value_or_blank | Source locator: table=61; row=4 | Source evidence: PDF Fig. 2 reports a correlation heatmap; discussion reports r=.62 and r=.65 for ease/usefulness with intention and r=.68 between ease/usefulness. source frames the model with TAM/HISAM/TRI constructs | Notes: Use this as the source-adjudicated metadata value; harmonize codebook spelling before reference freeze.,TAM/HISAM/TRI,TAM/HISAM/TRI,table=61; row=4,source frames the model with TAM/HISAM/TRI constructs,high,False,,not_persisted_batch,locked,2026-06-06T08:05:39Z,codex_cli_noninteractive_batch,
paper2_codex_full_allfamilies_0150_0249_20260606,openai,codex_cli,codex-cli 0.137.0,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T08:05:39Z,0,,P2-TASK-00156,S034,metadata_extraction,metadata_extraction,eligible_after_locked_llm_output,metadata_field_value_or_blank,Study: S034 | Task family: metadata_extraction | Field/construct pair: AI tool name | Human consensus value: AI tools for academic writing | Source/evidence note: PDF Fig. 2 reports a correlation heatmap; discussion reports r=.62 and r=.65 for ease/usefulness with intention and r=.68 between ease/usefulness. source title and text specify AI tools for academic writing,Study: S034 | Task family: metadata_extraction | Field/construct pair: AI tool name | Expected answer type: metadata_field_value_or_blank | Source locator: table=61; row=5 | Source evidence: PDF Fig. 2 reports a correlation heatmap; discussion reports r=.62 and r=.65 for ease/usefulness with intention and r=.68 between ease/usefulness. source title and text specify AI tools for academic writing | Notes: Use this as the source-adjudicated metadata value; harmonize codebook spelling before reference freeze.,AI tools for academic writing,AI tools for academic writing,table=61; row=5,source title and text specify AI tools for academic writing,high,False,,not_persisted_batch,locked,2026-06-06T08:05:39Z,codex_cli_noninteractive_batch,
paper2_codex_full_allfamilies_0150_0249_20260606,openai,codex_cli,codex-cli 0.137.0,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T08:05:39Z,0,,P2-TASK-00157,S034,metadata_extraction,metadata_extraction,eligible_after_locked_llm_output,metadata_field_value_or_blank,"Study: S034 | Task family: metadata_extraction | Field/construct pair: Statistic count | Human consensus value: 3 | Source/evidence note: PDF Fig. 2 reports a correlation heatmap; discussion reports r=.62 and r=.65 for ease/usefulness with intention and r=.68 between ease/usefulness. source supports BI-EE, BI-PE, and EE-PE values in Fig. 2/discussion","Study: S034 | Task family: metadata_extraction | Field/construct pair: Statistic count | Expected answer type: metadata_field_value_or_blank | Source locator: table=61; row=6 | Source evidence: PDF Fig. 2 reports a correlation heatmap; discussion reports r=.62 and r=.65 for ease/usefulness with intention and r=.68 between ease/usefulness. source supports BI-EE, BI-PE, and EE-PE values in Fig. 2/discussion | Notes: Use this as the source-adjudicated metadata value; harmonize codebook spelling before reference freeze.",3,3,table=61; row=6,"source supports BI-EE, BI-PE, and EE-PE values in Fig. 2/discussion",high,False,,not_persisted_batch,locked,2026-06-06T08:05:39Z,codex_cli_noninteractive_batch,
paper2_codex_full_allfamilies_0150_0249_20260606,openai,codex_cli,codex-cli 0.137.0,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T08:05:39Z,0,,P2-TASK-00158,S034,metadata_extraction,metadata_extraction,eligible_after_locked_llm_output,metadata_field_value_or_blank,Study: S034 | Task family: metadata_extraction | Field/construct pair: Matrix completeness | Human consensus value: complete / heatmap | Source/evidence note: PDF Fig. 2 reports a correlation heatmap; discussion reports r=.62 and r=.65 for ease/usefulness with intention and r=.68 between ease/usefulness. source table type determines correlation availability; numeric and categorical encodings should be harmonized before freeze,Study: S034 | Task family: metadata_extraction | Field/construct pair: Matrix completeness | Expected answer type: metadata_field_value_or_blank | Source locator: table=61; row=7 | Source evidence: PDF Fig. 2 reports a correlation heatmap; discussion reports r=.62 and r=.65 for ease/usefulness with intention and r=.68 between ease/usefulness. source table type determines correlation availability; numeric and categorical encodings should be harmonized before freeze | Notes: Use this as the source-adjudicated metadata value; harmonize codebook spelling before reference freeze.,correlation heatmap,complete,table=61; row=7,PDF Fig. 2 reports a correlation heatmap,medium,False,,not_persisted_batch,locked,2026-06-06T08:05:39Z,codex_cli_noninteractive_batch,Normalized as complete because a heatmap is described as the source for the reported correlations.
paper2_codex_full_allfamilies_0150_0249_20260606,openai,codex_cli,codex-cli 0.137.0,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T08:05:39Z,0,,P2-TASK-00159,S034,metadata_extraction,metadata_extraction,eligible_after_locked_llm_output,metadata_field_value_or_blank,Study: S034 | Task family: metadata_extraction | Field/construct pair: Flag | Human consensus value: non-standard_constructs | Source/evidence note: PDF Fig. 2 reports a correlation heatmap; discussion reports r=.62 and r=.65 for ease/usefulness with intention and r=.68 between ease/usefulness. flag reflects source/type eligibility and construct taxonomy rather than coder correctness alone,Study: S034 | Task family: metadata_extraction | Field/construct pair: Flag | Expected answer type: metadata_field_value_or_blank | Source locator: table=61; row=8 | Source evidence: PDF Fig. 2 reports a correlation heatmap; discussion reports r=.62 and r=.65 for ease/usefulness with intention and r=.68 between ease/usefulness. flag reflects source/type eligibility and construct taxonomy rather than coder correctness alone | Notes: Use this as the source-adjudicated metadata value; harmonize codebook spelling before reference freeze.,,,table=61; row=8,,low,True,insufficient_evidence,not_persisted_batch,locked,2026-06-06T08:05:39Z,codex_cli_noninteractive_batch,Source evidence describes what the flag reflects but does not provide the flag value.
paper2_codex_full_allfamilies_0150_0249_20260606,openai,codex_cli,codex-cli 0.137.0,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T08:05:39Z,0,,P2-TASK-00160,S034,direct_r_effect_size_extraction,direct_r_effect_size_extraction,eligible_after_locked_llm_output,numeric_effect_size_with_source_type,Study: S034 | Task family: direct_r_effect_size_extraction | Field/construct pair: BI-EE | Human consensus value: r=0.62; source=direct/heatmap; sig=p<.01 | Source/evidence note: PDF Fig. 2 reports a correlation heatmap; discussion reports r=.62 and r=.65 for ease/usefulness with intention and r=.68 between ease/usefulness.,Study: S034 | Task family: direct_r_effect_size_extraction | Field/construct pair: BI-EE | Expected answer type: numeric_effect_size_with_source_type | Source locator: table=62; row=2 | Source evidence: PDF Fig. 2 reports a correlation heatmap; discussion reports r=.62 and r=.65 for ease/usefulness with intention and r=.68 between ease/usefulness. | Notes: Use as source-reported correlation from Fig. 2/discussion.,r=.62,0.62,table=62; row=2,discussion reports r=.62 and r=.65 for ease/usefulness with intention,medium,False,,not_persisted_batch,locked,2026-06-06T08:05:39Z,codex_cli_noninteractive_batch,Mapped BI-EE to the ease-with-intention correlation from the provided evidence.
paper2_codex_full_allfamilies_0150_0249_20260606,openai,codex_cli,codex-cli 0.137.0,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T08:05:39Z,0,,P2-TASK-00161,S034,direct_r_effect_size_extraction,direct_r_effect_size_extraction,eligible_after_locked_llm_output,numeric_effect_size_with_source_type,Study: S034 | Task family: direct_r_effect_size_extraction | Field/construct pair: BI-PE | Human consensus value: r=0.65; source=direct/heatmap; sig=p<.01 | Source/evidence note: PDF Fig. 2 reports a correlation heatmap; discussion reports r=.62 and r=.65 for ease/usefulness with intention and r=.68 between ease/usefulness.,Study: S034 | Task family: direct_r_effect_size_extraction | Field/construct pair: BI-PE | Expected answer type: numeric_effect_size_with_source_type | Source locator: table=62; row=3 | Source evidence: PDF Fig. 2 reports a correlation heatmap; discussion reports r=.62 and r=.65 for ease/usefulness with intention and r=.68 between ease/usefulness. | Notes: Use as source-reported correlation from Fig. 2/discussion.,r=.62; source-reported correlation,0.62,table=62; row=3,discussion reports r=.62 and r=.65 for ease/usefulness with intention and r=.68 between ease/usefulness,medium,False,,not_persisted_batch,locked,2026-06-06T08:05:39Z,codex_cli_noninteractive_batch,Mapped BI-PE to ease with intention from the provided evidence.
