metric,value
rows_input,2043
rows_in_exception_layer,15
rows_not_in_exception_layer,2028
generic_full_accuracy_included,0
contract_aware_beta_path_included,0
contract_aware_scored,0
contract_aware_correct,0
status:not_scored_manual_source_reference_adjudication_required,1
status:not_scored_no_exception_layer_record,2028
status:not_scored_no_explicit_structural_path_evidence,4
status:not_scored_no_locked_answer,2
status:not_scored_reference_contract_caveat,8
policy:contract_aware_converted_effect_scoring_allowed_after_layer_consumed,2
policy:exclude_until_explicit_structural_path_evidence_or_reference_correction,4
policy:manual_source_reference_adjudication_required_no_in_place_freeze_change,1
policy:reference_contract_caveat_no_in_place_freeze_change,8
