decision_tier,study_id,pair,candidate_or_human_value,source_location,pdf_text_status,source_packet_exists,pdf_exists,recommended_action,decision_boundary,rationale
A_fast_confirm_existing_human_value,S007,BI-FC,-0.086,,ok,true,true,human_confirm_source_table_before_any_use,candidate_only_not_analytic_input_until_human_confirmed,human-coded value is exactly visible in available source/PDF text; confirm source location and evidence type before use
A_fast_confirm_existing_human_value,S007,BI-SE,-0.029,,ok,true,true,human_confirm_source_table_before_any_use,candidate_only_not_analytic_input_until_human_confirmed,human-coded value is exactly visible in available source/PDF text; confirm source location and evidence type before use
A_fast_confirm_existing_human_value,S007,BI-SI,-0.054,,ok,true,true,human_confirm_source_table_before_any_use,candidate_only_not_analytic_input_until_human_confirmed,human-coded value is exactly visible in available source/PDF text; confirm source location and evidence type before use
A_fast_confirm_existing_human_value,S010,BI-FC,0.113,,ok,true,true,human_confirm_source_table_before_any_use,candidate_only_not_analytic_input_until_human_confirmed,human-coded value is exactly visible in available source/PDF text; confirm source location and evidence type before use
A_fast_confirm_existing_human_value,S011,ATT-PE,0.28,Table 6,ok,true,true,human_confirm_source_table_before_any_use,candidate_only_not_analytic_input_until_human_confirmed,human-coded value is exactly visible in available source/PDF text; confirm source location and evidence type before use
A_fast_confirm_existing_human_value,S012,EE-SI,0.335,,ok,true,true,human_confirm_source_table_before_any_use,candidate_only_not_analytic_input_until_human_confirmed,human-coded value is exactly visible in available source/PDF text; confirm source location and evidence type before use
A_fast_confirm_existing_human_value,S012,FC-SI,0.366,,ok,true,true,human_confirm_source_table_before_any_use,candidate_only_not_analytic_input_until_human_confirmed,human-coded value is exactly visible in available source/PDF text; confirm source location and evidence type before use
A_fast_confirm_existing_human_value,S014,PE-UB,0.31,Table 4,ok,false,true,human_confirm_source_table_before_any_use,candidate_only_not_analytic_input_until_human_confirmed,human-coded value is exactly visible in available source/PDF text; confirm source location and evidence type before use
A_fast_confirm_existing_human_value,S014,SI-UB,0.3,Table 4,ok,false,true,human_confirm_source_table_before_any_use,candidate_only_not_analytic_input_until_human_confirmed,human-coded value is exactly visible in available source/PDF text; confirm source location and evidence type before use
A_fast_confirm_existing_human_value,S025,BI-SI,-0.187,,ok,true,true,human_confirm_source_table_before_any_use,candidate_only_not_analytic_input_until_human_confirmed,human-coded value is exactly visible in available source/PDF text; confirm source location and evidence type before use
A_fast_confirm_existing_human_value,S025,BI-SI,-0.187,,ok,true,true,human_confirm_source_table_before_any_use,candidate_only_not_analytic_input_until_human_confirmed,human-coded value is exactly visible in available source/PDF text; confirm source location and evidence type before use
A_fast_confirm_existing_human_value,S028,ATT-BI,0.88,"Table 4, p.7",ok,false,true,human_confirm_source_table_before_any_use,candidate_only_not_analytic_input_until_human_confirmed,human-coded value is exactly visible in available source/PDF text; confirm source location and evidence type before use
A_fast_confirm_existing_human_value,S028,ATT-BI,0.877,Table4,ok,false,true,human_confirm_source_table_before_any_use,candidate_only_not_analytic_input_until_human_confirmed,human-coded value is exactly visible in available source/PDF text; confirm source location and evidence type before use
A_fast_confirm_existing_human_value,S028,ATT-BI,0.877,Table4,ok,false,true,human_confirm_source_table_before_any_use,candidate_only_not_analytic_input_until_human_confirmed,human-coded value is exactly visible in available source/PDF text; confirm source location and evidence type before use
A_fast_confirm_existing_human_value,S028,ATT-EE,0.63,"Table 4, p.7",ok,false,true,human_confirm_source_table_before_any_use,candidate_only_not_analytic_input_until_human_confirmed,human-coded value is exactly visible in available source/PDF text; confirm source location and evidence type before use
A_fast_confirm_existing_human_value,S028,ATT-EE,0.63,"Table 4, p.7",ok,false,true,human_confirm_source_table_before_any_use,candidate_only_not_analytic_input_until_human_confirmed,human-coded value is exactly visible in available source/PDF text; confirm source location and evidence type before use
A_fast_confirm_existing_human_value,S028,ATT-EE,0.63,"Table 4, p.7",ok,false,true,human_confirm_source_table_before_any_use,candidate_only_not_analytic_input_until_human_confirmed,human-coded value is exactly visible in available source/PDF text; confirm source location and evidence type before use
A_fast_confirm_existing_human_value,S028,ATT-EE,0.63,"Table 4, p.7",ok,false,true,human_confirm_source_table_before_any_use,candidate_only_not_analytic_input_until_human_confirmed,human-coded value is exactly visible in available source/PDF text; confirm source location and evidence type before use
A_fast_confirm_existing_human_value,S028,ATT-EE,0.63,"Table 4, p.7",ok,false,true,human_confirm_source_table_before_any_use,candidate_only_not_analytic_input_until_human_confirmed,human-coded value is exactly visible in available source/PDF text; confirm source location and evidence type before use
A_fast_confirm_existing_human_value,S028,ATT-PE,0.81,"Table 4, p.7",ok,false,true,human_confirm_source_table_before_any_use,candidate_only_not_analytic_input_until_human_confirmed,human-coded value is exactly visible in available source/PDF text; confirm source location and evidence type before use
A_fast_confirm_existing_human_value,S028,ATT-PE,0.809,Table4,ok,false,true,human_confirm_source_table_before_any_use,candidate_only_not_analytic_input_until_human_confirmed,human-coded value is exactly visible in available source/PDF text; confirm source location and evidence type before use
A_fast_confirm_existing_human_value,S028,ATT-PE,0.809,Table4,ok,false,true,human_confirm_source_table_before_any_use,candidate_only_not_analytic_input_until_human_confirmed,human-coded value is exactly visible in available source/PDF text; confirm source location and evidence type before use
A_fast_confirm_existing_human_value,S028,ATT-SE,0.721,Table4,ok,false,true,human_confirm_source_table_before_any_use,candidate_only_not_analytic_input_until_human_confirmed,human-coded value is exactly visible in available source/PDF text; confirm source location and evidence type before use
A_fast_confirm_existing_human_value,S028,ATT-SE,0.721,Table4,ok,false,true,human_confirm_source_table_before_any_use,candidate_only_not_analytic_input_until_human_confirmed,human-coded value is exactly visible in available source/PDF text; confirm source location and evidence type before use
A_fast_confirm_existing_human_value,S028,BI-EE,0.63,"Table 4, p.7",ok,false,true,human_confirm_source_table_before_any_use,candidate_only_not_analytic_input_until_human_confirmed,human-coded value is exactly visible in available source/PDF text; confirm source location and evidence type before use
A_fast_confirm_existing_human_value,S028,BI-EE,0.627,Table4,ok,false,true,human_confirm_source_table_before_any_use,candidate_only_not_analytic_input_until_human_confirmed,human-coded value is exactly visible in available source/PDF text; confirm source location and evidence type before use
A_fast_confirm_existing_human_value,S028,BI-EE,0.627,Table4,ok,false,true,human_confirm_source_table_before_any_use,candidate_only_not_analytic_input_until_human_confirmed,human-coded value is exactly visible in available source/PDF text; confirm source location and evidence type before use
A_fast_confirm_existing_human_value,S028,BI-PE,0.82,"Table 4, p.7",ok,false,true,human_confirm_source_table_before_any_use,candidate_only_not_analytic_input_until_human_confirmed,human-coded value is exactly visible in available source/PDF text; confirm source location and evidence type before use
