task_unit_id,study_id,decision_id,analysis_record_id,review_priority,denominator_family,rerun_input_role,expert_review_decision,construct_pair,statistic_value,source_locator,source_location,pdf_path,pdf_text_pages_extracted,pdf_text_review_status,pdf_text_review_decision,pdf_page,matched_value_variant,construct_1_terms_found,construct_2_terms_found,source_type_terms_found,pdf_text_snippet
P2-TASK-00351,S185,R2R3-CORR-V2-00136,P1-PRIMARY-00016,P0_expert_review_numeric_or_masem,direct_r_effect_size_extraction,primary_retained_source_risk,retain_human_reference_source_pointer_risk,ANX-EE,0.473000,source_sheet_row=137,0.473,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S185.pdf,16,pdf_text_value_found_pair_terms_not_on_best_page,source_text_value_found_requires_manual_pair_alignment,7,0.473,,,correlation,"e variance in total variance. The first factor accounted for 34.026%, behavioral intention (R2 = .419). Table 5 demonstrates Table 3. The Fornell-Larcker Test Results. Variables ATT BI DIS INS PBC PEU PU SN ATT 0.831 BI 0.453 0.914 DIS 0.460 0.465 0.869 INS 0.173 0.398 0.189 0.904 PBC 0.162 0.419 0.218 0.194 0.903 PEU 0.473 0.524 0.473 0.288 0.156 0.854 PU 0.504 0.459 0.435 0.249 0.173 0.482 0.880 SN 0.207 0.433 0.216 0.305 0.164 0.279 0.280 0.884 Table 4. HTMT Results. Variables ATT BI DIS INS PBC PEU PU SN ATT - BI 0.501 - DIS 0.530 0.533 - INS 0.192 0.442 0.214 - PBC 0.178 0.451 0.245 0.208 - PEU 0.521 0.578 0.540 0.315 0.169 - PU 0.573 0.523 0.511 0.282 0.195 0.545 - SN 0.237 0.491 0.253 0.351 0.196 0.316 0.327 -"
P2-TASK-00353,S185,R2R3-CORR-V2-00138,P1-PRIMARY-00017,P0_expert_review_numeric_or_masem,direct_r_effect_size_extraction,primary_retained_source_risk,retain_human_reference_source_pointer_risk,ANX-PE,0.435000,source_sheet_row=139,0.435,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S185.pdf,16,pdf_text_value_found_pair_terms_not_on_best_page,source_text_value_found_requires_manual_pair_alignment,7,0.435,,PU,correlation,"unted for 34.026%, behavioral intention (R2 = .419). Table 5 demonstrates Table 3. The Fornell-Larcker Test Results. Variables ATT BI DIS INS PBC PEU PU SN ATT 0.831 BI 0.453 0.914 DIS 0.460 0.465 0.869 INS 0.173 0.398 0.189 0.904 PBC 0.162 0.419 0.218 0.194 0.903 PEU 0.473 0.524 0.473 0.288 0.156 0.854 PU 0.504 0.459 0.435 0.249 0.173 0.482 0.880 SN 0.207 0.433 0.216 0.305 0.164 0.279 0.280 0.884 Table 4. HTMT Results. Variables ATT BI DIS INS PBC PEU PU SN ATT - BI 0.501 - DIS 0.530 0.533 - INS 0.192 0.442 0.214 - PBC 0.178 0.451 0.245 0.208 - PEU 0.521 0.578 0.540 0.315 0.169 - PU 0.573 0.523 0.511 0.282 0.195 0.545 - SN 0.237 0.491 0.253 0.351 0.196 0.316 0.327 -"
P2-TASK-00355,S185,R2R3-CORR-V2-00140,P1-PRIMARY-00018,P0_expert_review_numeric_or_masem,direct_r_effect_size_extraction,primary_retained_source_risk,retain_human_reference_source_pointer_risk,ANX-SI,0.216000,source_sheet_row=141,0.216,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S185.pdf,16,pdf_text_value_found_pair_terms_not_on_best_page,source_text_value_found_requires_manual_pair_alignment,7,0.216,,SN,correlation, .419). Table 5 demonstrates Table 3. The Fornell-Larcker Test Results. Variables ATT BI DIS INS PBC PEU PU SN ATT 0.831 BI 0.453 0.914 DIS 0.460 0.465 0.869 INS 0.173 0.398 0.189 0.904 PBC 0.162 0.419 0.218 0.194 0.903 PEU 0.473 0.524 0.473 0.288 0.156 0.854 PU 0.504 0.459 0.435 0.249 0.173 0.482 0.880 SN 0.207 0.433 0.216 0.305 0.164 0.279 0.280 0.884 Table 4. HTMT Results. Variables ATT BI DIS INS PBC PEU PU SN ATT - BI 0.501 - DIS 0.530 0.533 - INS 0.192 0.442 0.214 - PBC 0.178 0.451 0.245 0.208 - PEU 0.521 0.578 0.540 0.315 0.169 - PU 0.573 0.523 0.511 0.282 0.195 0.545 - SN 0.237 0.491 0.253 0.351 0.196 0.316 0.327 -
P2-TASK-00360,S185,R2R3-CORR-V2-00145,P1-PRIMARY-00019,P0_expert_review_numeric_or_masem,direct_r_effect_size_extraction,primary_retained_source_risk,retain_human_reference_source_pointer_risk,ATT-BI,0.453000,source_sheet_row=146,0.453,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S185.pdf,16,pdf_text_value_and_pair_terms_found,source_text_candidate_supports_pointer_value_requires_final_human_alignment_check,7,0.453,ATT,behavioral intention|BI,correlation,"he eigenvalues greater than 1, explaining 78.038% of the independent variables explained 41.9% of the variance in total variance. The first factor accounted for 34.026%, behavioral intention (R2 = .419). Table 5 demonstrates Table 3. The Fornell-Larcker Test Results. Variables ATT BI DIS INS PBC PEU PU SN ATT 0.831 BI 0.453 0.914 DIS 0.460 0.465 0.869 INS 0.173 0.398 0.189 0.904 PBC 0.162 0.419 0.218 0.194 0.903 PEU 0.473 0.524 0.473 0.288 0.156 0.854 PU 0.504 0.459 0.435 0.249 0.173 0.482 0.880 SN 0.207 0.433 0.216 0.305 0.164 0.279 0.280 0.884 Table 4. HTMT Results. Variables ATT BI DIS INS PBC PEU PU SN ATT - BI 0.501 - DIS 0.530 0.533 - INS 0.192 0.442 0.214 - PBC 0.178 0.451 0.245 0.208 - PEU 0.521 0.578 0.540 0.315 0.169 - PU 0.573 0.523 0.511 0.282 0.195 0.545 - SN 0.237 0.491 0.253 0.351 0.196 0.316 0.327 -"
P2-TASK-00361,S185,R2R3-CORR-V2-00146,P1-PRIMARY-00020,P0_expert_review_numeric_or_masem,direct_r_effect_size_extraction,primary_retained_source_risk,retain_human_reference_source_pointer_risk,ATT-EE,0.473000,source_sheet_row=147,0.473,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S185.pdf,16,pdf_text_value_found_pair_terms_not_on_best_page,source_text_value_found_requires_manual_pair_alignment,7,0.473,ATT,,correlation,"e variance in total variance. The first factor accounted for 34.026%, behavioral intention (R2 = .419). Table 5 demonstrates Table 3. The Fornell-Larcker Test Results. Variables ATT BI DIS INS PBC PEU PU SN ATT 0.831 BI 0.453 0.914 DIS 0.460 0.465 0.869 INS 0.173 0.398 0.189 0.904 PBC 0.162 0.419 0.218 0.194 0.903 PEU 0.473 0.524 0.473 0.288 0.156 0.854 PU 0.504 0.459 0.435 0.249 0.173 0.482 0.880 SN 0.207 0.433 0.216 0.305 0.164 0.279 0.280 0.884 Table 4. HTMT Results. Variables ATT BI DIS INS PBC PEU PU SN ATT - BI 0.501 - DIS 0.530 0.533 - INS 0.192 0.442 0.214 - PBC 0.178 0.451 0.245 0.208 - PEU 0.521 0.578 0.540 0.315 0.169 - PU 0.573 0.523 0.511 0.282 0.195 0.545 - SN 0.237 0.491 0.253 0.351 0.196 0.316 0.327 -"
P2-TASK-00363,S185,R2R3-CORR-V2-00148,P1-PRIMARY-00021,P0_expert_review_numeric_or_masem,direct_r_effect_size_extraction,primary_retained_source_risk,retain_human_reference_source_pointer_risk,ATT-PE,0.504000,source_sheet_row=149,0.504,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S185.pdf,16,pdf_text_value_and_pair_terms_found,source_text_candidate_supports_pointer_value_requires_final_human_alignment_check,7,0.504,ATT,PU,correlation," factor accounted for 34.026%, behavioral intention (R2 = .419). Table 5 demonstrates Table 3. The Fornell-Larcker Test Results. Variables ATT BI DIS INS PBC PEU PU SN ATT 0.831 BI 0.453 0.914 DIS 0.460 0.465 0.869 INS 0.173 0.398 0.189 0.904 PBC 0.162 0.419 0.218 0.194 0.903 PEU 0.473 0.524 0.473 0.288 0.156 0.854 PU 0.504 0.459 0.435 0.249 0.173 0.482 0.880 SN 0.207 0.433 0.216 0.305 0.164 0.279 0.280 0.884 Table 4. HTMT Results. Variables ATT BI DIS INS PBC PEU PU SN ATT - BI 0.501 - DIS 0.530 0.533 - INS 0.192 0.442 0.214 - PBC 0.178 0.451 0.245 0.208 - PEU 0.521 0.578 0.540 0.315 0.169 - PU 0.573 0.523 0.511 0.282 0.195 0.545 - SN 0.237 0.491 0.253 0.351 0.196 0.316 0.327 -"
P2-TASK-00365,S185,R2R3-CORR-V2-00150,P1-PRIMARY-00022,P0_expert_review_numeric_or_masem,direct_r_effect_size_extraction,primary_retained_source_risk,retain_human_reference_source_pointer_risk,ATT-SI,0.207000,source_sheet_row=151,0.207,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S185.pdf,16,pdf_text_value_and_pair_terms_found,source_text_candidate_supports_pointer_value_requires_final_human_alignment_check,7,0.207,ATT,SN,correlation,ention (R2 = .419). Table 5 demonstrates Table 3. The Fornell-Larcker Test Results. Variables ATT BI DIS INS PBC PEU PU SN ATT 0.831 BI 0.453 0.914 DIS 0.460 0.465 0.869 INS 0.173 0.398 0.189 0.904 PBC 0.162 0.419 0.218 0.194 0.903 PEU 0.473 0.524 0.473 0.288 0.156 0.854 PU 0.504 0.459 0.435 0.249 0.173 0.482 0.880 SN 0.207 0.433 0.216 0.305 0.164 0.279 0.280 0.884 Table 4. HTMT Results. Variables ATT BI DIS INS PBC PEU PU SN ATT - BI 0.501 - DIS 0.530 0.533 - INS 0.192 0.442 0.214 - PBC 0.178 0.451 0.245 0.208 - PEU 0.521 0.578 0.540 0.315 0.169 - PU 0.573 0.523 0.511 0.282 0.195 0.545 - SN 0.237 0.491 0.253 0.351 0.196 0.316 0.327 -
P2-TASK-00378,S185,R2R3-CORR-V2-00163,P1-PRIMARY-00023,P0_expert_review_numeric_or_masem,direct_r_effect_size_extraction,primary_retained_source_risk,retain_human_reference_source_pointer_risk,BI-EE,0.524000,source_sheet_row=164,0.524,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S185.pdf,16,pdf_text_value_found_pair_terms_not_on_best_page,source_text_value_found_requires_manual_pair_alignment,7,0.524,behavioral intention|BI,,correlation,"ance in total variance. The first factor accounted for 34.026%, behavioral intention (R2 = .419). Table 5 demonstrates Table 3. The Fornell-Larcker Test Results. Variables ATT BI DIS INS PBC PEU PU SN ATT 0.831 BI 0.453 0.914 DIS 0.460 0.465 0.869 INS 0.173 0.398 0.189 0.904 PBC 0.162 0.419 0.218 0.194 0.903 PEU 0.473 0.524 0.473 0.288 0.156 0.854 PU 0.504 0.459 0.435 0.249 0.173 0.482 0.880 SN 0.207 0.433 0.216 0.305 0.164 0.279 0.280 0.884 Table 4. HTMT Results. Variables ATT BI DIS INS PBC PEU PU SN ATT - BI 0.501 - DIS 0.530 0.533 - INS 0.192 0.442 0.214 - PBC 0.178 0.451 0.245 0.208 - PEU 0.521 0.578 0.540 0.315 0.169 - PU 0.573 0.523 0.511 0.282 0.195 0.545 - SN 0.237 0.491 0.253 0.351 0.196 0.316 0.327 -"
P2-TASK-00380,S185,R2R3-CORR-V2-00165,P1-PRIMARY-00024,P0_expert_review_numeric_or_masem,direct_r_effect_size_extraction,primary_retained_source_risk,retain_human_reference_source_pointer_risk,BI-PE,0.459000,source_sheet_row=166,0.459,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S185.pdf,16,pdf_text_value_and_pair_terms_found,source_text_candidate_supports_pointer_value_requires_final_human_alignment_check,7,0.459,behavioral intention|BI,PU,correlation,"r accounted for 34.026%, behavioral intention (R2 = .419). Table 5 demonstrates Table 3. The Fornell-Larcker Test Results. Variables ATT BI DIS INS PBC PEU PU SN ATT 0.831 BI 0.453 0.914 DIS 0.460 0.465 0.869 INS 0.173 0.398 0.189 0.904 PBC 0.162 0.419 0.218 0.194 0.903 PEU 0.473 0.524 0.473 0.288 0.156 0.854 PU 0.504 0.459 0.435 0.249 0.173 0.482 0.880 SN 0.207 0.433 0.216 0.305 0.164 0.279 0.280 0.884 Table 4. HTMT Results. Variables ATT BI DIS INS PBC PEU PU SN ATT - BI 0.501 - DIS 0.530 0.533 - INS 0.192 0.442 0.214 - PBC 0.178 0.451 0.245 0.208 - PEU 0.521 0.578 0.540 0.315 0.169 - PU 0.573 0.523 0.511 0.282 0.195 0.545 - SN 0.237 0.491 0.253 0.351 0.196 0.316 0.327 -"
P2-TASK-00382,S185,R2R3-CORR-V2-00167,P1-PRIMARY-00025,P0_expert_review_numeric_or_masem,direct_r_effect_size_extraction,primary_retained_source_risk,retain_human_reference_source_pointer_risk,BI-SI,0.433000,source_sheet_row=168,0.433,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S185.pdf,16,pdf_text_value_and_pair_terms_found,source_text_candidate_supports_pointer_value_requires_final_human_alignment_check,7,0.433,behavioral intention|BI,SN,correlation, (R2 = .419). Table 5 demonstrates Table 3. The Fornell-Larcker Test Results. Variables ATT BI DIS INS PBC PEU PU SN ATT 0.831 BI 0.453 0.914 DIS 0.460 0.465 0.869 INS 0.173 0.398 0.189 0.904 PBC 0.162 0.419 0.218 0.194 0.903 PEU 0.473 0.524 0.473 0.288 0.156 0.854 PU 0.504 0.459 0.435 0.249 0.173 0.482 0.880 SN 0.207 0.433 0.216 0.305 0.164 0.279 0.280 0.884 Table 4. HTMT Results. Variables ATT BI DIS INS PBC PEU PU SN ATT - BI 0.501 - DIS 0.530 0.533 - INS 0.192 0.442 0.214 - PBC 0.178 0.451 0.245 0.208 - PEU 0.521 0.578 0.540 0.315 0.169 - PU 0.573 0.523 0.511 0.282 0.195 0.545 - SN 0.237 0.491 0.253 0.351 0.196 0.316 0.327 -
