file,bytes,sha256
/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/jornal_AI-adoption_meta/data/04_extraction/03_source_document_adjudication/phase2/source_adjudication_decisions_20260605.csv,4247,03b6506dbbef8631665d1d7ed8c9c2d7876c50dfda1e5c8cdfc8bb9c4a80d535
/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/jornal_AI-adoption_meta/data/04_extraction/04_reference_standard_freeze/source_adjudication_decisions_20260605.csv,4247,03b6506dbbef8631665d1d7ed8c9c2d7876c50dfda1e5c8cdfc8bb9c4a80d535
/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/Paper2_LLM_Extraction_Working_20260605/09_reference_freeze/source_adjudication_decisions_20260605.csv,4247,03b6506dbbef8631665d1d7ed8c9c2d7876c50dfda1e5c8cdfc8bb9c4a80d535
/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/jornal_AI-adoption_meta/data/04_extraction/04_reference_standard_freeze/workbook_mutation_manifest_20260605.csv,17629,f6b02bf170fd7703eb82f8cd9d8ffc6f7e03b19df98b675fd13c8e3e6a6097aa
/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/Paper2_LLM_Extraction_Working_20260605/09_reference_freeze/workbook_mutation_manifest_20260605.csv,17629,f6b02bf170fd7703eb82f8cd9d8ffc6f7e03b19df98b675fd13c8e3e6a6097aa
/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/Paper1_MASEM_Working_20260605/09_model_ready_tiered_freeze/paper1_direct_r_primary_tiered_freeze_decisions_20260605.csv,758114,cace365668c743c1b701cb0e71c7fad69c62116409123adf6200f104ffb899f1
/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/Paper1_MASEM_Working_20260605/09_model_ready_tiered_freeze/paper1_direct_r_primary_model_ready_tiered_freeze_20260605.csv,741379,f23a46147280c8b9ef64356abb7be45e4fa802ab75f3a59786bb7e28c3ee3ba6
/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/Paper2_LLM_Extraction_Working_20260605/09_reference_freeze/paper2_llm_task_units_labeled_tiered_freeze_20260605.csv,13563645,97fb47c24a51347841b859e77e46d53bf2e28be0c237df680b315426567c86bb
/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/jornal_AI-adoption_meta/data/04_extraction/04_reference_standard_freeze/paper2_reference_standard_freeze_note.md,2626,8a13ee42d5ac93593185102fb45a3a81363aded014650a54d030333702c8470e
/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/Paper2_LLM_Extraction_Working_20260605/09_reference_freeze/paper2_reference_standard_freeze_note.md,2626,8a13ee42d5ac93593185102fb45a3a81363aded014650a54d030333702c8470e
/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/jornal_AI-adoption_meta/data/04_extraction/01_raw_human_coder_data_freeze/phase2/freeze_candidates/R1/AI_Adoption_MASEM_Coding_v3_R1_Phase0_1_2_freeze_candidate_20260525.xlsx,321558,b6cd2a8a7a3e27acb50b1e7a726fca5a0ac960aaa4e6caa0b888e0e3a5d4eeb9
/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/Git/jornal_AI-adoption_meta/data/04_extraction/01_raw_human_coder_data_freeze/phase2/freeze_candidates/R1/AI_Adoption_MASEM_Coding_v3_R1_Phase0_1_2_freeze_candidate_20260525.xlsx.bak_20260605_tiered_freeze,308728,d371315a77b8a6171dbc38e8ce71995a6bb72d0b670d0f2d64624cebae2efefa
/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/Coding_Latest_R1_R4_20260605/AI_Adoption_MASEM_Coding_v3_R1_Phase0_1_2_20260425.xlsx,335647,4b1235bd4ec03105bc0038d689f6e5c9c99c99440002e50a1f74461b5e0bbe79
/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/Coding_Latest_R1_R4_20260605/AI_Adoption_MASEM_Coding_v3_R1_Phase0_1_2_20260425.xlsx.bak_20260605_tiered_freeze,335448,bf43fe2b3f36778fc946f986e8de3b7526bd26d4bd878f0535e3b115900512fc
