study_id,phase_block,pair,title,n_one_coder_only,n_numeric_or_source_diff,n_metadata_diff,n_coder_correlation_rows,triage_bucket,recommended_batch,evidence_basis,review_note
S057,phase1,Pair B,Proposing a conceptual model for the adoption of artificial intelligence by teac,28,0,5,28,high_burden_correlation_adjudication,batch_1_high_burden,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; batch 1 source audit completed in full_corpus_residual_batch1_source_audit_20260608.csv
S030,phase1,Pair A,The psychology of AI adoption in education: University students' intentions to u,12,15,9,42,high_burden_correlation_adjudication,batch_1_high_burden,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences; batch 1 source audit completed in full_corpus_residual_batch1_source_audit_20260608.csv
S046,phase1,Pair A,"Artificial intelligence, social influence, and AI anxiety: analyzing the intenti",10,13,7,36,high_burden_correlation_adjudication,batch_1_high_burden,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences; batch 1 source audit completed in full_corpus_residual_batch1_source_audit_20260608.csv
S048,phase1,Pair B,Understanding students' adoption of the ChatGPT chatbot in higher education: the,21,0,3,21,high_burden_correlation_adjudication,batch_1_high_burden,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; batch 1 source audit completed in full_corpus_residual_batch1_source_audit_20260608.csv
S188,phase2,Pair C,New Challenges of Learning Accounting With Artificial Intelligence: The Role of,15,6,9,27,high_burden_correlation_adjudication,batch_1_high_burden,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences; batch 1 source audit completed in full_corpus_residual_batch1_source_audit_20260608.csv
S190,phase1,Pair A,Factors Affecting Students’ Willingness to Use Artificial Intelligence in Univer,7,14,7,35,high_burden_correlation_adjudication,batch_1_high_burden,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences; batch 1 source audit completed in full_corpus_residual_batch1_source_audit_20260608.csv
S178,phase1,Pair A,College Teachers' Behavioral Intention to Adopt Artificial Intelligence-Assisted,15,5,8,25,high_burden_correlation_adjudication,batch_1_high_burden,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences; batch 1 source audit completed in full_corpus_residual_batch1_source_audit_20260608.csv
S076,phase1,Pair A,ChatGPT in the classroom: navigating the generative AI wave among international,6,12,8,30,numeric_or_source_difference_heavy,batch_2_numeric_source,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences; batch 2 source audit completed in full_corpus_residual_batch2_source_audit_20260608.csv
S015,phase1,Pair A,Unlocking ChatGPT's potential: a comparative study of student adoption intention,0,15,7,30,numeric_or_source_difference_heavy,batch_2_numeric_source,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences; batch 2 source audit completed; manual follow-up required before row draft; manual blocker resolved by researcher decision 2026-06-08; row draft emitted in full_corpus_manual_blocker_reference_draft_20260608.csv
S053,phase1,Pair A,"The (Un)Knowledgeable, the (Un)Skilled? Undertaking Chat-GPT Users' Benefit-Risk",5,10,9,25,numeric_or_source_difference_heavy,batch_2_numeric_source,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences; batch 2 source audit completed in full_corpus_residual_batch2_source_audit_20260608.csv
S067,phase2,Pair C,Understanding behavioral intentions of UG and PG students in Tier II Indian citi,5,10,11,25,numeric_or_source_difference_heavy,batch_2_numeric_source,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences; batch 2 source audit completed in full_corpus_residual_batch2_source_audit_20260608.csv
S075,phase2,Pair C,Exploring student adoption of ChatGPT: an extended UTAUT2 framework analysis usi,1,14,8,29,numeric_or_source_difference_heavy,batch_2_numeric_source,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences; batch 2 source audit completed in full_corpus_residual_batch2_source_audit_20260608.csv
S146,phase1,Pair B,The Role of Learning Motivation Factors in Deepseek Generative AI Adoption among,5,10,5,25,numeric_or_source_difference_heavy,batch_2_numeric_source,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences; batch 2 source audit completed in full_corpus_residual_batch2_source_audit_20260608.csv
S153,phase2,Pair C,Investigating student acceptance of an academic advising chatbot in higher educa,0,15,7,30,numeric_or_source_difference_heavy,batch_2_numeric_source,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences; batch 2 source audit completed in full_corpus_residual_batch2_source_audit_20260608.csv
S162,phase2,Pair C,Chat-GPT; validating Technology Acceptance Model (TAM) in education sector via u,0,15,7,30,numeric_or_source_difference_heavy,batch_2_numeric_source,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences; batch 2 source audit completed in full_corpus_residual_batch2_source_audit_20260608.csv
S169,phase1,Pair A,Revolutionizing education: Artificial intelligence empowered learning in higher,5,10,7,25,numeric_or_source_difference_heavy,batch_2_numeric_source,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences; batch 2 source audit completed in full_corpus_residual_batch2_source_audit_20260608.csv
S066,phase2,Pair C,The role of perceived trust and technology anxiety in intention to use technolog,2,11,12,24,numeric_or_source_difference_heavy,batch_2_numeric_source,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; one-coder-only correlation values; numeric/source correlation differences; batch 2 source audit completed; manual follow-up required before row draft; manual blocker resolved by researcher decision 2026-06-08; row draft emitted in full_corpus_manual_blocker_reference_draft_20260608.csv
S012,phase1,Pair B,College students' use behavior of generative AI and its influencing factors unde,0,10,2,20,numeric_or_source_difference_heavy,batch_2_numeric_source,data/04_extraction/02_pre_adjudication_disagreement/combined/derived/combined_correlation_review_queue_20260525.csv,metadata differences; numeric/source correlation differences; batch 2 source audit completed in full_corpus_residual_batch2_source_audit_20260608.csv
