study_id,pair,construct_1,construct_2,r_numeric,sample_size_numeric,source_file,source_location_present,flag_present,notes_present,source_packet_exists,value_found_in_source_packet_text,pdf_exists,pdf_text_status,value_found_in_pdf_text,pdf_path_local_only
S222,BI-EE,BI,EE,0.46,50.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S222.pdf
S222,BI-PE,BI,PE,0.58,50.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S222.pdf
S218,ATT-BI,ATT,BI,0.78,242.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S218.pdf
S218,ATT-EE,ATT,EE,0.69,242.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S218.pdf
S218,ATT-PE,ATT,PE,0.7,242.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S218.pdf
S218,BI-EE,BI,EE,0.59,242.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S218.pdf
S218,BI-PE,BI,PE,0.63,242.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,false,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S218.pdf
S218,EE-PE,EE,PE,0.66,242.0,latest_human_R1_CORRELATIONS,true,false,false,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S218.pdf
S185,ANX-ATT,ANX,ATT,0.46,298.0,latest_human_R1_CORRELATIONS,true,false,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S185.pdf
S185,ANX-BI,ANX,BI,0.47,298.0,latest_human_R1_CORRELATIONS,true,false,true,false,false,true,ok,true,/Users/newhosung/Library/CloudStorage/OneDrive-SharedLibraries-ThePennsylvaniaStateUniversity/AI Adoption Meta Analysis - Documents/Meta/AI Adoption/PDFs/S185.pdf
