mediator,mechanism_family,path_label,x,m,y,a_pair,b_pair,c_pair,a_studies,b_studies,c_studies,ab_same_study_overlap,feasibility_status,reporting_role,stage2_parameterization,claim_boundary
ATT,standard_attitude_mediation,PE -> ATT -> BI,PE,ATT,BI,ATT-PE,ATT-BI,BI-PE,27,30,57,25,main_indirect_candidate,main_indirect_effect,a=PE_to_ATT; b=ATT_to_BI; indirect=PE_to_BI_via_ATT,Eligible for primary Stage 2 indirect-effect reporting if the structural model converges.
ATT,standard_attitude_mediation,EE -> ATT -> BI,EE,ATT,BI,ATT-EE,ATT-BI,BI-EE,26,30,54,24,main_indirect_candidate,main_indirect_effect,a=EE_to_ATT; b=ATT_to_BI; indirect=EE_to_BI_via_ATT,Eligible for primary Stage 2 indirect-effect reporting if the structural model converges.
ATT,standard_attitude_mediation,SI -> ATT -> BI,SI,ATT,BI,ATT-SI,ATT-BI,BI-SI,12,30,39,12,main_indirect_candidate,main_indirect_effect,a=SI_to_ATT; b=ATT_to_BI; indirect=SI_to_BI_via_ATT,Eligible for primary Stage 2 indirect-effect reporting if the structural model converges.
ATT,standard_attitude_mediation,FC -> ATT -> BI,FC,ATT,BI,ATT-FC,ATT-BI,BI-FC,10,30,36,9,main_indirect_candidate,main_indirect_effect,a=FC_to_ATT; b=ATT_to_BI; indirect=FC_to_BI_via_ATT,Eligible for primary Stage 2 indirect-effect reporting if the structural model converges.
SE,self_efficacy_mechanism,FC -> SE -> BI,FC,SE,BI,FC-SE,BI-SE,BI-FC,6,9,36,6,sensitivity_indirect_candidate,sensitivity_indirect_effect,a=FC_to_SE; b=SE_to_BI; indirect=FC_to_BI_via_SE,Report only as sensitivity/mechanism evidence; do not overstate as confirmed primary mediation.
SE,self_efficacy_mechanism,EE -> SE -> BI,EE,SE,BI,EE-SE,BI-SE,BI-EE,7,9,54,6,sensitivity_indirect_candidate,sensitivity_indirect_effect,a=EE_to_SE; b=SE_to_BI; indirect=EE_to_BI_via_SE,Report only as sensitivity/mechanism evidence; do not overstate as confirmed primary mediation.
SE,self_efficacy_mechanism,PE -> SE -> BI,PE,SE,BI,PE-SE,BI-SE,BI-PE,15,9,57,7,sensitivity_indirect_candidate,sensitivity_indirect_effect,a=PE_to_SE; b=SE_to_BI; indirect=PE_to_BI_via_SE,Report only as sensitivity/mechanism evidence; do not overstate as confirmed primary mediation.
SE,self_efficacy_mechanism,SI -> SE -> BI,SI,SE,BI,SE-SI,BI-SE,BI-SI,6,9,39,5,sensitivity_indirect_candidate,sensitivity_indirect_effect,a=SI_to_SE; b=SE_to_BI; indirect=SI_to_BI_via_SE,Report only as sensitivity/mechanism evidence; do not overstate as confirmed primary mediation.
SE,self_efficacy_to_attitude,FC -> SE -> ATT,FC,SE,ATT,FC-SE,ATT-SE,ATT-FC,6,5,10,2,theory_only_underpowered,theory_specified_underpowered_no_confirmed_mediation_claim,a=FC_to_SE; b=SE_to_ATT; indirect=FC_to_ATT_via_SE,Mention as theory-specified but underpowered; no confirmed mediation claim.
SE,self_efficacy_to_attitude,EE -> SE -> ATT,EE,SE,ATT,EE-SE,ATT-SE,ATT-EE,7,5,26,3,sensitivity_indirect_candidate,sensitivity_indirect_effect,a=EE_to_SE; b=SE_to_ATT; indirect=EE_to_ATT_via_SE,Report only as sensitivity/mechanism evidence; do not overstate as confirmed primary mediation.
SE,self_efficacy_to_attitude,PE -> SE -> ATT,PE,SE,ATT,PE-SE,ATT-SE,ATT-PE,15,5,27,4,sensitivity_indirect_candidate,sensitivity_indirect_effect,a=PE_to_SE; b=SE_to_ATT; indirect=PE_to_ATT_via_SE,Report only as sensitivity/mechanism evidence; do not overstate as confirmed primary mediation.
TRU,trust_mechanism,PE -> TRU -> BI,PE,TRU,BI,PE-TRU,BI-TRU,BI-PE,12,12,57,10,main_indirect_candidate,main_indirect_effect,a=PE_to_TRU; b=TRU_to_BI; indirect=PE_to_BI_via_TRU,Eligible for primary Stage 2 indirect-effect reporting if the structural model converges.
TRU,trust_mechanism,EE -> TRU -> BI,EE,TRU,BI,EE-TRU,BI-TRU,BI-EE,10,12,54,10,main_indirect_candidate,main_indirect_effect,a=EE_to_TRU; b=TRU_to_BI; indirect=EE_to_BI_via_TRU,Eligible for primary Stage 2 indirect-effect reporting if the structural model converges.
TRU,trust_mechanism,SI -> TRU -> BI,SI,TRU,BI,SI-TRU,BI-TRU,BI-SI,9,12,39,9,sensitivity_indirect_candidate,sensitivity_indirect_effect,a=SI_to_TRU; b=TRU_to_BI; indirect=SI_to_BI_via_TRU,Report only as sensitivity/mechanism evidence; do not overstate as confirmed primary mediation.
TRU,trust_mechanism,FC -> TRU -> BI,FC,TRU,BI,FC-TRU,BI-TRU,BI-FC,4,12,36,4,theory_only_underpowered,theory_specified_underpowered_no_confirmed_mediation_claim,a=FC_to_TRU; b=TRU_to_BI; indirect=FC_to_BI_via_TRU,Mention as theory-specified but underpowered; no confirmed mediation claim.
TRU,trust_mechanism,ATT -> TRU -> BI,ATT,TRU,BI,ATT-TRU,BI-TRU,ATT-BI,2,12,30,2,not_identified_current_input,exclude_from_indirect_effect_claim_current_input,a=ATT_to_TRU; b=TRU_to_BI; indirect=ATT_to_BI_via_TRU,Do not report as indirect effect from current input.
TRU,trust_mechanism,SE -> TRU -> BI,SE,TRU,BI,SE-TRU,BI-TRU,BI-SE,1,12,9,0,not_identified_current_input,exclude_from_indirect_effect_claim_current_input,a=SE_to_TRU; b=TRU_to_BI; indirect=SE_to_BI_via_TRU,Do not report as indirect effect from current input.
ANX,anxiety_mechanism,SE -> ANX -> BI,SE,ANX,BI,ANX-SE,ANX-BI,BI-SE,2,3,9,1,not_identified_current_input,exclude_from_indirect_effect_claim_current_input,a=SE_to_ANX; b=ANX_to_BI; indirect=SE_to_BI_via_ANX,Do not report as indirect effect from current input.
ANX,anxiety_mechanism,FC -> ANX -> BI,FC,ANX,BI,ANX-FC,ANX-BI,BI-FC,2,3,36,1,not_identified_current_input,exclude_from_indirect_effect_claim_current_input,a=FC_to_ANX; b=ANX_to_BI; indirect=FC_to_BI_via_ANX,Do not report as indirect effect from current input.
ANX,anxiety_mechanism,EE -> ANX -> BI,EE,ANX,BI,ANX-EE,ANX-BI,BI-EE,3,3,54,2,theory_only_underpowered,theory_specified_underpowered_no_confirmed_mediation_claim,a=EE_to_ANX; b=ANX_to_BI; indirect=EE_to_BI_via_ANX,Mention as theory-specified but underpowered; no confirmed mediation claim.
ANX,anxiety_mechanism,PE -> ANX -> BI,PE,ANX,BI,ANX-PE,ANX-BI,BI-PE,4,3,57,2,theory_only_underpowered,theory_specified_underpowered_no_confirmed_mediation_claim,a=PE_to_ANX; b=ANX_to_BI; indirect=PE_to_BI_via_ANX,Mention as theory-specified but underpowered; no confirmed mediation claim.
ANX,anxiety_to_attitude,SE -> ANX -> ATT,SE,ANX,ATT,ANX-SE,ANX-ATT,ATT-SE,2,6,5,1,not_identified_current_input,exclude_from_indirect_effect_claim_current_input,a=SE_to_ANX; b=ANX_to_ATT; indirect=SE_to_ATT_via_ANX,Do not report as indirect effect from current input.
ANX,anxiety_to_attitude,FC -> ANX -> ATT,FC,ANX,ATT,ANX-FC,ANX-ATT,ATT-FC,2,6,10,2,not_identified_current_input,exclude_from_indirect_effect_claim_current_input,a=FC_to_ANX; b=ANX_to_ATT; indirect=FC_to_ATT_via_ANX,Do not report as indirect effect from current input.
ANX,anxiety_to_attitude,EE -> ANX -> ATT,EE,ANX,ATT,ANX-EE,ANX-ATT,ATT-EE,3,6,26,3,theory_only_underpowered,theory_specified_underpowered_no_confirmed_mediation_claim,a=EE_to_ANX; b=ANX_to_ATT; indirect=EE_to_ATT_via_ANX,Mention as theory-specified but underpowered; no confirmed mediation claim.
