study_id,phase_block,pair,n,source_pdf_status,source_location_checked,row_draft_status,n_reference_draft_rows,primary_coder_source,evidence_type,mapping_confidence_summary,construct_mapping_decision,excluded_constructs_or_rows,remaining_caveat,next_action,evidence_basis
S004,phase2,Pair D,485,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R2_table3_direct_rows,21,R2,21 source_reported_direct_correlation_or_latent_correlation,21 high,Use R2 complete Table 3 direct row set; R3 duplicates most values but has sparse source-location strings and construct-pair differences.,Non-selected coder row set(s) not drafted: R3,Routine final full-corpus freeze audit; retained rows are source-coder traceable.,Carry batch4 phase2 source-checked row draft into full-corpus freeze audit after all batch4 sub-batches are complete; do not start Step 5.,full_corpus_residual_batch4_phase2_pairD_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S031,phase2,Pair D,353,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R2_table2_direct_rows,6,R2,6 source_reported_direct_correlation_or_latent_correlation,6 high,Use R2 source-located Table 2 direct row set; R3 subset omits several target rows.,Non-selected coder row set(s) not drafted: R3,Routine final full-corpus freeze audit; retained rows are source-coder traceable.,Carry batch4 phase2 source-checked row draft into full-corpus freeze audit after all batch4 sub-batches are complete; do not start Step 5.,full_corpus_residual_batch4_phase2_pairD_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S098,phase2,Pair D,482,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R2_table3_direct_rows,6,R2,6 source_reported_direct_correlation_or_latent_correlation,6 high,Use R2 source-located Table 3 direct row set; R3 subset differs numerically for PE-SE and PE-SI and is not drafted.,Non-selected coder row set(s) not drafted: R3,Routine final full-corpus freeze audit; retained rows are source-coder traceable.,Carry batch4 phase2 source-checked row draft into full-corpus freeze audit after all batch4 sub-batches are complete; do not start Step 5.,full_corpus_residual_batch4_phase2_pairD_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S131,phase2,Pair D,277,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R2_beta_converted_table8_rows,4,R2,4 standardized_path_beta_converted,4 medium,Use R2 source-located Table 8 beta-converted rows with outcome mapped to UB; R3 maps the same beta row pattern to BI and is not drafted.,Non-selected coder row set(s) not drafted: R3,beta-converted rows with BI/UB outcome-orientation caveat; retain in final freeze audit,Carry batch4 phase2 source-checked row draft into full-corpus freeze audit after all batch4 sub-batches are complete; do not start Step 5.,full_corpus_residual_batch4_phase2_pairD_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S143,phase2,Pair D,390,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R2_table3_direct_rows,10,R2,10 source_reported_direct_correlation_or_latent_correlation,10 high,Use R2 source-located Table 3 direct row set; R3 duplicates values with blank source-location strings and unicode minus formatting.,Non-selected coder row set(s) not drafted: R3,Routine final full-corpus freeze audit; retained rows are source-coder traceable.,Carry batch4 phase2 source-checked row draft into full-corpus freeze audit after all batch4 sub-batches are complete; do not start Step 5.,full_corpus_residual_batch4_phase2_pairD_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S161,phase2,Pair D,315,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R2_table5_direct_rows,10,R2,10 source_reported_direct_correlation_or_latent_correlation,10 high,Use R2 source-located Table 5 direct row set; R3 subset includes one nonnumeric row and mismatched source table labels.,Non-selected coder row set(s) not drafted: R3,R3 nonnumeric/misaligned row remains excluded from this draft,Carry batch4 phase2 source-checked row draft into full-corpus freeze audit after all batch4 sub-batches are complete; do not start Step 5.,full_corpus_residual_batch4_phase2_pairD_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S171,phase2,Pair D,351,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R2_table3_direct_rows,15,R2,15 source_reported_direct_correlation_or_latent_correlation,15 high,Use R2 complete Table 3 direct row set; R3 subset has sparse source-location strings and omits ATT-UB.,Non-selected coder row set(s) not drafted: R3,Routine final full-corpus freeze audit; retained rows are source-coder traceable.,Carry batch4 phase2 source-checked row draft into full-corpus freeze audit after all batch4 sub-batches are complete; do not start Step 5.,full_corpus_residual_batch4_phase2_pairD_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S173,phase2,Pair D,306,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R2_table2_direct_rows,21,R2,21 source_reported_direct_correlation_or_latent_correlation,21 high,Use R2 complete Table 2 direct row set; R3 duplicates most values but has sparse source-location strings.,Non-selected coder row set(s) not drafted: R3,Routine final full-corpus freeze audit; retained rows are source-coder traceable.,Carry batch4 phase2 source-checked row draft into full-corpus freeze audit after all batch4 sub-batches are complete; do not start Step 5.,full_corpus_residual_batch4_phase2_pairD_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S181,phase2,Pair D,347,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R2_table3_direct_rows,6,R2,6 source_reported_direct_correlation_or_latent_correlation,6 high,Use R2 Table 3 direct row set; R3 marks the same values as original_beta and is not drafted.,Non-selected coder row set(s) not drafted: R3,Routine final full-corpus freeze audit; retained rows are source-coder traceable.,Carry batch4 phase2 source-checked row draft into full-corpus freeze audit after all batch4 sub-batches are complete; do not start Step 5.,full_corpus_residual_batch4_phase2_pairD_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S183,phase2,Pair D,430,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R2_table4_direct_rows,15,R2,15 source_reported_direct_correlation_or_latent_correlation,15 high,Use R2 complete Table 4 direct correlation row set; R3 mixed Table 3 direct and Table 6 beta-converted subset is not drafted.,Non-selected coder row set(s) not drafted: R3,Routine final full-corpus freeze audit; retained rows are source-coder traceable.,Carry batch4 phase2 source-checked row draft into full-corpus freeze audit after all batch4 sub-batches are complete; do not start Step 5.,full_corpus_residual_batch4_phase2_pairD_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
