study_id,observed_construct_count,observed_constructs,missing_constructs,observed_pair_count,missing_pair_count,has_anx_tru,source_review_status,densification_decision,source_basis,next_action,missing_pairs
S048,8,ATT;BI;EE;FC;PE;SI;TRU;UB,ANX;SE,28,17,False,source_checked_20260614,not_full10_completable_from_source,"PDF measurement/correlation tables support PE, EE, SI, FC, TRU, ATT, BI, UB plus non-target constructs; anxiety and self-efficacy are not measured target constructs.",Do not spend more full10 rescue time on S048 unless researcher opens a new construct-mapping rule for ANX or SE.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-SE;BI-SE;EE-SE;FC-SE;PE-SE;SE-SI;SE-TRU;SE-UB
S176,8,ATT;BI;EE;FC;PE;SI;TRU;UB,ANX;SE,28,17,False,source_checked_20260614,not_full10_completable_from_source,"PDF instrument/results support PE, EE, SI, FC, TRU, BI, UB and adjacent non-target constructs such as HM/HA/PI; anxiety and self-efficacy are not measured target constructs.",Do not spend more full10 rescue time on S176 unless researcher opens a new construct-mapping rule for ANX or SE.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-SE;BI-SE;EE-SE;FC-SE;PE-SE;SE-SI;SE-TRU;SE-UB
S121,8,BI;EE;FC;PE;SE;SI;TRU;UB,ANX;ATT,21,24,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;EE-SE;FC-SE;FC-TRU;SE-SI;SE-TRU;SE-UB
S004,7,BI;EE;FC;PE;SI;TRU;UB,ANX;ATT;SE,21,24,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;EE-SE;FC-SE;PE-SE;SE-SI;SE-TRU;SE-UB
S016,7,ANX;ATT;BI;EE;FC;PE;SE,SI;TRU;UB,21,24,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-SI;ANX-TRU;ANX-UB;ATT-SI;ATT-TRU;ATT-UB;BI-SI;BI-TRU;BI-UB;EE-SI;EE-TRU;EE-UB;FC-SI;FC-TRU;FC-UB;PE-SI;PE-TRU;PE-UB;SE-SI;SE-TRU;SE-UB;SI-TRU;SI-UB;TRU-UB
S025,7,BI;EE;FC;PE;SE;SI;UB,ANX;ATT;TRU,21,24,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-TRU;EE-TRU;FC-TRU;PE-TRU;SE-TRU;SI-TRU;TRU-UB
S055,7,ATT;BI;EE;FC;PE;SI;UB,ANX;SE;TRU,21,24,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-SE;ATT-TRU;BI-SE;BI-TRU;EE-SE;EE-TRU;FC-SE;FC-TRU;PE-SE;PE-TRU;SE-SI;SE-TRU;SE-UB;SI-TRU;TRU-UB
S121-1,7,BI;EE;FC;PE;SI;TRU;UB,ANX;ATT;SE,21,24,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;EE-SE;FC-SE;PE-SE;SE-SI;SE-TRU;SE-UB
S121-2,7,BI;EE;FC;PE;SI;TRU;UB,ANX;ATT;SE,21,24,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-SE;EE-SE;FC-SE;PE-SE;SE-SI;SE-TRU;SE-UB
S157,7,BI;EE;FC;PE;SE;SI;UB,ANX;ATT;TRU,21,24,False,not_source_checked_in_this_queue,source_review_needed_before_full10_claim,Current diagnostic input lacks at least one full10 target construct; source PDF must be checked before considering densification.,Review source only if this study is prioritized after S048/S176; classify missing constructs before extracting pair cells.,ANX-ATT;ANX-BI;ANX-EE;ANX-FC;ANX-PE;ANX-SE;ANX-SI;ANX-TRU;ANX-UB;ATT-BI;ATT-EE;ATT-FC;ATT-PE;ATT-SE;ATT-SI;ATT-TRU;ATT-UB;BI-TRU;EE-TRU;FC-TRU;PE-TRU;SE-TRU;SI-TRU;TRU-UB
