task_unit_id,study_id,construct_pair,source_direction,frozen_value,frozen_source_label,probe_raw_beta,probe_converted_effect,peterson_brown_implied_raw_from_frozen,raw_beta_matches_frozen,raw_beta_matches_pb_implied,converted_effect_matches_frozen,contract_probe_status,source_reference_evidence_class,post_freeze_qa_class,recommended_step5_handling,frozen_reference_change_made,qa_note
FC-S5-TASK-00093,S009,ATT-BI,ATT/HM->BI,0.263,beta_converted_peterson_brown,0.263,0.313,0.213,1,0,0,source_directed_raw_recovered_reference_contract_caveat,source_raw_beta_confirmed,post_freeze_reference_contract_correction_layer_required,exclude_from_full_accuracy_gate_until_reference_contract_layer_authorized,false,S009 source prose reports HM/hedonic motivation -> BI raw beta; ATT/HM mapping retained as construct caveat.
FC-S5-TASK-00094,S009,BI-EE,EE->BI,-0.020,beta_converted_peterson_brown,-0.021,-0.071,0.030,1,0,0,source_directed_raw_recovered_reference_contract_caveat,source_raw_beta_confirmed,post_freeze_reference_contract_correction_layer_required,exclude_from_full_accuracy_gate_until_reference_contract_layer_authorized,false,S009 source prose reports EE -> BI raw beta; frozen value matches raw/rounding not Peterson-Brown converted value.
FC-S5-TASK-00095,S009,BI-FC,FC->BI,0.085,beta_converted_peterson_brown,0.090,0.140,0.035,1,0,0,source_directed_raw_recovered_reference_contract_caveat,source_raw_beta_confirmed_with_minor_source_prose_conflict,post_freeze_reference_contract_correction_layer_required,exclude_from_full_accuracy_gate_until_reference_contract_layer_authorized,false,"S009 structural-results prose gives FC -> BI raw beta around .090, while later discussion/frozen value uses .085; both are raw-beta scale, not converted-effect scale."
FC-S5-TASK-00096,S009,BI-PE,PE->BI,0.079,beta_converted_peterson_brown,0.079,0.129,0.029,1,0,0,source_directed_raw_recovered_reference_contract_caveat,source_raw_beta_confirmed,post_freeze_reference_contract_correction_layer_required,exclude_from_full_accuracy_gate_until_reference_contract_layer_authorized,false,S009 source prose reports PE -> BI raw beta; frozen value matches raw not Peterson-Brown converted value.
FC-S5-TASK-00097,S009,BI-SI,SI->BI,0.081,beta_converted_peterson_brown,0.081,0.131,0.031,1,0,0,source_directed_raw_recovered_reference_contract_caveat,source_raw_beta_confirmed,post_freeze_reference_contract_correction_layer_required,exclude_from_full_accuracy_gate_until_reference_contract_layer_authorized,false,S009 source prose reports SI -> BI raw beta; frozen value matches raw not Peterson-Brown converted value.
FC-S5-TASK-00098,S009,BI-UB,BI->UB,0.61,beta_converted_peterson_brown,0.61,0.66,0.560,1,0,0,raw_recovered_reference_contract_caveat,source_raw_beta_confirmed,post_freeze_reference_contract_correction_layer_required,exclude_from_full_accuracy_gate_until_reference_contract_layer_authorized,false,S009 source prose reports BI -> UB raw beta; frozen value matches raw not Peterson-Brown converted value.
FC-S5-TASK-00099,S009,EE-UB,EE->UB,0.198,beta_converted_peterson_brown,0.198,0.248,0.148,1,0,0,raw_recovered_reference_contract_caveat,source_raw_beta_confirmed,post_freeze_reference_contract_correction_layer_required,exclude_from_full_accuracy_gate_until_reference_contract_layer_authorized,false,S009 source prose reports EE -> UB raw beta; frozen value matches raw not Peterson-Brown converted value.
FC-S5-TASK-00100,S009,FC-UB,FC->UB,-0.034,beta_converted_peterson_brown,-0.045,-0.095,0.016,0,0,0,source_value_reference_qa_unresolved,source_raw_beta_confirmed_but_frozen_value_mismatch,post_freeze_source_value_mismatch_review_required,manual_source_reference_adjudication_required_before_accuracy_gate,false,"S009 source prose reports FC -> UB raw beta, but frozen value matches neither raw beta nor Peterson-Brown converted effect."
FC-S5-TASK-00101,S009,SI-UB,SI->UB,0.307,beta_converted_peterson_brown,0.307,0.357,0.257,1,0,0,raw_recovered_reference_contract_caveat,source_raw_beta_confirmed,post_freeze_reference_contract_correction_layer_required,exclude_from_full_accuracy_gate_until_reference_contract_layer_authorized,false,S009 source prose reports SI -> UB raw beta; frozen value matches raw not Peterson-Brown converted value.
FC-S5-TASK-00102,S010,BI-EE,EE->BI,0.086,beta_converted_peterson_brown,,,0.036,,,,scored_abstention,no_explicit_structural_path_in_packet_ipma_only_candidate,source_packet_or_reference_row_review_required,exclude_from_full_accuracy_gate_until_explicit_path_or_reference_correction,false,S010 Nordic EE -> BI structural path is not explicit in the supplied path-analysis prose; available matching value is IPMA/importance-style evidence and must not be used as path beta.
