human_decision,human_decision_date,human_reviewer,study_id,pair,candidate_value_or_human_value,final_value_if_confirmed,evidence_type,source_location_confirmed,decision_rationale,promote_to_supplemental_input
,,,S222,BI-EE,0.46,,,"Table 6, p.2028",,no
,,,S222,BI-PE,0.58,,,"Table 6, p.2028",,no
,,,S218,ATT-BI,0.78,,,"Table 1, p.5",,no
,,,S218,ATT-EE,0.69,,,"Table 1, p.5",,no
,,,S218,ATT-PE,0.7,,,"Table 1, p.5",,no
,,,S218,BI-EE,0.59,,,"Table 1, p.5",,no
,,,S218,BI-PE,0.63,,,"Table 1, p.5",,no
,,,S218,EE-PE,0.66,,,"Table 1, p.5",,no
,,,S185,ANX-ATT,0.46,,,"Table 3, p.7",,no
,,,S185,ANX-BI,0.47,,,"Table 3, p.7",,no
,,,S185,ANX-EE,0.47,,,"Table 3, p.7",,no
,,,S185,ANX-PE,0.44,,,"Table 3, p.7",,no
,,,S185,ATT-BI,0.45,,,"Table 3, p.7",,no
,,,S185,ATT-EE,0.47,,,"Table 3, p.7",,no
,,,S185,ATT-PE,0.5,,,"Table 3, p.7",,no
,,,S185,BI-EE,0.52,,,"Table 3, p.7",,no
,,,S185,BI-PE,0.46,,,"Table 3, p.7",,no
,,,S185,EE-PE,0.48,,,"Table 3, p.7",,no
,,,S194,BI-EE,0.44,,,"Table 3, p.825",,no
,,,S194,BI-FC,0.49,,,"Table 3, p.825",,no
,,,S194,BI-PE,-0.08,,,"Table 3, p.825",,no
,,,S194,BI-SI,0.62,,,"Table 3, p.825",,no
,,,S194,BI-UB,0.64,,,"Table 3, p.825",,no
,,,S194,EE-FC,0.55,,,"Table 3, p.825",,no
,,,S194,EE-PE,-0.1,,,"Table 3, p.825",,no
,,,S194,EE-SI,0.52,,,"Table 3, p.825",,no
,,,S194,EE-UB,0.49,,,"Table 3, p.825",,no
,,,S194,FC-PE,-0.12,,,"Table 3, p.825",,no
,,,S194,FC-SI,0.59,,,"Table 3, p.825",,no
,,,S194,FC-UB,0.52,,,"Table 3, p.825",,no
,,,S194,PE-SI,-0.12,,,"Table 3, p.825",,no
,,,S194,PE-UB,-0.05,,,"Table 3, p.825",,no
,,,S194,SI-UB,0.56,,,"Table 3, p.825",,no
,,,S208,BI-EE,0.43,,,"Table 2, p.829",,no
,,,S208,BI-PE,0.24,,,"Table 2, p.829",,no
,,,S208,BI-SI,0.46,,,"Table 2, p.829",,no
,,,S208,BI-TRU,0.52,,,"Table 2, p.829",,no
,,,S208,EE-PE,0.4,,,"Table 2, p.829",,no
,,,S208,EE-SI,0.36,,,"Table 2, p.829",,no
,,,S208,EE-TRU,0.4,,,"Table 2, p.829",,no
,,,S208,PE-SI,0.3,,,"Table 2, p.829",,no
,,,S208,PE-TRU,0.3,,,"Table 2, p.829",,no
,,,S208,SI-TRU,0.24,,,"Table 2, p.829",,no
,,,S028,ATT-BI,0.88,,,"Table 4, p.7",,no
,,,S028,ATT-EE,0.63,,,"Table 4, p.7",,no
,,,S028,ATT-PE,0.81,,,"Table 4, p.7",,no
,,,S028,ATT-SE,0.72,,,"Table 4, p.7",,no
,,,S028,BI-EE,0.63,,,"Table 4, p.7",,no
,,,S028,BI-PE,0.82,,,"Table 4, p.7",,no
,,,S028,BI-SE,0.69,,,"Table 4, p.7",,no
,,,S028,EE-PE,0.67,,,"Table 4, p.7",,no
,,,S028,EE-SE,0.79,,,"Table 4, p.7",,no
,,,S028,PE-SE,0.69,,,"Table 4, p.7",,no
,,,S059,ATT-BI,0.9,,,"Table 4, p.9",,no
,,,S059,ATT-EE,0.26,,,"Table 4, p.9",,no
,,,S059,ATT-PE,0.29,,,"Table 4, p.9",,no
,,,S059,EE-PE,0.18,,,"Table 4, p.9",,no
,,,S145,BI-EE,0.2,,,"Table 3, p.24",,no
,,,S145,BI-UB,0.34,,,"Table 3, p.24",,no
,,,S145,EE-UB,0.2,,,"Table 3, p.24",,no
,,,S110,BI-EE,0.62,,,"Table 4, p.627",,no
,,,S110,BI-PE,0.68,,,"Table 4, p.627",,no
,,,S110,BI-SI,0.52,,,"Table 4, p.627",,no
,,,S015,BI-PE,0.816,,,"Table 1 (Fornell-Larcker Poland), p.8",,no
,,,S015,BI-SI,0.59,,,"Table 1 (Fornell-Larcker Poland), p.8",,no
,,,S046,ANX-BI,-0.377,,,"Table 5 (Fornell-Larcker), p.12",,no
,,,S046,ANX-EE,-0.423,,,"Table 5 (Fornell-Larcker), p.12",,no
,,,S046,ANX-PE,-0.462,,,"Table 5 (Fornell-Larcker), p.12",,no
,,,S046,ANX-SE,-0.069,,,"Table 5 (Fornell-Larcker), p.12",,no
,,,S046,ANX-SI,-0.032,,,"Table 5 (Fornell-Larcker), p.12",,no
,,,S053,EE-UB,-0.032,,,"Table 5 (Fornell-Larcker), p.5676",,no
,,,S164,ATT-SI,-0.031,,,"Table 4 (Fornell-Larcker), p.8",,no
,,,S164,BI-SI,-0.03,,,"Table 4 (Fornell-Larcker), p.8",,no
,,,S164,EE-SI,-0.024,,,"Table 4 (Fornell-Larcker), p.8",,no
,,,S164,FC-SI,-0.011,,,"Table 4 (Fornell-Larcker), p.8",,no
,,,S164,PE-SI,-0.021,,,"Table 4 (Fornell-Larcker), p.8",,no
,,,S164,PE-UB,-0.031,,,"Table 4 (Fornell-Larcker), p.8",,no
,,,S164,SI-UB,-0.005,,,"Table 4 (Fornell-Larcker), p.8",,no
,,,S168,BI-EE,0.14,,,Table 4,,no
,,,S168,BI-FC,-0.05,,,Table 4,,no
,,,S168,BI-UB,0.47,,,Table 4,,no
,,,S011,ATT-PE,0.28,,,Table 6,,no
,,,S044,ATT-EE,0.64,,,Table 2,,no
,,,S044,ATT-SI,0.64,,,Table 2,,no
,,,S044,EE-PE,0.66,,,Table 2,,no
,,,S044,FC-SI,0.57,,,Table 2,,no
,,,S044,PE-SI,0.68,,,Table 2,,no
,,,S151,FC-UB,0.56,,,Table 2,,no
,,,S151,PE-UB,0.57,,,Table 2,,no
,,,S151,SE-UB,0.56,,,Table 2,,no
,,,S051,ANX-EE,-0.14,,,Table 2,,no
,,,S051,ANX-FC,-0.34,,,Table 2,,no
,,,S051,ANX-PE,-0.16,,,Table 2,,no
,,,S051,ANX-SI,-0.21,,,Table 2,,no
,,,S051,ANX-UB,-0.06,,,Table 2,,no
,,,S086,BI-FC,0.32,,,Table 2,,no
,,,S086,BI-PE,0.64,,,Table 2,,no
,,,S086,EE-SI,0.39,,,Table 2,,no
,,,S086,FC-TRU,0.41,,,Table 2,,no
,,,S086,PE-SI,0.44,,,Table 2,,no
,,,S086,SI-UB,0.41,,,Table 2,,no
,,,S074,ANX-BI,0.6,,,Table 3,,no
,,,S074,ANX-EE,0.18,,,Table 3,,no
,,,S074,ATT-BI,0.64,,,Table 3,,no
,,,S074,ATT-EE,0.27,,,Table 3,,no
,,,S074,BI-EE,0.33,,,Table 3,,no
,,,S074,BI-PE,0.59,,,Table 3,,no
,,,S074,EE-PE,0.34,,,Table 3,,no
,,,S074,EE-SE,0.3,,,Table 3,,no
,,,S074,PE-SE,0.64,,,Table 3,,no
,,,S189,ATT-BI,0.4,,,Table 7,,no
,,,S189,ATT-EE,0.36,,,Table 7,,no
,,,S189,ATT-PE,0.39,,,Table 7,,no
,,,S120,BI-PE,0.32,,,Table 10,,no
,,,S081,BI-FC,0.43,,,Table 4,,no
,,,S081,BI-PE,0.41,,,Table 4,,no
,,,S081,EE-PE,0.4,,,Table 4,,no
,,,S081,EE-SI,0.43,,,Table 4,,no
,,,S035,BI-EE,0.74,,,Table 4,,no
,,,S035,BI-PE,0.68,,,Table 4,,no
,,,S035,BI-SI,0.74,,,Table 4,,no
,,,S035,BI-TRU,0.75,,,Table 4,,no
,,,S035,EE-SI,0.72,,,Table 4,,no
,,,S035,EE-TRU,0.63,,,Table 4,,no
,,,S035,EE-UB,0.64,,,Table 4,,no
,,,S035,FC-PE,0.57,,,Table 4,,no
,,,S035,FC-SI,0.66,,,Table 4,,no
,,,S035,FC-TRU,0.73,,,Table 4,,no
,,,S035,PE-TRU,0.56,,,Table 4,,no
,,,S035,PE-UB,0.67,,,Table 4,,no
