record_id,title,year,search_source,screen_decision_codex,screen_confidence_codex,exclude_code_codex,rationale_codex,screen_decision_gemini,screen_confidence_gemini,exclude_code_gemini,rationale_gemini,screen_consensus,oauth_auth_method_codex,oauth_auth_method_gemini,human1_decision,human2_decision,adjudicated_final_decision,exclude_code,decision_rationale,adjudicator_id
230,Exploring AI chatbot UTAUT in teachers: A quantitative study,2021,WoS,include,0.86,NA,Codex: record 230,include,0.62,NA,Gemini: record 230,include,oauth,oauth,,,,,,
472,Understanding acceptance of machine learning technology in classroom settings,2019,WoS,include,0.83,NA,Codex: record 472,include,0.94,NA,Gemini: record 472,include,oauth,oauth,,,,,,
926,Cross-cultural analysis of AI-powered anxiety in undergraduate,2023,IEEE,include,0.71,NA,Codex: record 926,uncertain,0.51,E4,Gemini: record 926,conflict,oauth,oauth,,,,,,
1051,Exploring neural network intention to use in K-12: A quantitative study,2025,WoS,include,0.79,NA,Codex: record 1051,uncertain,0.78,E12,Gemini: record 1051,conflict,oauth,oauth,,,,,,
1091,Investigating ChatGPT acceptance and technology acceptance model in instructors contexts,2020,Scopus,uncertain,0.61,E10,Codex: record 1091,exclude,0.64,E1,Gemini: record 1091,conflict,oauth,oauth,,,,,,
1147,How does perceived usefulness shape adaptive learning outcomes in e-learning?,2023,WoS,include,0.67,NA,Codex: record 1147,exclude,0.58,E6,Gemini: record 1147,conflict,oauth,oauth,,,,,,
1262,How does anxiety shape deep learning outcomes in faculty?,2017,WoS,include,0.69,NA,Codex: record 1262,include,0.68,NA,Gemini: record 1262,include,oauth,oauth,,,,,,
1444,Exploring artificial intelligence self-efficacy in students: A quantitative study,2016,Scopus,include,0.63,NA,Codex: record 1444,uncertain,0.52,E8,Gemini: record 1444,conflict,oauth,oauth,,,,,,
1563,Understanding technology acceptance model of neural network technology in classroom settings,2023,WoS,uncertain,0.98,E7,Codex: record 1563,include,0.54,NA,Gemini: record 1563,conflict,oauth,oauth,,,,,,
1687,The role of adoption in GPT-4 integration in classroom,2022,Scopus,include,0.93,NA,Codex: record 1687,uncertain,0.68,E4,Gemini: record 1687,conflict,oauth,oauth,,,,,,
1739,Understanding UTAUT of automated assessment technology in undergraduate settings,2023,WoS,include,0.82,NA,Codex: record 1739,include,0.88,NA,Gemini: record 1739,include,oauth,oauth,,,,,,
2073,The role of TAM in intelligent tutoring integration in instructors,2024,Scopus,include,0.92,NA,Codex: record 2073,include,0.69,NA,Gemini: record 2073,include,oauth,oauth,,,,,,
