run_id,task_unit_id,study_id,denominator_family_original,expected_answer_type_used,revised_smoke_category,recommended_model_input_route,expected_r_value,model_value,score_status,is_correct,score_rule,absolute_error,abstained,error_code,model_answer_nonblank,model_source_locator_nonblank,model_source_quote_nonblank,route_violation_non_path_answered_as_beta_path
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00001,S002,primary_latent_or_construct_correlation_with_source_type_flag,numeric_correlation_with_source_type,latent_positive_control,latent_or_construct_correlation,0.696,0.696,scored,1,numeric_abs_error_le_0.005,0.000000,False,,true,true,false,false
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00002,S002,primary_latent_or_construct_correlation_with_source_type_flag,numeric_correlation_with_source_type,latent_positive_control,latent_or_construct_correlation,0.799,0.799,scored,1,numeric_abs_error_le_0.005,0.000000,False,,true,true,false,false
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00003,S002,primary_latent_or_construct_correlation_with_source_type_flag,numeric_correlation_with_source_type,latent_positive_control,latent_or_construct_correlation,0.694,0.694,scored,1,numeric_abs_error_le_0.005,0.000000,False,,true,true,false,false
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00004,S002,primary_latent_or_construct_correlation_with_source_type_flag,numeric_correlation_with_source_type,latent_positive_control,latent_or_construct_correlation,0.724,0.724,scored,1,numeric_abs_error_le_0.005,0.000000,False,,true,true,false,false
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00005,S002,primary_latent_or_construct_correlation_with_source_type_flag,numeric_correlation_with_source_type,latent_positive_control,latent_or_construct_correlation,0.692,0.692,scored,1,numeric_abs_error_le_0.005,0.000000,False,,true,true,false,false
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00006,S002,primary_latent_or_construct_correlation_with_source_type_flag,numeric_correlation_with_source_type,latent_positive_control,latent_or_construct_correlation,0.602,0.602,scored,1,numeric_abs_error_le_0.005,0.000000,False,,true,true,false,false
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00007,S002,primary_latent_or_construct_correlation_with_source_type_flag,numeric_correlation_with_source_type,latent_positive_control,latent_or_construct_correlation,0.592,0.592,scored,1,numeric_abs_error_le_0.005,0.000000,False,,true,true,false,false
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00008,S002,primary_latent_or_construct_correlation_with_source_type_flag,numeric_correlation_with_source_type,latent_positive_control,latent_or_construct_correlation,0.569,0.569,scored,1,numeric_abs_error_le_0.005,0.000000,False,,true,true,false,false
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00009,S002,primary_latent_or_construct_correlation_with_source_type_flag,numeric_correlation_with_source_type,latent_positive_control,latent_or_construct_correlation,0.523,0.523,scored,1,numeric_abs_error_le_0.005,0.000000,False,,true,true,false,false
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00010,S002,primary_latent_or_construct_correlation_with_source_type_flag,numeric_correlation_with_source_type,latent_positive_control,latent_or_construct_correlation,0.694,0.575,scored,0,numeric_abs_error_le_0.005,0.119000,False,,true,true,false,false
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00016,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,direct_r_packet_retrieval_challenge,direct_r_effect_size_extraction,0.271,,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,,True,insufficient_evidence,false,false,false,false
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00017,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,direct_r_packet_retrieval_challenge,direct_r_effect_size_extraction,0.496,,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,,True,insufficient_evidence,false,false,false,false
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00018,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,direct_r_packet_retrieval_challenge,direct_r_effect_size_extraction,0.414,,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,,True,insufficient_evidence,false,false,false,false
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00019,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,direct_r_packet_retrieval_challenge,direct_r_effect_size_extraction,0.241,,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,,True,insufficient_evidence,false,false,false,false
paper_b_full_corpus_m1_raw_source_rendered_revised_smoke_20260609,FC-S5-TASK-00020,S003,primary_direct_r_or_source_reported_correlation,numeric_r_effect_size,direct_r_packet_retrieval_challenge,direct_r_effect_size_extraction,0.448,,scored_abstention,0,abstention_counts_incorrect_for_scorable_rows,,True,insufficient_evidence,false,false,false,false
