run_id,model_provider,model_id,model_version,procedure_id,prompt_version,run_timestamp_utc,temperature,seed,task_unit_id,study_id,llm_task_family,denominator_family,scoring_eligibility,expected_answer_type,evaluation_unit_text,model_input_text,model_answer,model_answer_normalized,model_source_locator,model_source_quote,model_confidence,abstained,error_code,raw_output_ref,locked_answer_status,lock_timestamp_utc,locked_by,notes
paper2_gemini3flash_full_allfamilies_6750_6999_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T03:23:50Z,0,,P2-TASK-07574,S207,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: BI-PE | Human consensus value: beta=520.0; sig=NR | Source/evidence note: Value mismatch; Source-type mismatch; Beta/path mismatch; Value / significance mismatch; loc: Table 3,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: BI-PE | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=7360 | Source evidence: Value mismatch; Source-type mismatch; Beta/path mismatch; Value / significance mismatch; loc: Table 3 | Notes: R2 override applied from disagreement trace. ready_r_value_direct,,,Table 3; source_sheet_row=7360,,0.0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T03:23:50Z,gemini_cli_noninteractive_batch,Source evidence mentions mismatches but provides no numeric value or clear text evidence. R2 override applied from disagreement trace.
paper2_gemini3flash_full_allfamilies_6750_6999_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T03:23:50Z,0,,P2-TASK-07575,S207,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: BI-SE | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: BI-SE | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=7361 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=7361,,0.0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T03:23:50Z,gemini_cli_noninteractive_batch,blank_or_no_reported_statistic_consensus; insufficient evidence in task input.
paper2_gemini3flash_full_allfamilies_6750_6999_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T03:23:50Z,0,,P2-TASK-07576,S207,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: BI-SI | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: BI-SI | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=7362 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=7362,,0.0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T03:23:50Z,gemini_cli_noninteractive_batch,blank_or_no_reported_statistic_consensus; insufficient evidence in task input.
paper2_gemini3flash_full_allfamilies_6750_6999_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T03:23:50Z,0,,P2-TASK-07577,S207,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: BI-TRA | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: BI-TRA | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=7363 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=7363,,0.0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T03:23:50Z,gemini_cli_noninteractive_batch,blank_or_no_reported_statistic_consensus; insufficient evidence in task input.
paper2_gemini3flash_full_allfamilies_6750_6999_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T03:23:50Z,0,,P2-TASK-07578,S207,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: BI-TRU | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: BI-TRU | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=7364 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=7364,,0.0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T03:23:50Z,gemini_cli_noninteractive_batch,blank_or_no_reported_statistic_consensus; insufficient evidence in task input.
paper2_gemini3flash_full_allfamilies_6750_6999_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T03:23:50Z,0,,P2-TASK-07579,S207,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: BI-UB | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: BI-UB | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=7365 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=7365,,0.0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T03:23:50Z,gemini_cli_noninteractive_batch,blank_or_no_reported_statistic_consensus; insufficient evidence in task input.
paper2_gemini3flash_full_allfamilies_6750_6999_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T03:23:50Z,0,,P2-TASK-07580,S207,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: EE-FC | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: EE-FC | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=7366 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=7366,,0.0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T03:23:50Z,gemini_cli_noninteractive_batch,blank_or_no_reported_statistic_consensus; insufficient evidence in task input.
paper2_gemini3flash_full_allfamilies_6750_6999_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T03:23:50Z,0,,P2-TASK-07581,S207,converted_or_model_derived_effect_size,converted_or_model_derived_effect_size,eligible_after_locked_llm_output_with_source_type_denominator,numeric_effect_size_with_source_type,Study: S207 | Task family: converted_or_model_derived_effect_size | Field/construct pair: EE-PE | Human consensus value: beta=0.545; sig=NR | Source/evidence note: Value mismatch; Source-type mismatch; Beta/path mismatch; Value / significance mismatch; loc: Table 3,Study: S207 | Task family: converted_or_model_derived_effect_size | Field/construct pair: EE-PE | Expected answer type: numeric_effect_size_with_source_type | Source locator: source_sheet_row=7367 | Source evidence: Value mismatch; Source-type mismatch; Beta/path mismatch; Value / significance mismatch; loc: Table 3 | Notes: R2 override applied from disagreement trace. ready_r_value_direct,,,Table 3; source_sheet_row=7367,,0.0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T03:23:50Z,gemini_cli_noninteractive_batch,Source evidence mentions mismatches but provides no numeric value or clear text evidence. R2 override applied from disagreement trace.
paper2_gemini3flash_full_allfamilies_6750_6999_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T03:23:50Z,0,,P2-TASK-07582,S207,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: EE-SE | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: EE-SE | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=7368 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=7368,,0.0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T03:23:50Z,gemini_cli_noninteractive_batch,blank_or_no_reported_statistic_consensus; insufficient evidence in task input.
paper2_gemini3flash_full_allfamilies_6750_6999_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T03:23:50Z,0,,P2-TASK-07583,S207,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: EE-SI | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: EE-SI | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=7369 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=7369,,0.0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T03:23:50Z,gemini_cli_noninteractive_batch,blank_or_no_reported_statistic_consensus; insufficient evidence in task input.
paper2_gemini3flash_full_allfamilies_6750_6999_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T03:23:50Z,0,,P2-TASK-07584,S207,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: EE-TRA | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: EE-TRA | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=7370 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=7370,,0.0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T03:23:50Z,gemini_cli_noninteractive_batch,blank_or_no_reported_statistic_consensus; insufficient evidence in task input.
