run_id,model_provider,model_id,model_version,procedure_id,prompt_version,run_timestamp_utc,temperature,seed,task_unit_id,study_id,llm_task_family,denominator_family,scoring_eligibility,expected_answer_type,evaluation_unit_text,model_input_text,model_answer,model_answer_normalized,model_source_locator,model_source_quote,model_confidence,abstained,error_code,raw_output_ref,locked_answer_status,lock_timestamp_utc,locked_by,notes
paper2_codex_gpt55_full_allfamilies_4950_5049_20260606,openai,codex:gpt-5.5,codex-cli 0.137.0; model_selector=gpt-5.5,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T13:24:58Z,0,,P2-TASK-05721,S150,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S150 | Task family: absence_or_blank_consensus | Field/construct pair: AUT-TRA | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S150 | Task family: absence_or_blank_consensus | Field/construct pair: AUT-TRA | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=5507 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=5507,,high,False,,not_persisted_batch,locked,2026-06-06T13:24:58Z,codex_cli_noninteractive_batch,blank_or_no_reported_statistic_consensus
paper2_codex_gpt55_full_allfamilies_4950_5049_20260606,openai,codex:gpt-5.5,codex-cli 0.137.0; model_selector=gpt-5.5,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T13:24:58Z,0,,P2-TASK-05722,S150,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S150 | Task family: absence_or_blank_consensus | Field/construct pair: AUT-TRU | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S150 | Task family: absence_or_blank_consensus | Field/construct pair: AUT-TRU | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=5508 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=5508,,high,False,,not_persisted_batch,locked,2026-06-06T13:24:58Z,codex_cli_noninteractive_batch,blank_or_no_reported_statistic_consensus
paper2_codex_gpt55_full_allfamilies_4950_5049_20260606,openai,codex:gpt-5.5,codex-cli 0.137.0; model_selector=gpt-5.5,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T13:24:58Z,0,,P2-TASK-05723,S150,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S150 | Task family: absence_or_blank_consensus | Field/construct pair: AUT-UB | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S150 | Task family: absence_or_blank_consensus | Field/construct pair: AUT-UB | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=5509 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=5509,,high,False,,not_persisted_batch,locked,2026-06-06T13:24:58Z,codex_cli_noninteractive_batch,blank_or_no_reported_statistic_consensus
paper2_codex_gpt55_full_allfamilies_4950_5049_20260606,openai,codex:gpt-5.5,codex-cli 0.137.0; model_selector=gpt-5.5,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T13:24:58Z,0,,P2-TASK-05724,S150,converted_or_model_derived_effect_size,converted_or_model_derived_effect_size,eligible_after_locked_llm_output_with_source_type_denominator,numeric_effect_size_with_source_type,Study: S150 | Task family: converted_or_model_derived_effect_size | Field/construct pair: BI-EE | Human consensus value: source=beta_converted; beta=0.382; sig=p<.001 | Source/evidence note: Value / significance mismatch; loc: Table 5,Study: S150 | Task family: converted_or_model_derived_effect_size | Field/construct pair: BI-EE | Expected answer type: numeric_effect_size_with_source_type | Source locator: source_sheet_row=5510 | Source evidence: Value / significance mismatch; loc: Table 5 | Notes: R2 override applied from disagreement trace. source_statistic_without_r_value_needs_review,,,source_sheet_row=5510; Table 5,Value / significance mismatch; loc: Table 5,low,True,insufficient_evidence,not_persisted_batch,locked,2026-06-06T13:24:58Z,codex_cli_noninteractive_batch,R2 override applied from disagreement trace. source_statistic_without_r_value_needs_review
paper2_codex_gpt55_full_allfamilies_4950_5049_20260606,openai,codex:gpt-5.5,codex-cli 0.137.0; model_selector=gpt-5.5,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T13:24:58Z,0,,P2-TASK-05725,S150,converted_or_model_derived_effect_size,converted_or_model_derived_effect_size,eligible_after_locked_llm_output_with_source_type_denominator,numeric_effect_size_with_source_type,Study: S150 | Task family: converted_or_model_derived_effect_size | Field/construct pair: BI-FC | Human consensus value: source=beta_converted; beta=-0.163; p=0.013; sig=p<.05 | Source/evidence note: R2-only statistic; loc: Table 5,Study: S150 | Task family: converted_or_model_derived_effect_size | Field/construct pair: BI-FC | Expected answer type: numeric_effect_size_with_source_type | Source locator: source_sheet_row=5511 | Source evidence: R2-only statistic; loc: Table 5 | Notes: R2 override applied from disagreement trace. source_statistic_without_r_value_needs_review,,,source_sheet_row=5511; Table 5,R2-only statistic; loc: Table 5,low,True,insufficient_evidence,not_persisted_batch,locked,2026-06-06T13:24:58Z,codex_cli_noninteractive_batch,R2 override applied from disagreement trace. source_statistic_without_r_value_needs_review
paper2_codex_gpt55_full_allfamilies_4950_5049_20260606,openai,codex:gpt-5.5,codex-cli 0.137.0; model_selector=gpt-5.5,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T13:24:58Z,0,,P2-TASK-05726,S150,converted_or_model_derived_effect_size,converted_or_model_derived_effect_size,eligible_after_locked_llm_output_with_source_type_denominator,numeric_effect_size_with_source_type,Study: S150 | Task family: converted_or_model_derived_effect_size | Field/construct pair: BI-PE | Human consensus value: source=beta_converted; beta=0.519; sig=p<.001 | Source/evidence note: Value / significance mismatch; loc: Table 5,Study: S150 | Task family: converted_or_model_derived_effect_size | Field/construct pair: BI-PE | Expected answer type: numeric_effect_size_with_source_type | Source locator: source_sheet_row=5512 | Source evidence: Value / significance mismatch; loc: Table 5 | Notes: R2 override applied from disagreement trace. source_statistic_without_r_value_needs_review,,,source_sheet_row=5512; Table 5,Value / significance mismatch; loc: Table 5,low,True,insufficient_evidence,not_persisted_batch,locked,2026-06-06T13:24:58Z,codex_cli_noninteractive_batch,R2 override applied from disagreement trace. source_statistic_without_r_value_needs_review
paper2_codex_gpt55_full_allfamilies_4950_5049_20260606,openai,codex:gpt-5.5,codex-cli 0.137.0; model_selector=gpt-5.5,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T13:24:58Z,0,,P2-TASK-05727,S150,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S150 | Task family: absence_or_blank_consensus | Field/construct pair: BI-SE | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S150 | Task family: absence_or_blank_consensus | Field/construct pair: BI-SE | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=5513 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=5513,,high,False,,not_persisted_batch,locked,2026-06-06T13:24:58Z,codex_cli_noninteractive_batch,blank_or_no_reported_statistic_consensus
paper2_codex_gpt55_full_allfamilies_4950_5049_20260606,openai,codex:gpt-5.5,codex-cli 0.137.0; model_selector=gpt-5.5,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T13:24:58Z,0,,P2-TASK-05728,S150,converted_or_model_derived_effect_size,converted_or_model_derived_effect_size,eligible_after_locked_llm_output_with_source_type_denominator,numeric_effect_size_with_source_type,Study: S150 | Task family: converted_or_model_derived_effect_size | Field/construct pair: BI-SI | Human consensus value: source=beta_converted; beta=-0.095; p=0.104; sig=ns | Source/evidence note: Value / significance mismatch; loc: Table 5,Study: S150 | Task family: converted_or_model_derived_effect_size | Field/construct pair: BI-SI | Expected answer type: numeric_effect_size_with_source_type | Source locator: source_sheet_row=5514 | Source evidence: Value / significance mismatch; loc: Table 5 | Notes: R2 override applied from disagreement trace. source_statistic_without_r_value_needs_review,,,source_sheet_row=5514; Table 5,Value / significance mismatch; loc: Table 5,low,True,insufficient_evidence,not_persisted_batch,locked,2026-06-06T13:24:58Z,codex_cli_noninteractive_batch,R2 override applied from disagreement trace. source_statistic_without_r_value_needs_review
paper2_codex_gpt55_full_allfamilies_4950_5049_20260606,openai,codex:gpt-5.5,codex-cli 0.137.0; model_selector=gpt-5.5,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T13:24:58Z,0,,P2-TASK-05729,S150,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S150 | Task family: absence_or_blank_consensus | Field/construct pair: BI-TRA | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S150 | Task family: absence_or_blank_consensus | Field/construct pair: BI-TRA | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=5515 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=5515,,high,False,,not_persisted_batch,locked,2026-06-06T13:24:58Z,codex_cli_noninteractive_batch,blank_or_no_reported_statistic_consensus
paper2_codex_gpt55_full_allfamilies_4950_5049_20260606,openai,codex:gpt-5.5,codex-cli 0.137.0; model_selector=gpt-5.5,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T13:24:58Z,0,,P2-TASK-05730,S150,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S150 | Task family: absence_or_blank_consensus | Field/construct pair: BI-TRU | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S150 | Task family: absence_or_blank_consensus | Field/construct pair: BI-TRU | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=5516 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=5516,,high,False,,not_persisted_batch,locked,2026-06-06T13:24:58Z,codex_cli_noninteractive_batch,blank_or_no_reported_statistic_consensus
paper2_codex_gpt55_full_allfamilies_4950_5049_20260606,openai,codex:gpt-5.5,codex-cli 0.137.0; model_selector=gpt-5.5,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T13:24:58Z,0,,P2-TASK-05731,S150,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S150 | Task family: absence_or_blank_consensus | Field/construct pair: BI-UB | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S150 | Task family: absence_or_blank_consensus | Field/construct pair: BI-UB | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=5517 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=5517,,high,False,,not_persisted_batch,locked,2026-06-06T13:24:58Z,codex_cli_noninteractive_batch,blank_or_no_reported_statistic_consensus
