record_id,decision,confidence,code,reason,model,timestamp
REC_07054,include,0.95,,"ChatGPT 교육자 수용, UTAUT+TAM, 혼합연구, SEM",claude-opus-4-6,2026-02-26 14:52:08
REC_07616,include,0.95,,"AI 수용, TAM+SST, SEM, n=308, beta 보고",claude-opus-4-6,2026-02-26 14:52:08
REC_12203,include,0.9,,"AI 비즈니스영어 교육, SEM, 행동의도",claude-opus-4-6,2026-02-26 14:52:08
REC_12844,include,0.95,,"ChatGPT, UTAUT2, n=378, PE/EE 유의",claude-opus-4-6,2026-02-26 14:52:08
REC_14933,include,0.93,,"ChatGPT, TAM/UTAUT, PU/PEOU/자기효능감, 영국 학자",claude-opus-4-6,2026-02-26 14:52:08
REC_07700,include,0.85,,"AI 챗봇 지식공유, PLS-SEM, n=447 학생, PE/EE/습관",claude-opus-4-6,2026-02-26 14:52:08
REC_10860,include,0.9,,"ChatGPT 사용성, 인도 고등교육 학생, SEM, n=380",claude-opus-4-6,2026-02-26 14:52:08
REC_11802,uncertain,0.55,,"AI 정신건강 도구, 심리학 학생, UTAUT - 의료 vs 교육 맥락 모호",claude-opus-4-6,2026-02-26 14:52:08
REC_00125,exclude,0.85,E-FT4,"AI 디지털 어시스턴트, 일반 소비자 맥락, 교육 아님",claude-opus-4-6,2026-02-26 14:52:08
REC_05362,include,0.95,,"교사 EAIT 수용, 교수학적 신념, 신뢰, TAM, SEM, n=215",claude-opus-4-6,2026-02-26 14:52:08
REC_05604,include,0.9,,"간호학생 AI 행동의도, SEM, n=460, 자기효능감/불안",claude-opus-4-6,2026-02-26 14:52:08
REC_07192,include,0.95,,"ChatGPT, UTAUT, 교육자, SEM, n=1214",claude-opus-4-6,2026-02-26 14:52:08
REC_00827,include,0.93,,"Generative AI, UTAUT 확장, 대학생, n=1190, PE/EE",claude-opus-4-6,2026-02-26 14:52:08
REC_00828,include,0.88,,"AI 고등교육, TAM, 학생중심, 아시아 비교",claude-opus-4-6,2026-02-26 14:52:08
REC_00829,include,0.95,,"GAI, TAM 확장, PLS-SEM+fsQCA, n=460 대학원생",claude-opus-4-6,2026-02-26 14:52:08
REC_07193,include,0.9,,"ChatGPT, TAM+주관적규범+의인화, PLS-SEM, n=128",claude-opus-4-6,2026-02-26 14:52:08
REC_07196,include,0.88,,"ChatGPT, TOP프레임워크, PE/EE/불안, n=479",claude-opus-4-6,2026-02-26 14:52:08
REC_00832,include,0.95,,"ChatGPT, UTAUT, 인도vs폴란드, SEM, n=1074",claude-opus-4-6,2026-02-26 14:52:08
REC_10798,include,0.9,,"AI 튜터링시스템, PLS-SEM, n=284, PU/FC/만족도",claude-opus-4-6,2026-02-26 14:52:08
REC_00831,include,0.9,,"AI 데이터분석도구, 연구자, 다중집단SEM, n=750",claude-opus-4-6,2026-02-26 14:52:08
REC_10809,include,0.88,,"GenAI, TAM+자기조절학습, 국제조사, n=435 학생",claude-opus-4-6,2026-02-26 14:52:08
REC_00834,include,0.93,,"AIGC, 확장TAM, 예술디자인학생, SEM, n=382",claude-opus-4-6,2026-02-26 14:52:08
REC_07204,include,0.93,,"ChatGPT, TAM, 경영학생, SmartPLS, n=526",claude-opus-4-6,2026-02-26 14:52:08
REC_10810,include,0.88,,"GenAI EFL작문, SEM, n=399, 자기효능감/만족도/행동의도",claude-opus-4-6,2026-02-26 14:52:08
