study_id,recommended_batch,phase_block,pair,title,n_one_coder_only,n_numeric_or_source_diff,n_metadata_diff,n_coder_correlation_rows,exact_screening_pdf,exact_source_pdf,exact_download_pdf,subbatch_key,execution_priority,next_action,evidence_basis
S163,batch_4_moderate,phase1,Pair B,Extended TAM based acceptance of AI-Powered ChatGPT for supporting metacognitive,7,9,3,25,no,no,yes,batch_4_moderate::phase1::Pair B::pdf_first,1_pdf_available,Source-check rows and produce batch-specific audit/reference/status artifacts; do not edit shared progress/gap map midstream.,data/04_extraction/04_reference_standard_freeze/full_corpus_residual_adjudication_triage_20260608.csv
S156,batch_4_moderate,phase1,Pair A,Investigating AI-based academic support acceptance and its impact on students' p,8,6,7,20,no,no,yes,batch_4_moderate::phase1::Pair A::pdf_first,1_pdf_available,Source-check rows and produce batch-specific audit/reference/status artifacts; do not edit shared progress/gap map midstream.,data/04_extraction/04_reference_standard_freeze/full_corpus_residual_adjudication_triage_20260608.csv
S183,batch_4_moderate,phase2,Pair D,Factors Shaping the Adoption of AI Tools among Gen Z: An Extended UTAUT2 Model I,5,9,5,25,no,no,yes,batch_4_moderate::phase2::Pair D::pdf_first,1_pdf_available,Source-check rows and produce batch-specific audit/reference/status artifacts; do not edit shared progress/gap map midstream.,data/04_extraction/04_reference_standard_freeze/full_corpus_residual_adjudication_triage_20260608.csv
S186,batch_4_moderate,phase1,Pair B,AI in medical education: the moderating role of the chilling effect and STARA aw,5,9,6,25,yes,no,yes,batch_4_moderate::phase1::Pair B::pdf_first,1_pdf_available,Source-check rows and produce batch-specific audit/reference/status artifacts; do not edit shared progress/gap map midstream.,data/04_extraction/04_reference_standard_freeze/full_corpus_residual_adjudication_triage_20260608.csv
S007,batch_4_moderate,phase1,Pair B,Artificial intelligence teaching assistant adoption in university education: Key,7,4,2,15,no,no,yes,batch_4_moderate::phase1::Pair B::pdf_first,1_pdf_available,Source-check rows and produce batch-specific audit/reference/status artifacts; do not edit shared progress/gap map midstream.,data/04_extraction/04_reference_standard_freeze/full_corpus_residual_adjudication_triage_20260608.csv
S125,batch_4_moderate,phase1,Pair B,Exploring AI tool adoption in higher education: evidence from a PLS-SEM model in,9,2,4,21,yes,no,yes,batch_4_moderate::phase1::Pair B::pdf_first,1_pdf_available,Source-check rows and produce batch-specific audit/reference/status artifacts; do not edit shared progress/gap map midstream.,data/04_extraction/04_reference_standard_freeze/full_corpus_residual_adjudication_triage_20260608.csv
S201,batch_4_moderate,phase1,Pair A,AI Literacy and Intention to Use Text-Based GenAI for Learning: The Case of Busi,4,6,8,16,yes,no,yes,batch_4_moderate::phase1::Pair A::pdf_first,1_pdf_available,Source-check rows and produce batch-specific audit/reference/status artifacts; do not edit shared progress/gap map midstream.,data/04_extraction/04_reference_standard_freeze/full_corpus_residual_adjudication_triage_20260608.csv
S009,batch_4_moderate,phase1,Pair A,Bridging expectations and reality: Addressing the price-value paradox in teacher,1,8,7,17,no,no,yes,batch_4_moderate::phase1::Pair A::pdf_first,1_pdf_available,Source-check rows and produce batch-specific audit/reference/status artifacts; do not edit shared progress/gap map midstream.,data/04_extraction/04_reference_standard_freeze/full_corpus_residual_adjudication_triage_20260608.csv
S070,batch_4_moderate,phase2,Pair C,Factors affecting intention of academic librarians in Pakistan universities to u,4,5,10,26,no,no,yes,batch_4_moderate::phase2::Pair C::pdf_first,1_pdf_available,Source-check rows and produce batch-specific audit/reference/status artifacts; do not edit shared progress/gap map midstream.,data/04_extraction/04_reference_standard_freeze/full_corpus_residual_adjudication_triage_20260608.csv
S095,batch_4_moderate,phase1,Pair A,"Generative artificial intelligence acceptance, anxiety, and behavioral intention",4,5,8,14,yes,no,yes,batch_4_moderate::phase1::Pair A::pdf_first,1_pdf_available,Source-check rows and produce batch-specific audit/reference/status artifacts; do not edit shared progress/gap map midstream.,data/04_extraction/04_reference_standard_freeze/full_corpus_residual_adjudication_triage_20260608.csv
S129,batch_4_moderate,phase2,Pair C,Examining the Influence of AI on Python Programming Education: An Empirical Stud,0,9,9,18,yes,no,yes,batch_4_moderate::phase2::Pair C::pdf_first,1_pdf_available,Source-check rows and produce batch-specific audit/reference/status artifacts; do not edit shared progress/gap map midstream.,data/04_extraction/04_reference_standard_freeze/full_corpus_residual_adjudication_triage_20260608.csv
